baseline,by_n,items,losses,mean_relative,median_relative,metric,target,ties,wins
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,12,-0.28974348529205485,-0.29371413495152043,score,and_resource_nmcts,0,165
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,86,0.10366091593612088,0.0,T,and_resource_nmcts,46,45
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,145,0.2372268229259438,0.21518987341772153,CNOT,and_resource_nmcts,1,31
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,163,1.0336086107033202,0.8909090909090909,depth,and_resource_nmcts,3,11
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,0,-0.8267106151955921,-0.8571428571428571,peak_ancilla,and_resource_nmcts,0,177
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,11,-0.3149903056681632,-0.3243152411359435,score,and_pareto_resource_nmcts,0,166
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,70,0.057188770630232325,0.0,T,and_pareto_resource_nmcts,48,59
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,139,0.1839561310742909,0.16560509554140126,CNOT,and_pareto_resource_nmcts,1,37
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,162,0.9287215092946212,0.8372093023255814,depth,and_pareto_resource_nmcts,3,12
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,0,-0.8221971266108614,-0.8571428571428571,peak_ancilla,and_pareto_resource_nmcts,0,177
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,21,-0.2510976398696746,-0.25450868026293605,score,and_fprm_polarity_archive,0,156
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,94,0.16105900700972256,0.14285714285714285,T,and_fprm_polarity_archive,37,46
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,151,0.2691308163895982,0.2413793103448276,CNOT,and_fprm_polarity_archive,1,25
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,169,1.0267224276750588,0.9183673469387755,depth,and_fprm_polarity_archive,0,8
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,0,-0.8089143959777564,-0.8333333333333334,peak_ancilla,and_fprm_polarity_archive,0,177
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,158,0.5020297170682093,0.47685544349625025,score,and_direct_anf,0,19
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,168,1.5007862832975989,1.4615384615384615,T,and_direct_anf,8,1
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,169,1.2552778869690255,1.2487046632124352,CNOT,and_direct_anf,2,6
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,172,2.5412641972069365,2.28,depth,and_direct_anf,0,5
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,0,-0.814723347433402,-0.8333333333333334,peak_ancilla,and_direct_anf,0,177
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,168,1.422594585622145,1.4045045863227685,score,direct_anf,0,9
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,170,3.3589696094055936,3.3076923076923075,T,direct_anf,7,0
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,168,0.912069082417618,0.896551724137931,CNOT,direct_anf,0,9
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,168,1.9258744786599808,1.76,depth,direct_anf,0,9
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,0,-0.8809888419937925,-0.8823529411764706,peak_ancilla,direct_anf,0,177
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,85,0.08181913015001671,-0.03303556379571876,score,and_esop_milp,0,92
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,144,0.7581555828458715,0.5,T,and_esop_milp,22,11
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,146,0.542932393051131,0.3793103448275862,CNOT,and_esop_milp,4,27
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,171,2.096911748616452,1.1162790697674418,depth,and_esop_milp,0,6
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,0,-0.807121222724664,-0.8333333333333334,peak_ancilla,and_esop_milp,0,177
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,127,0.33301410461368725,0.18835730005124945,score,sshr_h,0,50
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,169,2.2621734398987385,1.0,T,sshr_h,4,4
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,84,0.17791231035452088,0.0,CNOT,sshr_h,10,83
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,166,1.0496077289148689,0.9534883720930233,depth,sshr_h,4,7
external_mockturtle_xag_k4,3:3;4:69;5:67;6:38,177,0,-0.8762097774279592,-0.8823529411764706,peak_ancilla,sshr_h,0,177
