comparison,metric,n_scope,pairs,wins,losses,ties,mean_target,mean_baseline,mean_relative_pct,median_relative_pct,log10_sign_p,target_method,baseline_method,target_files,baseline_files
n<=6 Pareto vs direct ANF,score,n=3-6,177,172,1,4,49.556497175141246,194.2875988700565,-67.79901565530602,-71.37220640870277,-49.536610005922206,and_pareto_resource_nmcts,direct_anf,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs ESOP beam,score,n=3-6,177,174,0,3,49.556497175141246,83.81531073446328,-36.088136851170546,-32.564622402432846,-52.07818924986874,and_pareto_resource_nmcts,and_cube_beam,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs ESOP-MILP,score,n=3-6,177,167,3,7,49.556497175141246,96.7306779661017,-29.84257395625252,-23.693230505569847,-44.96079809221706,and_pareto_resource_nmcts,and_esop_milp,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs SSHR-H,score,n=3-6,177,173,4,0,49.556497175141246,88.19146892655367,-41.06125731211248,-43.04760814831769,-45.374377309975394,and_pareto_resource_nmcts,sshr_h,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs SSHR-I CNOT,score,n=3-6,177,173,4,0,49.556497175141246,77.99022598870056,-31.886993097541925,-33.91452264512013,-45.374377309975394,and_pareto_resource_nmcts,external_sshr_i_cnot,raw_traditional_resource.csv,raw_external_traditional_resource_n6.csv
n<=6 Pareto vs ABC-XAG,score,n=3-6,177,177,0,0,49.556497175141246,138.56505649717514,-65.57844858508041,-65.25030030247333,-52.98127923686068,and_pareto_resource_nmcts,external_abc_xag,raw_traditional_resource.csv,raw_external_traditional_resource_n6.csv
ROS-style LUT best-K,score,"n=3-6,14-16,18",309,309,0,0,1486.9663106796115,164130.5323462783,-84.2694563643699,-81.38343632817374,-92.71723866450618,and_pareto_resource_nmcts,external_ros_lut_proxy,raw_traditional_resource.csv;raw_highdim_resource.csv;raw_highdim_scale_resource.csv;raw_ultra_highdim_resource.csv;raw_mega_highdim_resource.csv,raw_ros_lut_proxy_best.csv
mockturtle XAG n<=6,score,n=3-6,177,166,11,0,49.556497175141246,74.47110169491526,-31.49903056681632,-32.43152411359435,-35.96304264669888,and_pareto_resource_nmcts,external_mockturtle_xag_k4,raw_traditional_resource.csv,raw_mockturtle_xag_probe.csv
mockturtle XAG n=14,score,n=14,64,64,0,0,2374.2248437499998,38904.47828125,-91.48727332722439,-95.50291351704506,-18.964889726830812,and_pareto_resource_nmcts,external_mockturtle_xag_k4,raw_highdim_resource.csv,raw_mockturtle_xag_highdim_probe.csv
CirKit AIG/MC n<=6,score,n=3-6,177,177,0,0,49.556497175141246,130.2566384180791,-62.340375525499,-62.35459004905397,-52.98127923686068,and_pareto_resource_nmcts,external_cirkit_aig_mc,raw_traditional_resource.csv,raw_cirkit_aig_probe.csv
CirKit AIG/MC n=14,score,n=14,64,64,0,0,2374.2248437499998,41258.40359375,-94.4555326985099,-96.10075772495978,-18.964889726830812,and_pareto_resource_nmcts,external_cirkit_aig_mc,raw_highdim_resource.csv,raw_cirkit_aig_highdim_probe.csv
RevKit CLI exact oracle,score,n=3-6,177,173,0,4,49.556497175141246,186.65638418079095,-67.27849170477639,-70.18463073852296,-51.77715925420476,and_pareto_resource_nmcts,external_revkit_cli_best_score,raw_traditional_resource.csv,raw_revkit_cli_multiflow_traditional.csv
n=14 Pareto vs root beam,score,n=14,64,60,0,4,2374.2248437499998,2481.637578125,-6.305996569734147,-4.6848615509266445,-17.760769744174887,and_pareto_resource_nmcts,and_fprm_root_beam,raw_highdim_resource.csv,raw_highdim_resource.csv
n=16 Resource vs root beam,score,n=16,24,23,0,1,4082.970208333333,4216.210625,-4.360506059293911,-3.364967966999119,-6.622659904607586,and_resource_nmcts,and_fprm_root_beam,raw_ultra_highdim_resource.csv,raw_ultra_highdim_resource.csv
n=18 Resource vs fast pair,score,n=18,12,12,0,0,7317.875,7439.927083333333,-3.551679560167263,-1.790003832292459,-3.3113299523037925,and_resource_nmcts,and_fprm_linear_pair_fast,raw_mega_highdim_resource.csv,raw_mega_highdim_resource.csv
