baseline,items,losses,mean_CNOT,mean_T,mean_candidate_affine_forms,mean_depth,mean_polarity_weight,mean_relative,mean_rz_non_clifford,mean_rz_total,mean_score,metric,nonidentity_transform_rows,nonzero_polarity_rows,target,ties,wins
phase_parity_anf,177,0,,,,,,-0.08715801565379801,,,,score,,,phase_parity_affine_fprm_opt_rz1,92,85
phase_parity_anf,177,0,,,,,,-0.04998020578348483,,,,score_rz1,,,phase_parity_affine_fprm_opt_rz1,92,85
phase_parity_anf,177,0,,,,,,-0.04385207525362532,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_rz1,92,85
phase_parity_anf,177,4,,,,,,-0.02337983615587741,,,,score_synth_tperrz30,,,phase_parity_affine_fprm_opt_rz1,92,81
phase_parity_anf,177,4,,,,,,-0.003494347486979931,,,,rz_non_clifford,,,phase_parity_affine_fprm_opt_rz1,162,11
phase_parity_anf,177,0,,,,,,-0.07630711762771335,,,,rz_total,,,phase_parity_affine_fprm_opt_rz1,94,83
phase_parity_anf,177,11,,,,,,-0.03672605476144596,,,,CNOT,,,phase_parity_affine_fprm_opt_rz1,110,56
phase_parity_anf,177,8,,,,,,-0.050622807009065636,,,,depth,,,phase_parity_affine_fprm_opt_rz1,95,74
phase_parity_fprm_opt_rz1,177,2,,,,,,-0.05764670034588724,,,,score,,,phase_parity_affine_fprm_opt_rz1,96,79
phase_parity_fprm_opt_rz1,177,0,,,,,,-0.034630962906326314,,,,score_rz1,,,phase_parity_affine_fprm_opt_rz1,96,81
phase_parity_fprm_opt_rz1,177,1,,,,,,-0.031131215134657147,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_rz1,96,80
phase_parity_fprm_opt_rz1,177,5,,,,,,-0.020244618680760267,,,,score_synth_tperrz30,,,phase_parity_affine_fprm_opt_rz1,96,76
phase_parity_fprm_opt_rz1,177,5,,,,,,-0.002047926075718996,,,,rz_non_clifford,,,phase_parity_affine_fprm_opt_rz1,162,10
phase_parity_fprm_opt_rz1,177,3,,,,,,-0.05777117130139679,,,,rz_total,,,phase_parity_affine_fprm_opt_rz1,104,70
phase_parity_fprm_opt_rz1,177,13,,,,,,-0.03585943974185603,,,,CNOT,,,phase_parity_affine_fprm_opt_rz1,109,55
phase_parity_fprm_opt_rz1,177,13,,,,,,-0.0433760623065564,,,,depth,,,phase_parity_affine_fprm_opt_rz1,98,66
external_revkit_oracle_synth,177,136,,,,,,0.4717839698999223,,,,score,,,phase_parity_affine_fprm_opt_rz1,1,40
external_revkit_oracle_synth,177,0,,,,,,-0.5082302161339491,,,,score_rz1,,,phase_parity_affine_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,,-0.551797434451112,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,,-0.6525413912323654,,,,score_synth_tperrz30,,,phase_parity_affine_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,,-0.6348698783700667,,,,rz_non_clifford,,,phase_parity_affine_fprm_opt_rz1,6,171
