baseline,items,losses,mean_CNOT,mean_T,mean_candidate_affine_forms,mean_depth,mean_polarity_weight,mean_relative,mean_rz_non_clifford,mean_rz_total,mean_score,metric,nonidentity_transform_rows,nonzero_polarity_rows,target,ties,wins
phase_parity_anf,177,0,,,,,,-0.09580474346769689,,,,score,,,phase_parity_affine_fprm_opt_rz1,92,85
phase_parity_anf,177,0,,,,,,-0.05798823818441529,,,,score_rz1,,,phase_parity_affine_fprm_opt_rz1,92,85
phase_parity_anf,177,0,,,,,,-0.05182800373720498,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_rz1,92,85
phase_parity_anf,177,1,,,,,,-0.03134175690761318,,,,score_synth_tperrz30,,,phase_parity_affine_fprm_opt_rz1,92,84
phase_parity_anf,177,1,,,,,,-0.008767417166829272,,,,rz_non_clifford,,,phase_parity_affine_fprm_opt_rz1,160,16
phase_parity_anf,177,0,,,,,,-0.09317878643969145,,,,rz_total,,,phase_parity_affine_fprm_opt_rz1,92,85
phase_parity_anf,177,10,,,,,,-0.050014093433910965,,,,CNOT,,,phase_parity_affine_fprm_opt_rz1,105,62
phase_parity_anf,177,6,,,,,,-0.06505022094294519,,,,depth,,,phase_parity_affine_fprm_opt_rz1,95,76
phase_parity_fprm_opt_rz1,177,2,,,,,,-0.06744471385867293,,,,score,,,phase_parity_affine_fprm_opt_rz1,95,80
phase_parity_fprm_opt_rz1,177,0,,,,,,-0.04318030272762155,,,,score_rz1,,,phase_parity_affine_fprm_opt_rz1,95,82
phase_parity_fprm_opt_rz1,177,0,,,,,,-0.03953616541449437,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_rz1,95,82
phase_parity_fprm_opt_rz1,177,2,,,,,,-0.028240737172045616,,,,score_synth_tperrz30,,,phase_parity_affine_fprm_opt_rz1,95,80
phase_parity_fprm_opt_rz1,177,2,,,,,,-0.0073209957555683365,,,,rz_non_clifford,,,phase_parity_affine_fprm_opt_rz1,160,15
phase_parity_fprm_opt_rz1,177,0,,,,,,-0.07528960403096664,,,,rz_total,,,phase_parity_affine_fprm_opt_rz1,98,79
phase_parity_fprm_opt_rz1,177,10,,,,,,-0.04918502955680684,,,,CNOT,,,phase_parity_affine_fprm_opt_rz1,106,61
phase_parity_fprm_opt_rz1,177,9,,,,,,-0.05799665274941833,,,,depth,,,phase_parity_affine_fprm_opt_rz1,95,73
external_revkit_oracle_synth,177,134,,,,,,0.44422779458599454,,,,score,,,phase_parity_affine_fprm_opt_rz1,1,42
external_revkit_oracle_synth,177,0,,,,,,-0.5124654842793127,,,,score_rz1,,,phase_parity_affine_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,,-0.5552724431016929,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,,-0.654419221898683,,,,score_synth_tperrz30,,,phase_parity_affine_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,,-0.6366598586840934,,,,rz_non_clifford,,,phase_parity_affine_fprm_opt_rz1,6,171
external_revkit_oracle_synth,177,3,,,,,,-0.5057944731342441,,,,rz_total,,,phase_parity_affine_fprm_opt_rz1,1,173
external_revkit_oracle_synth,177,133,,,,,,0.26467683456608415,,,,CNOT,,,phase_parity_affine_fprm_opt_rz1,8,36
external_revkit_oracle_synth,177,72,,,,,,-0.05238224463504532,,,,depth,,,phase_parity_affine_fprm_opt_rz1,1,104
self,177,,82.53107344632768,2.468926553672316,4124.926553672316,107.87570621468926,0.3333333333333333,,21.44632768361582,25.34463276836158,8.467062146892655,resource_means,82,35,phase_parity_affine_fprm_opt_rz1,,
phase_parity_anf,177,0,,,,,,-0.10226479646905805,,,,score,,,phase_parity_affine_fprm_opt_score,92,85
phase_parity_anf,177,0,,,,,,-0.05356066572941576,,,,score_rz1,,,phase_parity_affine_fprm_opt_score,92,85
phase_parity_anf,177,1,,,,,,-0.04579595111301984,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_score,92,84
phase_parity_anf,177,11,,,,,,-0.020308017457639545,,,,score_synth_tperrz30,,,phase_parity_affine_fprm_opt_score,92,74
phase_parity_anf,177,11,,,,,,0.002641461919152104,,,,rz_non_clifford,,,phase_parity_affine_fprm_opt_score,163,3
phase_parity_anf,177,0,,,,,,-0.08607268047683513,,,,rz_total,,,phase_parity_affine_fprm_opt_score,92,85
phase_parity_anf,177,11,,,,,,-0.04317533110441423,,,,CNOT,,,phase_parity_affine_fprm_opt_score,107,59
phase_parity_anf,177,6,,,,,,-0.05820631200788309,,,,depth,,,phase_parity_affine_fprm_opt_score,95,76
phase_parity_fprm_opt_score,177,0,,,,,,-0.07076605790029077,,,,score,,,phase_parity_affine_fprm_opt_score,96,81
phase_parity_fprm_opt_score,177,0,,,,,,-0.04086350263752431,,,,score_rz1,,,phase_parity_affine_fprm_opt_score,96,81
phase_parity_fprm_opt_score,177,0,,,,,,-0.036615912068008745,,,,score_rz1.5,,,phase_parity_affine_fprm_opt_score,96,81
