scope,method,label,rows,verified_rows,mean_score,mean_T,mean_CNOT,mean_depth,mean_gates,mean_peak_ancilla,mean_t_depth_proxy,mean_ancilla_lifetime,mean_time_s
n=48/56/64,direct_logical_and,Direct AND,48,48,1378.11,1250.42,2002.35,2002.38,751.96,5.0208,595.75,0.00,0.00
n=48/56/64,screen_depth2,Depth-2 screen,48,48,1202.81,1088.83,1755.62,1755.65,666.81,5.3750,517.81,23.19,2.80
n=48/56/64,screen_depth4,Depth-4 screen,48,48,1168.91,1057.58,1709.42,1709.44,651.85,5.3958,503.12,29.69,27.53
n=48/56/64,adaptive_all_depth,All-depth frontier,48,48,1168.91,1057.58,1709.42,1709.44,651.85,5.3958,503.12,29.69,41.27
n=48/56/64,depth_frontier_policy,Learned frontier,48,48,1182.60,1070.25,1727.73,1727.75,657.50,5.3750,509.08,26.54,17.11
n=48,direct_logical_and,Direct AND,16,16,1328.92,1205.50,1928.44,1928.44,722.94,5.0625,575.12,0.00,0.00
n=48,screen_depth2,Depth-2 screen,16,16,1154.16,1044.25,1682.38,1682.38,638.12,5.5000,497.62,23.69,1.81
n=48,screen_depth4,Depth-4 screen,16,16,1133.28,1025.00,1654.31,1654.31,629.31,5.5000,489.06,28.88,20.04
n=48,adaptive_all_depth,All-depth frontier,16,16,1133.28,1025.00,1654.31,1654.31,629.31,5.5000,489.06,28.88,29.17
n=48,depth_frontier_policy,Learned frontier,16,16,1134.35,1026.00,1655.50,1655.50,629.50,5.5000,489.44,28.19,17.36
n=56,direct_logical_and,Direct AND,16,16,1536.43,1395.25,2232.75,2232.75,837.50,5.0000,666.25,0.00,0.00
n=56,screen_depth2,Depth-2 screen,16,16,1362.89,1235.50,1988.38,1988.38,752.88,5.2500,589.44,23.25,3.36
n=56,screen_depth4,Depth-4 screen,16,16,1320.65,1196.50,1930.56,1930.56,734.06,5.3125,570.75,30.56,35.40
n=56,adaptive_all_depth,All-depth frontier,16,16,1320.65,1196.50,1930.56,1930.56,734.06,5.3125,570.75,30.56,51.94
n=56,depth_frontier_policy,Learned frontier,16,16,1334.33,1209.25,1948.88,1948.88,739.62,5.2500,576.81,27.38,24.05
n=64,direct_logical_and,Direct AND,16,16,1268.98,1150.50,1845.88,1845.94,695.44,5.0000,545.88,0.00,0.00
n=64,screen_depth2,Depth-2 screen,16,16,1091.38,986.75,1596.12,1596.19,609.44,5.3750,466.38,22.62,3.25
n=64,screen_depth4,Depth-4 screen,16,16,1052.81,951.25,1543.38,1543.44,592.19,5.3750,449.56,29.62,27.15
n=64,adaptive_all_depth,All-depth frontier,16,16,1052.81,951.25,1543.38,1543.44,592.19,5.3750,449.56,29.62,42.70
n=64,depth_frontier_policy,Learned frontier,16,16,1079.12,975.50,1578.81,1578.88,603.38,5.3750,461.00,24.06,9.92
