correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.0009260177612304688,and_affine_greedy,3,27,8
69,69,37.11594202898551,1.434782608695652,20.43659420289855,0.008508388546929844,and_affine_greedy,4,2293,1068
67,67,93.76119402985074,2.2238805970149254,51.21955223880597,0.043217107431212466,and_affine_greedy,5,5903,2772
38,38,235.8421052631579,2.736842105263158,136.0992105263158,0.034356688198290374,and_affine_greedy,6,8724,4440
3,3,9.0,0.0,3.225,0.008231480916341146,and_affine_nmcts,3,27,8
69,69,36.405797101449274,1.434782608695652,20.04840579710145,0.11206182880678038,and_affine_nmcts,4,2248,1044
67,67,90.6268656716418,1.9701492537313432,49.117014925373134,0.798627063409606,and_affine_nmcts,5,5744,2676
38,38,234.1315789473684,2.6842105263157894,134.6475,0.13801443576812744,and_affine_nmcts,6,8683,4392
3,3,15.0,0.0,8.895,7.907549540201823e-05,and_direct_anf,3,45,24
69,69,57.53623188405797,1.434782608695652,39.303333333333335,9.83182934747226e-05,and_direct_anf,4,3937,2280
67,67,161.73134328358208,2.4328358208955225,111.63910447761194,0.00010128875276935634,and_direct_anf,5,10802,6516
38,38,386.7368421052632,3.236842105263158,267.52947368421053,0.00021238076059441817,and_direct_anf,6,14682,9056
3,3,15.0,0.0,8.895,0.00020130475362141928,and_fprm_greedy,3,45,24
69,69,42.73913043478261,1.434782608695652,24.767318840579712,0.0014164551444675612,and_fprm_greedy,4,2704,1344
67,67,105.82089552238806,2.2388059701492535,61.43328358208955,0.004719403252672793,and_fprm_greedy,5,6726,3408
38,38,245.07894736842104,2.763157894736842,147.40960526315789,0.021942828830919768,and_fprm_greedy,6,9098,4848
3,3,15.0,0.6666666666666666,7.535,0.00036406517028808594,and_fprm_linear_pair,3,41,16
69,69,40.36231884057971,1.5507246376811594,22.77427536231884,0.004910375760949176,and_fprm_linear_pair,4,2527,1200
67,67,96.76119402985074,2.2238805970149254,55.44888059701493,0.05290033568197222,and_fprm_linear_pair,5,6124,3044
38,38,216.81578947368422,2.8421052631578947,127.07302631578948,0.2011587557039763,and_fprm_linear_pair,6,8027,4132
3,3,15.0,0.0,8.895,0.0002396106719970703,and_fprm_root_beam,3,45,24
69,69,42.63768115942029,1.434782608695652,24.765652173913043,0.0052980340045431385,and_fprm_root_beam,4,2706,1344
67,67,105.32835820895522,1.9701492537313432,59.854701492537316,0.016675632391402972,and_fprm_root_beam,5,6697,3340
38,38,237.05263157894737,2.5789473684210527,139.63684210526316,0.053632729931881555,and_fprm_root_beam,6,8805,4584
3,3,15.0,0.0,8.895,9.584426879882812e-05,and_mcts_factor,3,45,24
69,69,49.89855072463768,1.434782608695652,29.881666666666668,0.0012814100237860196,and_mcts_factor,4,3410,1660
67,67,125.0,1.955223880597015,72.86320895522388,0.022751142729574174,and_mcts_factor,5,8341,4124
38,38,269.07894736842104,2.4473684210526314,157.0275,0.08717999332829525,and_mcts_factor,6,10211,5176
3,3,9.0,0.0,3.225,0.03412977854410807,and_pareto_resource_nmcts,3,27,8
69,69,35.971014492753625,1.4492753623188406,19.819565217391304,0.8915245256562164,and_pareto_resource_nmcts,4,2217,1028
67,67,86.86567164179104,2.074626865671642,47.65582089552239,5.116073782764264,and_pareto_resource_nmcts,5,5461,2580
38,38,190.71052631578948,3.1578947368421053,110.56144736842106,8.077623053600913,and_pareto_resource_nmcts,6,6993,3540
3,3,15.0,0.6666666666666666,7.535,0.000743707021077474,and_resource_beam_only,3,41,16
69,69,40.15942028985507,1.5507246376811594,22.750942028985506,0.009112520494322845,and_resource_beam_only,4,2492,1200
67,67,96.53731343283582,2.2238805970149254,55.42238805970149,0.05820094649471454,and_resource_beam_only,5,6085,3044
38,38,216.81578947368422,2.8421052631578947,127.07302631578948,0.34113567753842,and_resource_beam_only,6,8027,4132
3,3,9.0,0.0,3.225,0.0010590553283691406,and_resource_heuristic,3,27,8
69,69,37.0,1.434782608695652,20.371666666666666,0.014521578083867613,and_resource_heuristic,4,2285,1064
67,67,93.58208955223881,2.2238805970149254,51.20671641791045,0.040425905540807924,and_resource_heuristic,5,5889,2772
38,38,234.28947368421052,2.736842105263158,135.47565789473686,0.048261209538108425,and_resource_heuristic,6,8663,4420
3,3,9.0,0.0,3.225,0.008330265680948893,and_resource_nmcts,3,27,8
69,69,36.05797101449275,1.4492753623188406,19.824057971014494,0.15587139129638672,and_resource_nmcts,4,2221,1028
67,67,89.85074626865672,1.9701492537313432,48.95194029850746,0.7035406952473655,and_resource_nmcts,5,5695,2668
38,38,215.60526315789474,2.8421052631578947,125.31276315789474,0.43876665516903524,and_resource_nmcts,6,7961,4068
3,3,9.0,0.0,3.225,0.0017630259195963542,and_resource_no_mcts,3,27,8
69,69,36.68115942028985,1.4492753623188406,20.0286231884058,0.020921997402025307,and_resource_no_mcts,4,2250,1040
67,67,91.40298507462687,2.1641791044776117,50.5444776119403,0.1167773097308714,and_resource_no_mcts,5,5760,2744
38,38,215.60526315789474,2.8421052631578947,125.31276315789474,0.4231814334267064,and_resource_no_mcts,6,7961,4068
3,3,13.0,0.0,8.745,3.4650166829427086e-05,direct_anf,3,39,24
69,69,52.27536231884058,0.9710144927536232,58.90673913043478,8.08999158334041e-05,direct_anf,4,3574,3728
67,67,135.49253731343285,1.4776119402985075,185.35149253731345,0.00011106747299877566,direct_anf,5,9044,11712
38,38,292.3421052631579,1.8157894736842106,470.51460526315793,0.0001039567746614155,direct_anf,6,11095,17120
