correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.005402008692423503,and_affine_nmcts,3,27,8
69,69,36.405797101449274,1.434782608695652,20.04840579710145,0.07001786301101463,and_affine_nmcts,4,2248,1044
67,67,90.6268656716418,1.9701492537313432,49.117014925373134,0.6096446300620464,and_affine_nmcts,5,5744,2676
38,38,234.1315789473684,2.6842105263157894,134.6475,0.13069689273834229,and_affine_nmcts,6,8683,4392
3,3,9.0,0.0,3.225,0.029444058736165363,and_pareto_resource_nmcts,3,27,8
69,69,35.971014492753625,1.4492753623188406,19.819565217391304,0.8446107843647832,and_pareto_resource_nmcts,4,2217,1028
67,67,86.86567164179104,2.074626865671642,47.65582089552239,5.086546993967312,and_pareto_resource_nmcts,5,5461,2580
38,38,190.71052631578948,3.1578947368421053,110.56144736842106,8.04771129708541,and_pareto_resource_nmcts,6,6993,3540
3,3,9.0,0.0,3.225,0.0056409041086832685,and_resource_nmcts,3,27,8
69,69,36.05797101449275,1.4492753623188406,19.824057971014494,0.12906735185263812,and_resource_nmcts,4,2221,1028
67,67,89.85074626865672,1.9701492537313432,48.95194029850746,0.701333956931954,and_resource_nmcts,5,5695,2668
38,38,215.60526315789474,2.8421052631578947,125.31276315789474,0.43693873129392924,and_resource_nmcts,6,7961,4068
