feature,bucket,functions,mean_degree,mean_anf_terms,mean_onset_density,status,direct_anf_score_wlt,direct_anf_score_delta_pct,esop_milp_score_wlt,esop_milp_score_delta_pct,sshr_h_score_wlt,sshr_h_score_delta_pct,abc_xag_score_wlt,abc_xag_score_delta_pct,caterpillar_api_score_wlt,caterpillar_api_score_delta_pct,interpretation
family,arithmetic/mux,5,3.20,5.00,0.425,pass,4/1/0,-43.06%,3/1/1,-19.53%,5/0/0,-46.75%,5/0/0,-65.48%,5/0/0,-38.54%,moderate or mixed mechanism slice
family,parity,4,1.00,4.50,0.500,pass,0/0/4,+0.00%,0/0/4,+0.00%,4/0/0,-98.59%,4/0/0,-99.21%,4/0/0,-12.50%,trivial/affine guard: no algebraic score gain expected
family,random truth-table,160,4.29,16.20,0.505,pass,160/0/0,-70.23%,156/2/2,-30.04%,158/2/0,-40.07%,160/0/0,-64.73%,160/0/0,-48.81%,main mechanism slice: dense high-degree ANF benefits from factor/Pareto search
family,threshold/majority,8,3.50,12.25,0.539,pass,8/0/0,-68.47%,8/0/0,-47.17%,6/2/0,-28.50%,8/0/0,-65.74%,8/0/0,-54.12%,clear score-reduction slice
degree,degree 0-1,4,1.00,4.50,0.500,pass,0/0/4,+0.00%,0/0/4,+0.00%,4/0/0,-98.59%,4/0/0,-99.21%,4/0/0,-12.50%,trivial/affine guard: no algebraic score gain expected
degree,degree 2,3,2.00,2.67,0.458,pass,2/1/0,-41.82%,2/0/1,-42.81%,1/2/0,-25.00%,3/0/0,-85.35%,3/0/0,-58.70%,low-degree boundary: SSHR can remain competitive on some rows
degree,degree 3,38,3.00,7.84,0.502,pass,38/0/0,-63.35%,34/2/2,-23.46%,36/2/0,-30.60%,38/0/0,-71.29%,38/0/0,-51.53%,clear score-reduction slice
degree,degree >=4,132,4.63,18.25,0.506,pass,132/0/0,-71.72%,131/1/0,-32.29%,132/0/0,-42.69%,132/0/0,-62.46%,132/0/0,-47.74%,main mechanism slice: dense high-degree ANF benefits from factor/Pareto search
ANF terms,ANF <= n,12,2.25,3.75,0.417,pass,7/1/4,-30.71%,7/0/5,-18.42%,10/2/0,-53.71%,12/0/0,-80.09%,12/0/0,-31.50%,low-degree boundary: SSHR can remain competitive on some rows
ANF terms,ANF > 2n,124,4.56,19.23,0.514,pass,124/0/0,-73.38%,123/1/0,-33.36%,123/1/0,-41.71%,124/0/0,-63.81%,124/0/0,-49.97%,main mechanism slice: dense high-degree ANF benefits from factor/Pareto search
ANF terms,ANF n..2n,41,3.46,7.39,0.502,pass,41/0/0,-61.77%,37/2/2,-22.55%,40/1/0,-35.40%,41/0/0,-66.67%,41/0/0,-46.62%,clear score-reduction slice
