dataset,dataset_label,profile,profile_label,target_method,baseline_method,baseline_label,pairs,score_wlt,wins,losses,ties,mean_target_score,mean_baseline_score,mean_relative_pct
traditional,n<=6 traditional,paper,Paper score,and_pareto_resource_nmcts,direct_anf,Direct ANF,177,172/1/4,172,1,4,49.556497,194.287599,-67.799016
traditional,n<=6 traditional,t_only,T-only,and_pareto_resource_nmcts,direct_anf,Direct ANF,177,172/0/5,172,0,5,40.429379,184.090395,-72.252063
traditional,n<=6 traditional,t_heavy,T-heavy,and_pareto_resource_nmcts,direct_anf,Direct ANF,177,172/1/4,172,1,4,44.357740,188.181412,-70.163354
traditional,n<=6 traditional,cnot_depth,CNOT-depth,and_pareto_resource_nmcts,direct_anf,Direct ANF,177,172/1/4,172,1,4,52.751751,157.395085,-59.546282
traditional,n<=6 traditional,ancilla_tight,Ancilla-tight,and_pareto_resource_nmcts,direct_anf,Direct ANF,177,172/1/4,172,1,4,61.725989,202.253701,-61.041652
traditional,n<=6 traditional,paper,Paper score,and_pareto_resource_nmcts,and_direct_anf,AND-direct ANF,177,172/0/5,172,0,5,49.556497,115.166977,-51.187688
traditional,n<=6 traditional,t_only,T-only,and_pareto_resource_nmcts,and_direct_anf,AND-direct ANF,177,172/0/5,172,0,5,40.429379,100.994350,-54.840570
traditional,n<=6 traditional,t_heavy,T-heavy,and_pareto_resource_nmcts,and_direct_anf,AND-direct ANF,177,172/0/5,172,0,5,44.357740,106.830960,-52.986436
traditional,n<=6 traditional,cnot_depth,CNOT-depth,and_pareto_resource_nmcts,and_direct_anf,AND-direct ANF,177,172/0/5,172,0,5,52.751751,113.975989,-47.670070
traditional,n<=6 traditional,ancilla_tight,Ancilla-tight,and_pareto_resource_nmcts,and_direct_anf,AND-direct ANF,177,172/0/5,172,0,5,61.725989,128.217825,-45.247708
traditional,n<=6 traditional,paper,Paper score,and_pareto_resource_nmcts,and_cube_beam,ESOP cube beam,177,174/0/3,174,0,3,49.556497,83.815311,-36.088137
traditional,n<=6 traditional,t_only,T-only,and_pareto_resource_nmcts,and_cube_beam,ESOP cube beam,177,174/0/3,174,0,3,40.429379,71.322034,-38.952048
traditional,n<=6 traditional,t_heavy,T-heavy,and_pareto_resource_nmcts,and_cube_beam,ESOP cube beam,177,174/0/3,174,0,3,44.357740,76.643475,-37.524372
