T_lower_bound,error,max_frontier,min_and,n,name,score_lower_bound,time_s,truth_table_hex,visited_states
0,,0,0,3,parity_n3,0,1.1205673217773438e-05,96,1
4,,7,1,3,majority_n3,4,6.198883056640625e-05,E8,8
4,,7,1,3,threshold2_n3,4,2.09808349609375e-05,E8,8
0,,0,0,4,parity_n4,0,6.9141387939453125e-06,6996,1
12,,2485,3,4,majority_n4,12,0.03206205368041992,E880,2612
12,,2485,3,4,threshold2_n4,12,0.06153106689453125,FEE8,4334
8,,890,2,4,adder_carry_w2,8,0.003144979476928711,EC80,926
8,,263,2,4,mul_w2_bit1,8,0.000978231430053711,6AC0,299
8,,112,2,4,truth_n4_0,8,0.0004730224609375,A3B1,148
8,,880,2,4,truth_n4_1,8,0.0030939579010009766,1C80,916
12,,2485,3,4,truth_n4_2,12,0.009814023971557617,667,2576
12,,2485,3,4,truth_n4_3,12,0.010104656219482422,BDD6,2612
8,,1371,2,4,truth_n4_4,8,0.004964113235473633,4668,1407
12,,2485,3,4,truth_n4_5,12,0.017475128173828125,3EB1,4343
8,,104,2,4,truth_n4_6,8,0.0004487037658691406,3924,140
12,,2485,3,4,truth_n4_7,12,0.012158870697021484,23B8,3127
8,,736,2,4,truth_n4_8,8,0.0026230812072753906,BC89,772
8,,994,2,4,truth_n4_9,8,0.0035393238067626953,1A3D,1030
12,,2485,3,4,truth_n4_10,12,0.012141942977905273,AD3C,3121
8,,151,2,4,truth_n4_11,8,0.0006029605865478516,BD9C,187
8,,383,2,4,truth_n4_12,8,0.0013790130615234375,E465,419
12,,2485,3,4,truth_n4_13,12,0.010842084884643555,8B9D,2821
12,,2485,3,4,truth_n4_14,12,0.012048959732055664,1641,3134
8,,1205,2,4,truth_n4_15,8,0.004279136657714844,972A,1241
8,,438,2,4,truth_n4_16,8,0.0015749931335449219,6C03,474
12,,2485,3,4,truth_n4_17,12,0.017344951629638672,822,4377
12,,2485,3,4,truth_n4_18,12,0.011893033981323242,7A0,3082
8,,317,2,4,truth_n4_19,8,0.0011458396911621094,17FC,353
8,,934,2,4,truth_n4_20,8,0.0033211708068847656,37F8,970
8,,985,2,4,truth_n4_21,8,0.003484010696411133,3B8F,1021
12,,2485,3,4,truth_n4_22,12,0.011004209518432617,815E,2886
8,,299,2,4,truth_n4_23,8,0.0010919570922851562,9A1D,335
12,,21126,3,4,truth_n4_24,12,0.2667360305786133,6CB,23647
8,,780,2,4,truth_n4_25,8,0.0027611255645751953,8FAD,816
12,,2485,3,4,truth_n4_26,12,0.01961803436279297,32E7,4845
8,,55,2,4,truth_n4_27,8,0.00027489662170410156,B74D,91
12,,2485,3,4,truth_n4_28,12,0.010074138641357422,A65E,2628
8,,727,2,4,truth_n4_29,8,0.0025801658630371094,B38A,763
8,,55,2,4,truth_n4_30,8,0.0002753734588623047,8B81,91
12,,2485,3,4,truth_n4_31,12,0.012342691421508789,6B65,3167
8,,600,2,4,truth_n4_32,8,0.002128124237060547,386E,636
8,,1683,2,4,truth_n4_33,8,0.006234884262084961,72FF,1719
12,,2485,3,4,truth_n4_34,12,0.011209964752197266,96DA,2898
12,,2485,3,4,truth_n4_35,12,0.011011123657226562,4737,2860
8,,427,2,4,truth_n4_36,8,0.0015506744384765625,CF36,463
12,,2485,3,4,truth_n4_37,12,0.010019063949584961,DE8A,2583
12,,63976,3,4,truth_n4_38,12,0.7286429405212402,1A9,66497
12,,2485,3,4,truth_n4_39,12,0.01841282844543457,C241,4656
8,,752,2,4,truth_n4_40,8,0.0026438236236572266,CE4A,788
12,,2485,3,4,truth_n4_41,12,0.009682893753051758,28DF,2545
12,,2485,3,4,truth_n4_42,12,0.009961128234863281,B2B9,2589
8,,493,2,4,truth_n4_43,8,0.0017442703247070312,6C30,529
8,,1641,2,4,truth_n4_44,8,0.006018161773681641,571A,1677
8,,77,2,4,truth_n4_45,8,0.00034880638122558594,4722,113
12,,2485,3,4,truth_n4_46,12,0.01088404655456543,27CD,2822
12,,2485,3,4,truth_n4_47,12,0.0169677734375,371E,4226
12,,2485,3,4,truth_n4_48,12,0.009738922119140625,F50B,2536
8,,91,2,4,truth_n4_49,8,0.0003979206085205078,C374,127
8,,298,2,4,truth_n4_50,8,0.0010972023010253906,562B,334
8,,1352,2,4,truth_n4_51,8,0.0049076080322265625,1A2A,1388
8,,73,2,4,truth_n4_52,8,0.0003483295440673828,17BE,109
12,,2485,3,4,truth_n4_53,12,0.018908977508544922,6142,4702
12,,2485,3,4,truth_n4_54,12,0.010974884033203125,18C2,2867
8,,1205,2,4,truth_n4_55,8,0.004293918609619141,5BE6,1241
8,,124,2,4,truth_n4_56,8,0.0005109310150146484,D8F5,160
8,,595,2,4,truth_n4_57,8,0.002103090286254883,580D,631
8,,349,2,4,truth_n4_58,8,0.0012860298156738281,9A8D,385
12,,2485,3,4,truth_n4_59,12,0.012244939804077148,43B7,3129
12,,22812,3,4,truth_n4_60,12,0.11446404457092285,CE9F,25333
8,,970,2,4,truth_n4_61,8,0.003427743911743164,B1F,1006
12,,64020,3,4,truth_n4_62,12,0.3015623092651367,BACF,66541
12,,22521,3,4,truth_n4_63,12,0.11204910278320312,759C,25042
