name,n,method,polarity,action_rank,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,score,terms,correct,time_s,error
anf_n14_0,14,root_direct,1024,,36,64,66,30,0,0,39.85,10,True,0.5394141674041748,
anf_n14_1,14,root_direct,0,,12,21,21,9,0,0,13.245,3,True,0.5360360145568848,
anf_n14_2,14,root_direct,0,,16512,25778,25778,9266,0,4,18030.449999999997,1010,True,0.5746681690216064,
anf_n14_2,14,root_heuristic_top1,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.006742000579833984,
anf_n14_2,14,root_beam4_oracle_eval,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.01447606086730957,
anf_n14_2,14,root_oracle12,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.03256821632385254,
anf_n14_2,14,root_oracle24,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.04661989212036133,
anf_n14_2,14,root_neural_top4,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.02392292022705078,
anf_n14_3,14,root_direct,0,,2384,3744,3744,1360,0,3,2609.52,168,True,0.5606861114501953,
anf_n14_3,14,root_heuristic_top1,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.0327301025390625,
anf_n14_3,14,root_beam4_oracle_eval,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.09437203407287598,
anf_n14_3,14,root_oracle12,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.2728419303894043,
anf_n14_3,14,root_oracle24,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.3628501892089844,
anf_n14_3,14,root_neural_top4,0,7,1568,2764,2764,1070,2,4,1738.72,168,True,0.0002009868621826172,
anf_n14_4,14,root_direct,0,,6208,9767,9767,3559,0,3,6786.775000000001,455,True,0.5732920169830322,
anf_n14_4,14,root_heuristic_top1,0,0,3752,6565,6565,2559,2,4,4146.665,455,True,0.12019896507263184,
anf_n14_4,14,root_beam4_oracle_eval,0,1,3748,6579,6579,2567,2,4,4143.515,455,True,0.3923189640045166,
anf_n14_4,14,root_oracle12,0,7,3732,6597,6597,2581,2,4,4128.645,455,True,0.9944589138031006,
anf_n14_4,14,root_oracle24,0,7,3732,6597,6597,2581,2,4,4128.645,455,True,1.5683629512786865,
anf_n14_4,14,root_neural_top4,0,1,3748,6579,6579,2567,2,4,4143.515,455,True,0.0006871223449707031,
anf_n14_5,14,root_direct,0,,8600,13405,13406,4806,0,4,9393.35,506,True,0.5808331966400146,
anf_n14_5,14,root_heuristic_top1,0,0,8228,12860,12861,4619,3,5,8991.505000000001,506,True,0.0014710426330566406,
anf_n14_5,14,root_beam4_oracle_eval,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.0035169124603271484,
anf_n14_5,14,root_oracle12,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.00773310661315918,
anf_n14_5,14,root_oracle24,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.0074863433837890625,
anf_n14_5,14,root_neural_top4,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.0004048347473144531,
anf_n14_6,14,root_direct,0,,6008,9454,9454,3446,0,3,6568.43,442,True,0.5770130157470703,
anf_n14_6,14,root_heuristic_top1,0,0,3640,6392,6392,2494,2,4,4024.5,442,True,0.11792898178100586,
anf_n14_6,14,root_beam4_oracle_eval,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,0.3393111228942871,
anf_n14_6,14,root_oracle12,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,1.0255370140075684,
anf_n14_6,14,root_oracle24,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,1.506788969039917,
anf_n14_6,14,root_neural_top4,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,0.00040793418884277344,
anf_n14_7,14,root_direct,0,,5408,8506,8506,3098,0,3,5912.8099999999995,394,True,0.5762050151824951,
anf_n14_7,14,root_heuristic_top1,0,0,3324,5820,5820,2264,2,4,3674.7400000000002,394,True,0.10102510452270508,
anf_n14_7,14,root_beam4_oracle_eval,0,0,3324,5820,5820,2264,2,4,3674.7400000000002,394,True,0.28520870208740234,
anf_n14_7,14,root_oracle12,0,4,3300,5810,5810,2268,2,4,3650.23,394,True,0.9049460887908936,
anf_n14_7,14,root_oracle24,0,4,3300,5810,5810,2268,2,4,3650.23,394,True,1.170518159866333,
anf_n14_7,14,root_neural_top4,0,0,3324,5820,5820,2264,2,4,3674.7400000000002,394,True,0.0004341602325439453,
anf_n14_8,14,root_direct,4,,56,100,102,46,0,0,61.99,16,True,0.5658342838287354,
anf_n14_8,14,root_heuristic_top1,4,0,52,96,98,46,1,1,59.77,16,True,8.487701416015625e-05,
anf_n14_8,14,root_beam4_oracle_eval,4,0,52,96,98,46,1,1,59.77,16,True,2.002716064453125e-05,
anf_n14_8,14,root_oracle12,4,0,52,96,98,46,1,1,59.77,16,True,1.6927719116210938e-05,
anf_n14_8,14,root_oracle24,4,0,52,96,98,46,1,1,59.77,16,True,1.5735626220703125e-05,
anf_n14_8,14,root_neural_top4,4,0,52,96,98,46,1,1,59.77,16,True,1.5735626220703125e-05,
anf_n14_9,14,root_direct,0,,2368,3778,3778,1410,0,2,2593.89,226,True,0.5694551467895508,
anf_n14_9,14,root_heuristic_top1,0,0,1532,2656,2656,1052,2,3,1694.6,226,True,0.029694080352783203,
anf_n14_9,14,root_beam4_oracle_eval,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.09021282196044922,
anf_n14_9,14,root_oracle12,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.4043691158294678,
anf_n14_9,14,root_oracle24,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.35704493522644043,
anf_n14_9,14,root_neural_top4,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.0001819133758544922,
anf_n14_10,14,root_direct,0,,16104,25141,25141,9037,0,4,17585.125,985,True,0.5671977996826172,
anf_n14_10,14,root_heuristic_top1,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.0059661865234375,
anf_n14_10,14,root_beam4_oracle_eval,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.01517486572265625,
anf_n14_10,14,root_oracle12,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.03442788124084473,
anf_n14_10,14,root_oracle24,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.04831981658935547,
anf_n14_10,14,root_neural_top4,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.0007269382476806641,
anf_n14_11,14,root_direct,0,,3616,5690,5691,2075,0,3,3955.7149999999997,267,True,0.5806679725646973,
anf_n14_11,14,root_heuristic_top1,0,0,2336,4055,4056,1572,2,4,2582.7599999999998,267,True,0.05800294876098633,
anf_n14_11,14,root_beam4_oracle_eval,0,1,2288,4024,4025,1569,2,4,2533.025,267,True,0.17280006408691406,
anf_n14_11,14,root_oracle12,0,1,2288,4024,4025,1569,2,4,2533.025,267,True,0.44228482246398926,
anf_n14_11,14,root_oracle24,0,1,2288,4024,4025,1569,2,4,2533.025,267,True,0.8260531425476074,
anf_n14_11,14,root_neural_top4,0,4,2308,4053,4054,1576,2,4,2554.69,267,True,0.0003161430358886719,
