name,n,method,polarity,action_rank,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,score,terms,correct,time_s,error
anf_n14_0,14,root_direct,1024,,36,64,66,30,0,0,39.85,10,True,0.5965309143066406,
anf_n14_1,14,root_direct,0,,12,21,21,9,0,0,13.245,3,True,0.605492115020752,
anf_n14_2,14,root_direct,0,,16512,25778,25778,9266,0,4,18030.449999999997,1010,True,0.6388082504272461,
anf_n14_2,14,root_heuristic_top1,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.007833242416381836,
anf_n14_2,14,root_beam4_oracle_eval,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.017035961151123047,
anf_n14_2,14,root_oracle12,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.03756976127624512,
anf_n14_2,14,root_oracle24,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.05303192138671875,
anf_n14_2,14,root_neural_top4,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.04026603698730469,
anf_n14_3,14,root_direct,0,,2384,3744,3744,1360,0,3,2609.52,168,True,0.6287212371826172,
anf_n14_3,14,root_heuristic_top1,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.03956031799316406,
anf_n14_3,14,root_beam4_oracle_eval,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.11276698112487793,
anf_n14_3,14,root_oracle12,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.3441588878631592,
anf_n14_3,14,root_oracle24,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.4280669689178467,
anf_n14_3,14,root_neural_top4,0,7,1568,2764,2764,1070,2,4,1738.72,168,True,0.00026869773864746094,
anf_n14_4,14,root_direct,0,,6208,9767,9767,3559,0,3,6786.775000000001,455,True,0.6179502010345459,
anf_n14_4,14,root_heuristic_top1,0,0,3752,6565,6565,2559,2,4,4146.665,455,True,0.1425180435180664,
anf_n14_4,14,root_beam4_oracle_eval,0,1,3748,6579,6579,2567,2,4,4143.515,455,True,0.4820389747619629,
anf_n14_4,14,root_oracle12,0,7,3732,6597,6597,2581,2,4,4128.645,455,True,1.1528878211975098,
anf_n14_4,14,root_oracle24,0,7,3732,6597,6597,2581,2,4,4128.645,455,True,1.9040508270263672,
anf_n14_4,14,root_neural_top4,0,1,3748,6579,6579,2567,2,4,4143.515,455,True,0.0009610652923583984,
anf_n14_5,14,root_direct,0,,8600,13405,13406,4806,0,4,9393.35,506,True,0.6398561000823975,
anf_n14_5,14,root_heuristic_top1,0,0,8228,12860,12861,4619,3,5,8991.505000000001,506,True,0.0016360282897949219,
anf_n14_5,14,root_beam4_oracle_eval,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.004256010055541992,
anf_n14_5,14,root_oracle12,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.009154796600341797,
anf_n14_5,14,root_oracle24,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.008570194244384766,
anf_n14_5,14,root_neural_top4,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.0005347728729248047,
anf_n14_6,14,root_direct,0,,6008,9454,9454,3446,0,3,6568.43,442,True,0.62648606300354,
anf_n14_6,14,root_heuristic_top1,0,0,3640,6392,6392,2494,2,4,4024.5,442,True,0.13704395294189453,
anf_n14_6,14,root_beam4_oracle_eval,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,0.40076684951782227,
anf_n14_6,14,root_oracle12,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,1.2289443016052246,
anf_n14_6,14,root_oracle24,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,1.7931163311004639,
