name,n,method,polarity,action_rank,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,score,terms,correct,time_s,error
anf_n14_0,14,root_direct,1024,,36,64,66,30,0,0,39.85,10,True,0.5558881759643555,
anf_n14_1,14,root_direct,0,,12,21,21,9,0,0,13.245,3,True,0.546821117401123,
anf_n14_2,14,root_direct,0,,16512,25778,25778,9266,0,4,18030.449999999997,1010,True,0.5895750522613525,
anf_n14_2,14,root_heuristic_top1,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.0069277286529541016,
anf_n14_2,14,root_beam4_oracle_eval,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.014893054962158203,
anf_n14_2,14,root_oracle12,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.03361320495605469,
anf_n14_2,14,root_oracle24,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.04802513122558594,
anf_n14_2,14,root_neural_top4,0,0,15404,24130,24130,8692,3,5,16828.07,1010,True,0.023931264877319336,
anf_n14_3,14,root_direct,0,,2384,3744,3744,1360,0,3,2609.52,168,True,0.5744960308074951,
anf_n14_3,14,root_heuristic_top1,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.034004926681518555,
anf_n14_3,14,root_beam4_oracle_eval,0,0,1572,2768,2768,1070,2,4,1742.94,168,True,0.09764790534973145,
anf_n14_3,14,root_oracle12,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.27768707275390625,
anf_n14_3,14,root_oracle24,0,11,1560,2753,2753,1067,2,4,1730.085,168,True,0.370664119720459,
anf_n14_3,14,root_neural_top4,0,7,1568,2764,2764,1070,2,4,1738.72,168,True,0.00020313262939453125,
anf_n14_4,14,root_direct,0,,6208,9767,9767,3559,0,3,6786.775000000001,455,True,0.5872800350189209,
anf_n14_4,14,root_heuristic_top1,0,0,3752,6565,6565,2559,2,4,4146.665,455,True,0.12123799324035645,
anf_n14_4,14,root_beam4_oracle_eval,0,1,3748,6579,6579,2567,2,4,4143.515,455,True,0.40030789375305176,
anf_n14_4,14,root_oracle12,0,7,3732,6597,6597,2581,2,4,4128.645,455,True,1.0137138366699219,
anf_n14_4,14,root_oracle24,0,7,3732,6597,6597,2581,2,4,4128.645,455,True,1.6018097400665283,
anf_n14_4,14,root_neural_top4,0,1,3748,6579,6579,2567,2,4,4143.515,455,True,0.00067901611328125,
anf_n14_5,14,root_direct,0,,8600,13405,13406,4806,0,4,9393.35,506,True,0.5949409008026123,
anf_n14_5,14,root_heuristic_top1,0,0,8228,12860,12861,4619,3,5,8991.505000000001,506,True,0.0014960765838623047,
anf_n14_5,14,root_beam4_oracle_eval,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.0036191940307617188,
anf_n14_5,14,root_oracle12,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.007959127426147461,
anf_n14_5,14,root_oracle24,0,1,8216,12841,12842,4612,3,5,8978.39,506,True,0.007647037506103516,
anf_n14_5,14,root_neural_top4,0,3,8252,12907,12908,4636,2,5,9018.260000000002,506,True,0.0004749298095703125,
anf_n14_6,14,root_direct,0,,6008,9454,9454,3446,0,3,6568.43,442,True,0.5906229019165039,
anf_n14_6,14,root_heuristic_top1,0,0,3640,6392,6392,2494,2,4,4024.5,442,True,0.12069869041442871,
anf_n14_6,14,root_beam4_oracle_eval,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,0.3478579521179199,
anf_n14_6,14,root_oracle12,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,1.051750898361206,
anf_n14_6,14,root_oracle24,0,1,3628,6357,6357,2481,2,4,4010.445,442,True,1.5383481979370117,
anf_n14_6,14,root_neural_top4,0,17,3644,6408,6408,2506,2,4,4029.5,442,True,0.0004961490631103516,
anf_n14_7,14,root_direct,0,,5408,8506,8506,3098,0,3,5912.8099999999995,394,True,0.5920581817626953,
anf_n14_7,14,root_heuristic_top1,0,0,3324,5820,5820,2264,2,4,3674.7400000000002,394,True,0.11112308502197266,
anf_n14_7,14,root_beam4_oracle_eval,0,0,3324,5820,5820,2264,2,4,3674.7400000000002,394,True,0.30020713806152344,
anf_n14_7,14,root_oracle12,0,4,3300,5810,5810,2268,2,4,3650.23,394,True,0.9342520236968994,
anf_n14_7,14,root_oracle24,0,4,3300,5810,5810,2268,2,4,3650.23,394,True,1.1966147422790527,
anf_n14_7,14,root_neural_top4,0,11,3320,5818,5818,2268,2,4,3670.6699999999996,394,True,0.0004208087921142578,
anf_n14_8,14,root_direct,4,,56,100,102,46,0,0,61.99,16,True,0.5764198303222656,
anf_n14_8,14,root_heuristic_top1,4,0,52,96,98,46,1,1,59.77,16,True,7.915496826171875e-05,
anf_n14_8,14,root_beam4_oracle_eval,4,0,52,96,98,46,1,1,59.77,16,True,1.8835067749023438e-05,
anf_n14_8,14,root_oracle12,4,0,52,96,98,46,1,1,59.77,16,True,1.5735626220703125e-05,
anf_n14_8,14,root_oracle24,4,0,52,96,98,46,1,1,59.77,16,True,1.4781951904296875e-05,
anf_n14_8,14,root_neural_top4,4,0,52,96,98,46,1,1,59.77,16,True,1.5020370483398438e-05,
anf_n14_9,14,root_direct,0,,2368,3778,3778,1410,0,2,2593.89,226,True,0.5803849697113037,
anf_n14_9,14,root_heuristic_top1,0,0,1532,2656,2656,1052,2,3,1694.6,226,True,0.030810117721557617,
anf_n14_9,14,root_beam4_oracle_eval,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.2565648555755615,
anf_n14_9,14,root_oracle12,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.24174189567565918,
anf_n14_9,14,root_oracle24,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.365664005279541,
anf_n14_9,14,root_neural_top4,0,1,1532,2645,2645,1047,2,3,1693.945,226,True,0.00019407272338867188,
anf_n14_10,14,root_direct,0,,16104,25141,25141,9037,0,4,17585.125,985,True,0.577193021774292,
anf_n14_10,14,root_heuristic_top1,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.007372856140136719,
anf_n14_10,14,root_beam4_oracle_eval,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.01977372169494629,
anf_n14_10,14,root_oracle12,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.03632712364196777,
anf_n14_10,14,root_oracle24,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.05000591278076172,
anf_n14_10,14,root_neural_top4,0,0,15076,23630,23630,8514,3,5,16470.79,985,True,0.000743865966796875,
anf_n14_11,14,root_direct,0,,3616,5690,5691,2075,0,3,3955.7149999999997,267,True,0.5913903713226318,
anf_n14_11,14,root_heuristic_top1,0,0,2336,4055,4056,1572,2,4,2582.7599999999998,267,True,0.05973505973815918,
anf_n14_11,14,root_beam4_oracle_eval,0,1,2288,4024,4025,1569,2,4,2533.025,267,True,0.1749711036682129,
anf_n14_11,14,root_oracle12,0,1,2288,4024,4025,1569,2,4,2533.025,267,True,0.4482853412628174,
anf_n14_11,14,root_oracle24,0,1,2288,4024,4025,1569,2,4,2533.025,267,True,0.8389880657196045,
anf_n14_11,14,root_neural_top4,0,23,2312,4054,4055,1579,2,4,2558.7749999999996,267,True,0.00031185150146484375,
