CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,4.410743713378906e-05,96
3,0,3,True,3,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,3.1948089599609375e-05,96
3,0,3,True,3,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,8.606910705566406e-05,96
3,0,3,True,3,0,3,and_fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0004737377166748047,96
3,0,3,True,3,0,3,and_fprm_neural_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0027968883514404297,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.0002281665802001953,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,2.09808349609375e-05,E8
18,12,3,True,18,0,3,and_direct_anf,3,4,majority_n3,0,13.02,,3,1.8835067749023438e-05,E8
18,12,3,True,18,0,3,and_mcts_factor,3,4,majority_n3,0,13.02,,3,6.4849853515625e-05,E8
18,12,3,True,18,0,3,and_fprm_mcts,3,4,majority_n3,0,13.02,,3,0.0005681514739990234,E8
18,12,3,True,18,0,3,and_fprm_neural_mcts,3,4,majority_n3,0,13.02,,3,0.0005769729614257812,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,4.506111145019531e-05,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,1.811981201171875e-05,E8
18,12,3,True,18,0,3,and_direct_anf,3,4,threshold2_n3,0,13.02,,3,1.5974044799804688e-05,E8
18,12,3,True,18,0,3,and_mcts_factor,3,4,threshold2_n3,0,13.02,,3,5.1975250244140625e-05,E8
18,12,3,True,18,0,3,and_fprm_mcts,3,4,threshold2_n3,0,13.02,,3,0.0005521774291992188,E8
18,12,3,True,18,0,3,and_fprm_neural_mcts,3,4,threshold2_n3,0,13.02,,3,0.0005807876586914062,E8
11,4,3,True,11,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,3.814697265625e-05,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,2.09808349609375e-05,6996
4,0,4,True,4,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,2.09808349609375e-05,6996
4,0,4,True,4,0,4,and_mcts_factor,4,5,parity_n4,0,0.26,,4,5.2928924560546875e-05,6996
4,0,4,True,4,0,4,and_fprm_mcts,4,5,parity_n4,0,0.26,,4,0.0006647109985351562,6996
4,0,4,True,4,0,4,and_fprm_neural_mcts,4,5,parity_n4,0,0.26,,4,0.0006799697875976562,6996
20,8,4,True,24,0,14,sshr_h,4,5,parity_n4,0,9.3,,4,0.001619100570678711,6996
66,88,5,True,66,0,5,direct_anf,4,5,majority_n4,1,93.67999999999999,,5,2.9087066650390625e-05,E880
71,44,5,True,71,0,27,and_direct_anf,4,5,majority_n4,2,52.175000000000004,,5,3.981590270996094e-05,E880
61,40,5,True,61,1,13,and_mcts_factor,4,6,majority_n4,2,47.485,,5,0.0049610137939453125,E880
34,44,5,True,36,0,9,sshr_h,4,5,majority_n4,1,47.99,,5,0.0017299652099609375,E880
46,48,7,True,46,0,7,direct_anf,4,5,threshold2_n4,1,52.6,,7,4.76837158203125e-05,FEE8
55,36,7,True,55,0,13,and_direct_anf,4,5,threshold2_n4,2,43.15500000000001,,7,4.315376281738281e-05,FEE8
55,36,7,True,55,0,13,and_mcts_factor,4,5,threshold2_n4,2,43.15500000000001,,7,0.0019478797912597656,FEE8
55,36,5,True,64,0,22,and_fprm_mcts,4,5,majority_n4,2,43.38,,8,0.04839515686035156,E880
35,36,7,True,43,0,19,sshr_h,4,5,threshold2_n4,1,40.235,,7,0.002079010009765625,FEE8
5,0,5,True,5,0,5,direct_anf,5,6,parity_n5,0,0.325,,5,4.7206878662109375e-05,96696996
5,0,5,True,5,0,5,and_direct_anf,5,6,parity_n5,0,0.325,,5,4.601478576660156e-05,96696996
5,0,5,True,5,0,5,and_mcts_factor,5,6,parity_n5,0,0.325,,5,9.083747863769531e-05,96696996
5,0,5,True,5,0,5,and_fprm_mcts,5,6,parity_n5,0,0.325,,5,0.0009760856628417969,96696996
5,0,5,True,5,0,5,and_fprm_neural_mcts,5,6,parity_n5,0,0.325,,5,0.0030791759490966797,96696996
190,280,15,True,190,0,15,direct_anf,5,6,majority_n5,1,292.6,,15,0.00010395050048828125,FEE8E880
