CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,5.888938903808594e-05,96
3,0,3,True,3,,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,5.0067901611328125e-05,96
3,0,3,True,3,,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,0.00013017654418945312,96
3,0,3,True,3,,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.012092828750610352,96
3,0,3,True,3,,0,3,and_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.006947040557861328,96
18,12,3,True,18,,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,3.695487976074219e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,5.0067901611328125e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,majority_n3,0,13.245,,3,0.00012183189392089844,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.00789189338684082,E8
12,4,3,True,12,,0,8,and_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.008289098739624023,E8
18,12,3,True,18,,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,3.1948089599609375e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,3.409385681152344e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,threshold2_n3,0,13.245,,3,8.916854858398438e-05,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.007077932357788086,E8
12,4,3,True,12,,0,8,and_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.009746074676513672,E8
4,0,4,True,4,,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,4.601478576660156e-05,6996
4,0,4,True,4,,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,6.890296936035156e-05,6996
4,0,4,True,4,,0,4,and_mcts_factor,4,5,parity_n4,0,0.26,,4,0.00010895729064941406,6996
4,0,4,True,4,,0,4,and_affine_nmcts,4,5,parity_n4,0,0.26,,4,0.010663986206054688,6996
4,0,4,True,4,,0,4,and_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.011204242706298828,6996
66,88,5,True,66,,0,5,direct_anf,4,5,majority_n4,1,93.67999999999999,,5,5.507469177246094e-05,E880
71,44,5,True,71,,0,27,and_direct_anf,4,5,majority_n4,2,52.175000000000004,,5,4.100799560546875e-05,E880
61,32,5,True,61,,1,25,and_mcts_factor,4,6,majority_n4,2,39.605,,5,0.00678706169128418,E880
46,48,7,True,46,,0,7,direct_anf,4,5,threshold2_n4,1,52.6,,7,8.988380432128906e-05,FEE8
61,36,7,True,61,,0,25,and_direct_anf,4,5,threshold2_n4,2,43.605,,7,7.510185241699219e-05,FEE8
59,32,7,True,59,,1,25,and_mcts_factor,4,6,threshold2_n4,2,39.495,,7,0.0036840438842773438,FEE8
5,0,5,True,5,,0,5,direct_anf,5,6,parity_n5,0,0.325,,5,8.916854858398438e-05,96696996
5,0,5,True,5,,0,5,and_direct_anf,5,6,parity_n5,0,0.325,,5,7.104873657226562e-05,96696996
5,0,5,True,5,,0,5,and_mcts_factor,5,6,parity_n5,0,0.325,,5,0.00013709068298339844,96696996
190,280,15,True,190,,0,15,direct_anf,5,6,majority_n5,1,292.6,,15,0.0001609325408935547,FEE8E880
225,140,15,True,225,,0,85,and_direct_anf,5,6,majority_n5,2,157.225,,15,0.00011277198791503906,FEE8E880
5,0,5,True,5,,0,5,and_affine_nmcts,5,6,parity_n5,0,0.325,,5,0.026009798049926758,96696996
110,160,15,True,110,,0,15,direct_anf,5,6,threshold2_n5,1,168.20000000000002,,15,0.0001480579376220703,FFFEFEE8
165,100,15,True,165,,0,65,and_direct_anf,5,6,threshold2_n5,2,113.725,,15,0.000102996826171875,FFFEFEE8
6,0,6,True,6,,0,6,direct_anf,6,7,parity_n6,0,0.38999999999999996,,6,0.00011396408081054688,6996966996696996
6,0,6,True,6,,0,6,and_direct_anf,6,7,parity_n6,0,0.38999999999999996,,6,0.00012493133544921875,6996966996696996
6,0,6,True,6,,0,6,and_mcts_factor,6,7,parity_n6,0,0.38999999999999996,,6,0.0019369125366210938,6996966996696996
6,0,6,True,6,,0,6,and_affine_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.00612187385559082,6996966996696996
5,0,5,True,5,,0,5,and_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.04620981216430664,96696996
150,360,15,True,150,,0,15,direct_anf,6,7,majority_n6,1,370.4,,15,0.00013494491577148438,FEE8E880E8808000
285,180,15,True,285,,0,105,and_direct_anf,6,7,majority_n6,2,200.72500000000002,,15,0.00011301040649414062,FEE8E880E8808000
143,80,15,True,143,,1,59,and_mcts_factor,5,7,threshold2_n5,2,92.455,,15,0.0852820873260498,FFFEFEE8
6,0,6,True,6,,0,6,and_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.09662103652954102,6996966996696996
174,84,15,True,174,,1,72,and_mcts_factor,5,7,majority_n5,2,98.28999999999999,,15,0.24601173400878906,FEE8E880
430,680,35,True,430,,0,35,direct_anf,6,7,threshold3_n6,1,706.0000000000001,,35,0.00019407272338867188,FFFEFEE8FEE8E880
545,340,35,True,545,,0,205,and_direct_anf,6,7,threshold3_n6,2,376.02500000000003,,35,0.00017404556274414062,FFFEFEE8FEE8E880
219,108,15,True,219,,1,87,and_mcts_factor,6,8,majority_n6,2,124.915,,15,0.49013304710388184,FEE8E880E8808000
49,24,5,True,58,,1,32,and_affine_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.8458080291748047,E880
49,24,7,True,51,,1,25,and_affine_nmcts,4,6,threshold2_n4,2,30.975,,7,0.786768913269043,FEE8
7,0,7,True,7,,0,7,direct_anf,7,8,parity_n7,0,0.455,,7,0.00010800361633300781,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_direct_anf,7,8,parity_n7,0,0.455,,7,0.0001068115234375,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_mcts_factor,7,8,parity_n7,0,0.455,,7,0.00015687942504882812,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_affine_nmcts,7,8,parity_n7,0,0.455,,7,0.0012221336364746094,96696996699696696996966996696996
7,0,7,True,7,,0,7,and_resource_nmcts,7,8,parity_n7,0,0.455,,7,0.003968954086303711,96696996699696696996966996696996
350,840,35,True,350,,0,35,direct_anf,7,8,majority_n7,1,861.6,,35,0.00022411346435546875,FFFEFEE8FEE8E880FEE8E880E8808000
665,420,35,True,665,,0,245,and_direct_anf,7,8,majority_n7,2,463.02500000000003,,35,0.0001990795135498047,FFFEFEE8FEE8E880FEE8E880E8808000
219,108,15,True,219,,1,87,and_affine_nmcts,6,8,majority_n6,2,124.915,,15,0.6734910011291504,FEE8E880E8808000
49,24,5,True,58,,1,32,and_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.9709601402282715,E880
49,24,7,True,51,,1,25,and_resource_nmcts,4,6,threshold2_n4,2,30.975,,7,0.8568451404571533,FEE8
862,1448,71,True,862,,0,71,direct_anf,7,8,threshold3_n7,3,1502.1200000000001,,71,0.0003712177276611328,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
1157,724,71,True,1157,,0,433,and_direct_anf,7,8,threshold3_n7,5,801.965,,71,0.0004220008850097656,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880
219,108,15,True,219,,1,87,and_resource_nmcts,6,8,majority_n6,2,124.915,,15,1.1767020225524902,FEE8E880E8808000
70,32,15,True,70,,1,34,and_affine_nmcts,5,7,majority_n5,2,40.19,,6,1.5353097915649414,FEE8E880
70,32,15,True,70,,1,34,and_resource_nmcts,5,7,majority_n5,2,40.19,,6,1.7459571361541748,FEE8E880
8,0,8,True,8,,0,8,direct_anf,8,9,parity_n8,0,0.52,,8,0.00018310546875,6996966996696996966969966996966996696996699696696996966996696996
8,0,8,True,8,,0,8,and_direct_anf,8,9,parity_n8,0,0.52,,8,0.0001819133758544922,6996966996696996966969966996966996696996699696696996966996696996
8,0,8,True,8,,0,8,and_mcts_factor,8,9,parity_n8,0,0.52,,8,0.000240325927734375,6996966996696996966969966996966996696996699696696996966996696996
8,0,8,True,8,,0,8,and_affine_nmcts,8,9,parity_n8,0,0.52,,8,0.002125978469848633,6996966996696996966969966996966996696996699696696996966996696996
8,0,8,True,8,,0,8,and_resource_nmcts,8,9,parity_n8,0,0.52,,8,0.007351875305175781,6996966996696996966969966996966996696996699696696996966996696996
1490,3352,93,True,1490,,0,93,direct_anf,8,9,majority_n8,3,3440.8799999999997,,93,0.0005350112915039062,FFFEFEE8FEE8E880FEE8E880E8808000FEE8E880E8808000E880800080000000
2607,1676,93,True,2607,,0,931,and_direct_anf,8,9,majority_n8,6,1840.695,,93,0.0008192062377929688,FFFEFEE8FEE8E880FEE8E880E8808000FEE8E880E8808000E880800080000000
375,192,35,True,375,,1,155,and_mcts_factor,6,8,threshold3_n6,2,218.175,,35,1.8329570293426514,FFFEFEE8FEE8E880
225,132,35,True,238,,1,100,and_affine_nmcts,6,8,threshold3_n6,2,149.57,,16,1.9088549613952637,FFFEFEE8FEE8E880
459,240,35,True,459,,1,183,and_mcts_factor,7,9,majority_n7,2,271.075,,35,2.248866081237793,FFFEFEE8FEE8E880FEE8E880E8808000
726,1736,71,True,726,,0,71,direct_anf,8,9,threshold4_n8,3,1782.64,,71,0.0004298686981201172,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880FFFEFEE8FEE8E880FEE8E880E8808000
238,132,35,True,238,,1,100,and_affine_nmcts,7,9,majority_n7,2,150.09,,16,2.2294399738311768,FFFEFEE8FEE8E880FEE8E880E8808000
1373,868,71,True,1373,,0,505,and_direct_anf,8,9,threshold4_n8,6,960.5649999999999,,71,0.0005249977111816406,FFFFFFFEFFFEFEE8FFFEFEE8FEE8E880FFFEFEE8FEE8E880FEE8E880E8808000
225,132,35,True,238,,1,100,and_resource_nmcts,6,8,threshold3_n6,2,149.57,,16,3.192776918411255,FFFEFEE8FEE8E880
238,132,35,True,238,,1,100,and_resource_nmcts,7,9,majority_n7,2,150.09,,16,3.4629359245300293,FFFEFEE8FEE8E880FEE8E880E8808000
