name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_affine_forms,candidate_polarities,candidate_transforms,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,rank_metric,shifted_constant_term,transform_index,transform_nonidentity,transform_rows_hex,transform_weight
majority_n3,3,phase_parity_affine_fprm_opt_score,0,4,8,8,0,0,3,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.011618693669637045,4,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,1024,8,128,0/1,1,0,0,0x0,0,score,0,12,1,0x7;0x6;0x4,6
majority_n3,3,phase_parity_affine_fprm_opt_rz1,0,4,8,8,0,0,3,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.011618693669637045,4,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,1024,8,128,0/1,1,0,0,0x0,0,score_rz1,0,12,1,0x7;0x6;0x4,6
majority_n3,3,phase_parity_affine_fprm_opt_tperrz30,0,4,8,8,0,0,3,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.011618693669637045,4,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,1024,8,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,12,1,0x7;0x6;0x4,6
parity_n3,3,phase_parity_affine_fprm_opt_score,0,0,3,3,0,0,3,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.006793657938639323,3,3,3,3,0,0,1,0,1,True,phase oracle verified up to global phase,,,96,1024,8,128,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4,3
parity_n3,3,phase_parity_affine_fprm_opt_rz1,0,0,3,3,0,0,3,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.006793657938639323,3,3,3,3,0,0,1,0,1,True,phase oracle verified up to global phase,,,96,1024,8,128,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4,3
parity_n3,3,phase_parity_affine_fprm_opt_tperrz30,0,0,3,3,0,0,3,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.006793657938639323,3,3,3,3,0,0,1,0,1,True,phase oracle verified up to global phase,,,96,1024,8,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4,3
threshold2_n3,3,phase_parity_affine_fprm_opt_score,0,4,8,8,0,0,3,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.011347055435180664,4,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,1024,8,128,0/1,1,0,0,0x0,0,score,0,12,1,0x7;0x6;0x4,6
threshold2_n3,3,phase_parity_affine_fprm_opt_rz1,0,4,8,8,0,0,3,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.011347055435180664,4,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,1024,8,128,0/1,1,0,0,0x0,0,score_rz1,0,12,1,0x7;0x6;0x4,6
threshold2_n3,3,phase_parity_affine_fprm_opt_tperrz30,0,4,8,8,0,0,3,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.011347055435180664,4,4,4,4,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8,1024,8,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,12,1,0x7;0x6;0x4,6
adder_carry_w2,4,phase_parity_affine_fprm_opt_score,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.054485321044921875,3,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,EC80,2048,16,128,0/1,1,0,0,0x0,0,score,0,10,1,0x1;0x2;0x4;0xa,5
