name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,constant_term_global_phase,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex
majority_n3,3,phase_parity_anf,0,6,12,12,0,0,3,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,8.606910705566406e-05,3,0,6,6,6,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8
parity_n3,3,phase_parity_anf,0,0,3,3,0,0,3,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,3.170967102050781e-05,3,0,3,3,3,0,0,1,0,1,True,phase oracle verified up to global phase,,,96
threshold2_n3,3,phase_parity_anf,0,6,12,12,0,0,3,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,4.38690185546875e-05,3,0,6,6,6,0,0,2,0,1,True,phase oracle verified up to global phase,,,E8
adder_carry_w2,4,phase_parity_anf,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.00010919570922851562,3,0,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,EC80
majority_n4,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001499652862548828,5,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,E880
mul_w2_bit1,4,phase_parity_anf,0,4,10,10,0,0,4,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,5.888938903808594e-05,2,0,6,6,6,0,0,2,0,1,True,phase oracle verified up to global phase,,,6AC0
parity_n4,4,phase_parity_anf,0,0,4,4,0,0,4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8160552978515625e-05,4,0,4,4,4,0,0,1,0,1,True,phase oracle verified up to global phase,,,6996
threshold2_n4,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00014019012451171875,7,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,FEE8
truth_n4_0,4,phase_parity_anf,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00011086463928222656,9,1,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,A3B1
truth_n4_1,4,phase_parity_anf,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.0001087188720703125,4,0,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,1C80
