CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,2.7894973754882812e-05,96
3,0,3,True,3,0,3,greedy_factor,3,4,parity_n3,0,0.19499999999999998,,3,2.8133392333984375e-05,96
3,0,3,True,3,0,3,mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,6.008148193359375e-05,96
3,0,3,True,3,0,3,fprm_greedy,3,4,parity_n3,0,0.19499999999999998,,3,0.0001418590545654297,96
3,0,3,True,3,0,3,fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.00037407875061035156,96
3,0,3,True,3,0,3,neural_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0031790733337402344,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.00021195411682128906,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,1.621246337890625e-05,E8
18,12,3,True,18,0,3,greedy_factor,3,4,majority_n3,0,13.02,,3,2.9802322387695312e-05,E8
18,12,3,True,18,0,3,mcts_factor,3,4,majority_n3,0,13.02,,3,4.792213439941406e-05,E8
18,12,3,True,18,0,3,fprm_greedy,3,4,majority_n3,0,13.02,,3,0.00024199485778808594,E8
18,12,3,True,18,0,3,fprm_mcts,3,4,majority_n3,0,13.02,,3,0.0005218982696533203,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,3.409385681152344e-05,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,1.4066696166992188e-05,E8
18,12,3,True,18,0,3,greedy_factor,3,4,threshold2_n3,0,13.02,,3,2.5272369384765625e-05,E8
18,12,3,True,18,0,3,mcts_factor,3,4,threshold2_n3,0,13.02,,3,4.887580871582031e-05,E8
18,12,3,True,18,0,3,fprm_greedy,3,4,threshold2_n3,0,13.02,,3,0.0001938343048095703,E8
18,12,3,True,18,0,3,fprm_mcts,3,4,threshold2_n3,0,13.02,,3,0.00047206878662109375,E8
18,12,3,True,18,0,3,neural_mcts,3,4,threshold2_n3,0,13.02,,3,5.1021575927734375e-05,E8
11,4,3,True,11,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,2.6226043701171875e-05,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,1.4781951904296875e-05,6996
4,0,4,True,4,0,4,greedy_factor,4,5,parity_n4,0,0.26,,4,2.0265579223632812e-05,6996
18,12,3,True,18,0,3,neural_mcts,3,4,majority_n3,0,13.02,,3,0.0015978813171386719,E8
4,0,4,True,4,0,4,mcts_factor,4,5,parity_n4,0,0.26,,4,4.1961669921875e-05,6996
4,0,4,True,4,0,4,fprm_greedy,4,5,parity_n4,0,0.26,,4,0.00032806396484375,6996
4,0,4,True,4,0,4,neural_mcts,4,5,parity_n4,0,0.26,,4,5.984306335449219e-05,6996
4,0,4,True,4,0,4,fprm_mcts,4,5,parity_n4,0,0.26,,4,0.0005359649658203125,6996
66,88,5,True,66,0,5,direct_anf,4,5,majority_n4,1,93.67999999999999,,5,1.8835067749023438e-05,E880
62,48,5,True,62,1,9,greedy_factor,4,6,majority_n4,2,55.5,,5,0.00020694732666015625,E880
20,8,4,True,24,0,14,sshr_h,4,5,parity_n4,0,9.3,,4,0.0012431144714355469,6996
57,44,5,True,66,1,18,fprm_greedy,4,6,majority_n4,2,51.45,,8,0.0026543140411376953,E880
62,48,5,True,62,1,9,mcts_factor,4,6,majority_n4,2,55.5,,5,0.0062940120697021484,E880
34,44,5,True,36,0,9,sshr_h,4,5,majority_n4,1,47.99,,5,0.0012340545654296875,E880
46,48,7,True,46,0,7,direct_anf,4,5,threshold2_n4,1,52.6,,7,2.4080276489257812e-05,FEE8
57,44,7,True,57,1,9,greedy_factor,4,6,threshold2_n4,2,51.225,,7,0.00014019012451171875,FEE8
57,44,7,True,57,1,9,mcts_factor,4,6,threshold2_n4,2,51.225,,7,0.002089977264404297,FEE8
57,44,7,True,57,1,9,fprm_greedy,4,6,threshold2_n4,2,51.225,,7,0.0027980804443359375,FEE8
62,48,5,True,62,1,9,neural_mcts,4,6,majority_n4,2,55.5,,5,0.00862884521484375,E880
5,0,5,True,5,0,5,direct_anf,5,6,parity_n5,0,0.325,,5,2.193450927734375e-05,96696996
5,0,5,True,5,0,5,greedy_factor,5,6,parity_n5,0,0.325,,5,2.6226043701171875e-05,96696996
5,0,5,True,5,0,5,mcts_factor,5,6,parity_n5,0,0.325,,5,5.1021575927734375e-05,96696996
35,36,7,True,43,0,19,sshr_h,4,5,threshold2_n4,1,40.235,,7,0.0013260841369628906,FEE8
57,44,7,True,57,1,9,neural_mcts,4,6,threshold2_n4,2,51.225,,7,0.0027081966400146484,FEE8
5,0,5,True,5,0,5,neural_mcts,5,6,parity_n5,0,0.325,,5,5.602836608886719e-05,96696996
5,0,5,True,5,0,5,fprm_greedy,5,6,parity_n5,0,0.325,,5,0.0007429122924804688,96696996
190,280,15,True,190,0,15,direct_anf,5,6,majority_n5,1,292.6,,15,4.00543212890625e-05,FEE8E880
5,0,5,True,5,0,5,fprm_mcts,5,6,parity_n5,0,0.325,,5,0.0010728836059570312,96696996
178,152,15,True,178,1,23,greedy_factor,5,7,majority_n5,2,166.01999999999998,,15,0.0007538795471191406,FEE8E880
108,96,5,True,132,0,54,sshr_h,5,6,parity_n5,1,104.84,,5,0.013969898223876953,96696996
170,144,15,True,174,1,29,fprm_greedy,5,7,majority_n5,2,157.70000000000002,,21,0.020236730575561523,FEE8E880
88,80,15,True,114,0,56,sshr_h,5,6,majority_n5,1,87.78999999999999,,15,0.01416921615600586,FEE8E880
110,160,15,True,110,0,15,direct_anf,5,6,threshold2_n5,1,168.20000000000002,,15,4.315376281738281e-05,FFFEFEE8
144,128,15,True,144,1,19,greedy_factor,5,7,threshold2_n5,2,140.10999999999999,,15,0.0005338191986083984,FFFEFEE8
57,44,5,True,66,1,18,fprm_mcts,4,6,majority_n4,2,51.45,,8,0.061022043228149414,E880
57,44,7,True,57,1,9,fprm_mcts,4,6,threshold2_n4,2,51.225,,7,0.060166120529174805,FEE8
94,96,15,True,105,1,20,fprm_greedy,5,7,threshold2_n5,2,105.53500000000001,,6,0.020563840866088867,FFFEFEE8
178,152,15,True,178,1,23,mcts_factor,5,7,majority_n5,2,166.01999999999998,,15,0.0783689022064209,FEE8E880
144,128,15,True,144,1,19,mcts_factor,5,7,threshold2_n5,2,140.10999999999999,,15,0.04971003532409668,FFFEFEE8
6,0,6,True,6,0,6,direct_anf,6,7,parity_n6,0,0.38999999999999996,,6,3.218650817871094e-05,6996966996696996
6,0,6,True,6,0,6,greedy_factor,6,7,parity_n6,0,0.38999999999999996,,6,5.793571472167969e-05,6996966996696996
