CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,,0,3,and_direct_anf,3,4,parity_n3,0,t_heavy,T-heavy,0.075,,3,4.887580871582031e-05,96
3,0,3,True,3,,0,3,and_mcts_factor,3,4,parity_n3,0,t_heavy,T-heavy,0.075,,3,8.273124694824219e-05,96
3,0,3,True,3,,0,3,and_affine_nmcts,3,4,parity_n3,0,t_heavy,T-heavy,0.075,,3,0.008164167404174805,96
52,32,3,True,64,,0,32,and_cube_beam,3,4,parity_n3,1,t_heavy,T-heavy,34.26,,3,0.00023674964904785156,96
16,8,3,True,20,,0,10,sshr_h,3,4,parity_n3,0,t_heavy,T-heavy,8.39,,3,0.00021767616271972656,96
21,12,3,True,21,,0,9,and_direct_anf,3,4,majority_n3,0,t_heavy,T-heavy,12.465,,3,2.4080276489257812e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,majority_n3,0,t_heavy,T-heavy,12.465,,3,6.198883056640625e-05,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,majority_n3,0,t_heavy,T-heavy,4.279999999999999,,2,0.004390239715576172,E8
27,16,3,True,33,,0,17,and_cube_beam,3,4,majority_n3,1,t_heavy,T-heavy,17.655,,3,0.00015401840209960938,E8
11,4,3,True,11,,0,6,sshr_h,3,4,majority_n3,0,t_heavy,T-heavy,4.25,,3,3.814697265625e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,threshold2_n3,0,t_heavy,T-heavy,12.465,,3,2.002716064453125e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,threshold2_n3,0,t_heavy,T-heavy,12.465,,3,5.507469177246094e-05,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,threshold2_n3,0,t_heavy,T-heavy,4.279999999999999,,2,0.004426002502441406,E8
27,16,3,True,33,,0,17,and_cube_beam,3,4,threshold2_n3,1,t_heavy,T-heavy,17.655,,3,0.0001480579376220703,E8
11,4,3,True,11,,0,6,sshr_h,3,4,threshold2_n3,0,t_heavy,T-heavy,4.25,,3,3.409385681152344e-05,E8
4,0,4,True,4,,0,4,and_direct_anf,4,5,parity_n4,0,t_heavy,T-heavy,0.1,,4,2.4080276489257812e-05,6996
4,0,4,True,4,,0,4,and_mcts_factor,4,5,parity_n4,0,t_heavy,T-heavy,0.1,,4,5.316734313964844e-05,6996
4,0,4,True,4,,0,4,and_affine_nmcts,4,5,parity_n4,0,t_heavy,T-heavy,0.1,,4,0.004990100860595703,6996
152,96,4,True,184,,0,88,and_cube_beam,4,5,parity_n4,2,t_heavy,T-heavy,101.64,,4,0.0017893314361572266,6996
20,8,4,True,24,,0,14,sshr_h,4,5,parity_n4,0,t_heavy,T-heavy,8.49,,4,0.001641988754272461,6996
71,44,5,True,71,,0,27,and_direct_anf,4,5,majority_n4,2,t_heavy,T-heavy,47.55499999999999,,5,2.7894973754882812e-05,E880
61,32,5,True,61,,1,25,and_mcts_factor,4,6,majority_n4,2,t_heavy,T-heavy,35.345,,5,0.004748821258544922,E880
64,40,5,True,72,,0,32,and_cube_beam,4,5,majority_n4,2,t_heavy,T-heavy,43.48,,5,0.0010111331939697266,E880
61,36,7,True,61,,0,25,and_direct_anf,4,5,threshold2_n4,2,t_heavy,T-heavy,39.345,,7,6.771087646484375e-05,FEE8
34,44,5,True,36,,0,9,sshr_h,4,5,majority_n4,1,t_heavy,T-heavy,45.735,,5,0.0018107891082763672,E880
59,32,7,True,59,,1,25,and_mcts_factor,4,6,threshold2_n4,2,t_heavy,T-heavy,35.305,,7,0.002282857894897461,FEE8
103,64,7,True,119,,0,55,and_cube_beam,4,5,threshold2_n4,2,t_heavy,T-heavy,68.415,,7,0.002104043960571289,FEE8
5,0,5,True,5,,0,5,and_direct_anf,5,6,parity_n5,0,t_heavy,T-heavy,0.125,,5,4.887580871582031e-05,96696996
