dataset,name,n,selected_k,policy,correct,lut_nodes,lut_edges,max_fanin,checkpoint_nodes,expanded_compute_calls,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,delta_T_vs_keep_all,delta_peak_ancilla_vs_keep_all,delta_score_vs_keep_all,source_manifest,abc_script,abc_binary,error
n14,anf_n14_0,14,5,keep_all_bennett,True,16,17,5,16,32,648,1147,1163,515,16,17,31,750.475000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_0,14,5,fanout_checkpoint,True,16,17,5,2,110,1976,3491,3549,1573,3,10,18,2204.605000,1328,-7,1454.130000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_0,14,5,zero_checkpoint,True,16,17,5,0,170,2216,4031,4119,1903,1,8,16,2474.055000,1568,-9,1723.580000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_1,14,4,keep_all_bennett,True,3,2,4,3,6,64,111,115,51,3,4,18,78.675000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_1,14,4,fanout_checkpoint,True,3,2,4,0,10,96,167,173,77,1,4,16,114.045000,32,0,35.370000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_1,14,4,zero_checkpoint,True,3,2,4,0,10,96,167,173,77,1,4,16,114.045000,32,0,35.370000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 4,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_10,14,3,keep_all_bennett,True,6700,10650,3,6700,13400,151792,269933,273763,121971,6700,6701,6715,181317.475000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_10,14,3,fanout_checkpoint,True,6700,10650,3,657,23877194316,269900797544,479934510157,487807613909,217906816365,658,716,673,298594361754.565063,269900645752,-5985,298594180437.090088,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_10,14,3,zero_checkpoint,True,6700,10650,3,0,83757020406,510925335480,963919695081,987301383471,476376047991,1,65,16,569055404645.214966,510925183688,-6636,569055223327.739990,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_11,14,3,keep_all_bennett,True,6343,9982,3,6343,12686,142600,253419,256935,114335,6343,6344,6358,170422.135000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_11,14,3,fanout_checkpoint,True,6343,9982,3,634,4301695006,48234407376,85976637089,87331977255,39097569879,635,688,650,53374429593.174995,48234264776,-5656,53374259171.039993,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_11,14,3,zero_checkpoint,True,6343,9982,3,0,14149397014,86340618552,163091769197,167097346659,80756728107,1,61,16,96178316922.835007,86340475952,-6283,96178146500.700012,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
