name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches
terms_n20_0000_deep,20,deep,179,adaptive_all_depth,1808.77,1644,2634,2634,990,5,0.6557381660022656,True,7,0
terms_n20_0000_deep,20,deep,179,depth2_guard_direct,1808.77,1644,2634,2634,990,5,0.5330072910001036,True,7,0
terms_n20_0000_deep,20,deep,179,depth_policy,1808.77,1644,2634,2634,990,5,0.5330072910001036,True,7,0
terms_n20_0000_deep,20,deep,179,direct_logical_and,2064.1349999999998,1880,2999,2999,1119,4,1.1660013115033507e-06,True,1,0
terms_n20_0000_deep,20,deep,179,screen_depth1,1878.5,1708,2732,2732,1024,5,0.1069083749971469,True,5,0
terms_n20_0000_deep,20,deep,179,screen_depth2,1808.77,1644,2634,2634,990,5,0.5330072910001036,True,7,0
terms_n20_0000_deep,20,deep,179,screen_single,1950.7099999999998,1776,2838,2838,1062,4,0.015822500005015172,True,3,0
terms_n20_0001_shallow,20,shallow,52,adaptive_all_depth,457.08,408,664,664,256,5,0.03158716699545039,True,5,0
terms_n20_0001_shallow,20,shallow,52,depth2_guard_direct,457.08,408,664,664,256,5,0.015704166995419655,True,5,0
terms_n20_0001_shallow,20,shallow,52,depth_policy,457.08,408,664,664,256,5,0.015704166995419655,True,5,0
terms_n20_0001_shallow,20,shallow,52,direct_logical_and,559.48,504,808,808,304,4,9.170034900307655e-07,True,1,0
terms_n20_0001_shallow,20,shallow,52,screen_depth1,457.08,408,664,664,256,5,0.01189650000014808,True,5,0
terms_n20_0001_shallow,20,shallow,52,screen_depth2,457.08,408,664,664,256,5,0.015704166995419655,True,5,0
terms_n20_0001_shallow,20,shallow,52,screen_single,461.235,412,667,667,255,5,0.003986499999882653,True,3,0
terms_n20_0002_mixed,20,mixed,110,adaptive_all_depth,962.71,868,1406,1406,538,6,0.3745847920072265,True,7,0
terms_n20_0002_mixed,20,mixed,110,depth2_guard_direct,962.71,868,1406,1406,538,6,0.3016128750023199,True,7,0
terms_n20_0002_mixed,20,mixed,110,depth_policy,962.71,868,1406,1406,538,6,0.3016128750023199,True,7,0
terms_n20_0002_mixed,20,mixed,110,direct_logical_and,1150.1499999999999,1040,1670,1670,630,6,1.0000003385357559e-06,True,1,0
terms_n20_0002_mixed,20,mixed,110,screen_depth1,1019.3249999999999,920,1485,1485,565,6,0.06315883400384337,True,5,0
terms_n20_0002_mixed,20,mixed,110,screen_depth2,962.71,868,1406,1406,538,6,0.3016128750023199,True,7,0
terms_n20_0002_mixed,20,mixed,110,screen_single,1084.705,980,1577,1577,597,6,0.009813083001063205,True,3,0
terms_n20_0003_deep,20,deep,183,adaptive_all_depth,1850.0499999999997,1680,2690,2690,1010,6,0.7168066249942058,True,7,0
terms_n20_0003_deep,20,deep,183,depth2_guard_direct,1850.0499999999997,1680,2690,2690,1010,6,0.5815270419989247,True,7,0
terms_n20_0003_deep,20,deep,183,depth_policy,1850.0499999999997,1680,2690,2690,1010,6,0.5815270419989247,True,7,0
terms_n20_0003_deep,20,deep,183,direct_logical_and,2159.745,1964,3129,3129,1165,6,1.0410003596916795e-06,True,1,0
terms_n20_0003_deep,20,deep,183,screen_depth1,1932.895,1756,2807,2807,1051,6,0.1180814580002334,True,5,0
terms_n20_0003_deep,20,deep,183,screen_depth2,1850.0499999999997,1680,2690,2690,1010,6,0.5815270419989247,True,7,0
terms_n20_0003_deep,20,deep,183,screen_single,2020.22,1836,2932,2932,1096,6,0.017198124995047692,True,3,0
terms_n20_0004_shallow,20,shallow,83,adaptive_all_depth,663.4799999999999,596,976,976,380,5,0.27098991600360023,True,7,0
terms_n20_0004_shallow,20,shallow,83,depth2_guard_direct,663.4799999999999,596,976,976,380,5,0.21875483300391352,True,7,0
terms_n20_0004_shallow,20,shallow,83,depth_policy,663.4799999999999,596,976,976,380,5,0.21875483300391352,True,7,0
terms_n20_0004_shallow,20,shallow,83,direct_logical_and,805.095,728,1175,1175,447,4,9.169962140731514e-07,True,1,0
terms_n20_0004_shallow,20,shallow,83,screen_depth1,680.815,612,999,999,387,5,0.04522245800035307,True,5,0
terms_n20_0004_shallow,20,shallow,83,screen_depth2,663.4799999999999,596,976,976,380,5,0.21875483300391352,True,7,0
terms_n20_0004_shallow,20,shallow,83,screen_single,737.4949999999999,664,1079,1079,415,5,0.007012624999333639,True,3,0
terms_n20_0005_mixed,20,mixed,153,adaptive_all_depth,1743.9599999999998,1584,2520,2520,936,6,0.571002831995429,True,7,0
terms_n20_0005_mixed,20,mixed,153,depth2_guard_direct,1743.9599999999998,1584,2520,2520,936,6,0.4617152499995427,True,7,0
terms_n20_0005_mixed,20,mixed,153,depth_policy,1743.9599999999998,1584,2520,2520,936,6,0.4617152499995427,True,7,0
terms_n20_0005_mixed,20,mixed,153,direct_logical_and,2018.595,1836,2907,2907,1071,6,1.0419971658848226e-06,True,1,0
terms_n20_0005_mixed,20,mixed,153,screen_depth1,1804.99,1640,2606,2606,966,6,0.09512329100107308,True,5,0
terms_n20_0005_mixed,20,mixed,153,screen_depth2,1743.9599999999998,1584,2520,2520,936,6,0.4617152499995427,True,7,0
terms_n20_0005_mixed,20,mixed,153,screen_single,1909.585,1736,2753,2753,1017,6,0.0141642909948132,True,3,0
terms_n20_0006_deep,20,deep,180,adaptive_all_depth,1667.545,1512,2441,2441,929,6,0.7152733749971958,True,7,0
terms_n20_0006_deep,20,deep,180,depth2_guard_direct,1667.545,1512,2441,2441,929,6,0.5820932499991613,True,7,0
terms_n20_0006_deep,20,deep,180,depth_policy,1667.545,1512,2441,2441,929,6,0.5820932499991613,True,7,0
terms_n20_0006_deep,20,deep,180,direct_logical_and,1876.8,1704,2736,2736,1032,6,7.499984349124134e-07,True,1,0
terms_n20_0006_deep,20,deep,180,screen_depth1,1706.76,1548,2496,2496,948,6,0.11598737500025891,True,5,0
terms_n20_0006_deep,20,deep,180,screen_depth2,1667.545,1512,2441,2441,929,6,0.5820932499991613,True,7,0
terms_n20_0006_deep,20,deep,180,screen_single,1789.5400000000002,1624,2612,2612,988,6,0.017192749997775536,True,3,0
terms_n20_0007_shallow,20,shallow,39,adaptive_all_depth,384.7,344,556,556,212,4,0.015312916999391746,True,3,0
terms_n20_0007_shallow,20,shallow,39,depth2_guard_direct,384.7,344,556,556,212,4,0.00588387499738019,True,3,0
terms_n20_0007_shallow,20,shallow,39,depth_policy,384.7,344,556,556,212,4,0.00588387499738019,True,3,0
terms_n20_0007_shallow,20,shallow,39,direct_logical_and,415.085,372,597,597,225,4,8.750066626816988e-07,True,1,0
terms_n20_0007_shallow,20,shallow,39,screen_depth1,384.7,344,556,556,212,4,0.00588387499738019,True,3,0
terms_n20_0007_shallow,20,shallow,39,screen_depth2,384.7,344,556,556,212,4,0.006139500001154374,True,3,0
terms_n20_0007_shallow,20,shallow,39,screen_single,384.7,344,556,556,212,4,0.003289542000857182,True,3,0
terms_n20_0008_mixed,20,mixed,162,adaptive_all_depth,1489.985,1352,2177,2177,825,5,0.5920055840033456,True,7,0
terms_n20_0008_mixed,20,mixed,162,depth2_guard_direct,1489.985,1352,2177,2177,825,5,0.47830883400456514,True,7,0
terms_n20_0008_mixed,20,mixed,162,depth_policy,1489.985,1352,2177,2177,825,5,0.47830883400456514,True,7,0
terms_n20_0008_mixed,20,mixed,162,direct_logical_and,1749.83,1592,2550,2550,958,4,6.249974831007421e-07,True,1,0
terms_n20_0008_mixed,20,mixed,162,screen_depth1,1564.195,1420,2283,2283,863,5,0.0992335000046296,True,5,0
terms_n20_0008_mixed,20,mixed,162,screen_depth2,1489.985,1352,2177,2177,825,5,0.47830883400456514,True,7,0
terms_n20_0008_mixed,20,mixed,162,screen_single,1642.7549999999999,1492,2395,2395,903,5,0.014463249994150829,True,3,0
terms_n20_0009_deep,20,deep,183,adaptive_all_depth,2089.4049999999997,1896,3021,3021,1125,8,0.7207683329979773,True,7,0
terms_n20_0009_deep,20,deep,183,depth2_guard_direct,2089.4049999999997,1896,3021,3021,1125,8,0.5847238330024993,True,7,0
terms_n20_0009_deep,20,deep,183,depth_policy,2089.4049999999997,1896,3021,3021,1125,8,0.5847238330024993,True,7,0
terms_n20_0009_deep,20,deep,183,direct_logical_and,2353.145,2140,3393,3393,1253,7,7.920025382190943e-07,True,1,0
terms_n20_0009_deep,20,deep,183,screen_depth1,2161.42,1964,3124,3124,1160,7,0.1186107079993235,True,5,0
terms_n20_0009_deep,20,deep,183,screen_depth2,2089.4049999999997,1896,3021,3021,1125,8,0.5847238330024993,True,7,0
terms_n20_0009_deep,20,deep,183,screen_single,2235.435,2032,3227,3227,1195,7,0.01743379199615447,True,3,0
terms_n20_0010_shallow,20,shallow,66,adaptive_all_depth,532.0699999999999,476,782,782,306,5,0.06806604100711411,True,7,0
terms_n20_0010_shallow,20,shallow,66,depth2_guard_direct,532.0699999999999,476,782,782,306,5,0.0426976660019136,True,7,0
terms_n20_0010_shallow,20,shallow,66,depth_policy,536.2249999999999,480,785,785,305,5,0.019996417002403177,True,5,0
terms_n20_0010_shallow,20,shallow,66,direct_logical_and,647.39,584,942,942,358,4,5.830006557516754e-07,True,1,0
terms_n20_0010_shallow,20,shallow,66,screen_depth1,536.2249999999999,480,785,785,305,5,0.019996417002403177,True,5,0
terms_n20_0010_shallow,20,shallow,66,screen_depth2,532.0699999999999,476,782,782,306,5,0.0426976660019136,True,7,0
terms_n20_0010_shallow,20,shallow,66,screen_single,566.6099999999999,508,826,826,318,5,0.005371958002797328,True,3,0
terms_n20_0011_mixed,20,mixed,108,adaptive_all_depth,1175.705,1060,1697,1697,637,8,0.38565112499782117,True,7,0
terms_n20_0011_mixed,20,mixed,108,depth2_guard_direct,1175.705,1060,1697,1697,637,8,0.3136252499971306,True,7,0
terms_n20_0011_mixed,20,mixed,108,depth_policy,1175.705,1060,1697,1697,637,8,0.3136252499971306,True,7,0
terms_n20_0011_mixed,20,mixed,108,direct_logical_and,1347.77,1220,1938,1938,718,7,7.499984349124134e-07,True,1,0
terms_n20_0011_mixed,20,mixed,108,screen_depth1,1197.325,1080,1725,1725,645,8,0.06242375000147149,True,5,0
terms_n20_0011_mixed,20,mixed,108,screen_depth2,1175.705,1060,1697,1697,637,8,0.3136252499971306,True,7,0
terms_n20_0011_mixed,20,mixed,108,screen_single,1234.3449999999998,1116,1777,1777,661,7,0.009602124999219086,True,3,0
terms_n20_0012_deep,20,deep,149,adaptive_all_depth,1676.5549999999998,1520,2427,2427,907,7,0.572155665999162,True,7,0
terms_n20_0012_deep,20,deep,149,depth2_guard_direct,1676.5549999999998,1520,2427,2427,907,7,0.46368920800159685,True,7,0
terms_n20_0012_deep,20,deep,149,depth_policy,1676.5549999999998,1520,2427,2427,907,7,0.46368920800159685,True,7,0
terms_n20_0012_deep,20,deep,149,direct_logical_and,1841.985,1672,2657,2657,985,7,9.169962140731514e-07,True,1,0
terms_n20_0012_deep,20,deep,149,screen_depth1,1715.705,1556,2481,2481,925,7,0.09463216699805344,True,5,0
terms_n20_0012_deep,20,deep,149,screen_depth2,1676.5549999999998,1520,2427,2427,907,7,0.46368920800159685,True,7,0
terms_n20_0012_deep,20,deep,149,screen_single,1767.905,1604,2553,2553,949,7,0.013834290999511722,True,3,0
terms_n20_0013_shallow,20,shallow,75,adaptive_all_depth,649.715,584,947,947,363,5,0.16751558300165925,True,7,0
terms_n20_0013_shallow,20,shallow,75,depth2_guard_direct,649.715,584,947,947,363,5,0.12473850000242237,True,7,0
