name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0000_deep,20,deep,179,adaptive_all_depth,1808.77,1644,2634,2634,990,5,3.7256380419930792,True,7,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,depth2_guard_direct,1808.77,1644,2634,2634,990,5,3.366082832995744,True,7,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,depth_policy,1808.77,1644,2634,2634,990,5,3.366082832995744,True,7,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,direct_logical_and,2064.1349999999998,1880,2999,2999,1119,4,1.3329990906640887e-06,True,1,0,True,179,179,0
terms_n20_0000_deep,20,deep,179,screen_depth1,1878.5,1708,2732,2732,1024,5,0.3255298750009388,True,5,0,True,170,179,0
terms_n20_0000_deep,20,deep,179,screen_depth2,1808.77,1644,2634,2634,990,5,3.366082832995744,True,7,0,True,168,179,0
terms_n20_0000_deep,20,deep,179,screen_single,1950.7099999999998,1776,2838,2838,1062,4,0.03402533399639651,True,3,0,True,174,179,0
terms_n20_0001_shallow,20,shallow,52,adaptive_all_depth,457.08,408,664,664,256,5,0.03342616799636744,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,depth2_guard_direct,457.08,408,664,664,256,5,0.01574820899986662,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,depth_policy,457.08,408,664,664,256,5,0.01574820899986662,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,direct_logical_and,559.48,504,808,808,304,4,2.3329994291998446e-06,True,1,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_depth1,457.08,408,664,664,256,5,0.012236666996614076,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_depth2,457.08,408,664,664,256,5,0.01574820899986662,True,5,0,True,52,52,0
terms_n20_0001_shallow,20,shallow,52,screen_single,461.235,412,667,667,255,5,0.005441291999886744,True,3,0,True,49,52,0
terms_n20_0002_mixed,20,mixed,110,adaptive_all_depth,962.71,868,1406,1406,538,6,2.072765500008245,True,7,0,True,104,110,0
terms_n20_0002_mixed,20,mixed,110,depth2_guard_direct,962.71,868,1406,1406,538,6,1.891391625002143,True,7,0,True,104,110,0
terms_n20_0002_mixed,20,mixed,110,depth_policy,962.71,868,1406,1406,538,6,1.891391625002143,True,7,0,True,104,110,0
terms_n20_0002_mixed,20,mixed,110,direct_logical_and,1150.1499999999999,1040,1670,1670,630,6,1.2919990695081651e-06,True,1,0,True,110,110,0
terms_n20_0002_mixed,20,mixed,110,screen_depth1,1019.3249999999999,920,1485,1485,565,6,0.17141379200620577,True,5,0,True,105,110,0
terms_n20_0002_mixed,20,mixed,110,screen_depth2,962.71,868,1406,1406,538,6,1.891391625002143,True,7,0,True,104,110,0
terms_n20_0002_mixed,20,mixed,110,screen_single,1084.705,980,1577,1577,597,6,0.009960082999896258,True,3,0,True,107,110,0
terms_n20_0003_deep,20,deep,183,adaptive_all_depth,1850.0499999999997,1680,2690,2690,1010,6,3.9691069160035113,True,7,0,True,170,183,0
terms_n20_0003_deep,20,deep,183,depth2_guard_direct,1850.0499999999997,1680,2690,2690,1010,6,3.5375317910002195,True,7,0,True,170,183,0
terms_n20_0003_deep,20,deep,183,depth_policy,1850.0499999999997,1680,2690,2690,1010,6,3.5375317910002195,True,7,0,True,170,183,0
terms_n20_0003_deep,20,deep,183,direct_logical_and,2159.745,1964,3129,3129,1165,6,1.2500022421590984e-06,True,1,0,True,183,183,0
terms_n20_0003_deep,20,deep,183,screen_depth1,1932.895,1756,2807,2807,1051,6,0.4132248750029248,True,5,0,True,173,183,0
terms_n20_0003_deep,20,deep,183,screen_depth2,1850.0499999999997,1680,2690,2690,1010,6,3.5375317910002195,True,7,0,True,170,183,0
terms_n20_0003_deep,20,deep,183,screen_single,2020.22,1836,2932,2932,1096,6,0.01835025000036694,True,3,0,True,178,183,0
terms_n20_0004_shallow,20,shallow,83,adaptive_all_depth,663.4799999999999,596,976,976,380,5,1.36849362400244,True,7,0,True,82,83,0
terms_n20_0004_shallow,20,shallow,83,depth2_guard_direct,663.4799999999999,596,976,976,380,5,1.2321661660025711,True,7,0,True,82,83,0
terms_n20_0004_shallow,20,shallow,83,depth_policy,663.4799999999999,596,976,976,380,5,1.2321661660025711,True,7,0,True,82,83,0
terms_n20_0004_shallow,20,shallow,83,direct_logical_and,805.095,728,1175,1175,447,4,2.9170041671022773e-06,True,1,0,True,83,83,0
terms_n20_0004_shallow,20,shallow,83,screen_depth1,680.815,612,999,999,387,5,0.11932470800093142,True,5,0,True,81,83,0
terms_n20_0004_shallow,20,shallow,83,screen_depth2,663.4799999999999,596,976,976,380,5,1.2321661660025711,True,7,0,True,82,83,0
terms_n20_0004_shallow,20,shallow,83,screen_single,737.4949999999999,664,1079,1079,415,5,0.01700274999893736,True,3,0,True,83,83,0
terms_n20_0005_mixed,20,mixed,153,adaptive_all_depth,1743.9599999999998,1584,2520,2520,936,6,3.180864792004286,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,depth2_guard_direct,1743.9599999999998,1584,2520,2520,936,6,2.9155412090040045,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,depth_policy,1743.9599999999998,1584,2520,2520,936,6,2.9155412090040045,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,direct_logical_and,2018.595,1836,2907,2907,1071,6,1.624997821636498e-06,True,1,0,True,153,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth1,1804.99,1640,2606,2606,966,6,0.2504970410009264,True,5,0,True,146,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth2,1743.9599999999998,1584,2520,2520,936,6,2.9155412090040045,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,screen_single,1909.585,1736,2753,2753,1017,6,0.014826541999354959,True,3,0,True,149,153,0
terms_n20_0006_deep,20,deep,180,adaptive_all_depth,1667.545,1512,2441,2441,929,6,4.027585123993049,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,depth2_guard_direct,1667.545,1512,2441,2441,929,6,3.6150812079940806,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,depth_policy,1667.545,1512,2441,2441,929,6,3.6150812079940806,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,direct_logical_and,1876.8,1704,2736,2736,1032,6,7.499984349124134e-07,True,1,0,True,180,180,0
terms_n20_0006_deep,20,deep,180,screen_depth1,1706.76,1548,2496,2496,948,6,0.37653375000081724,True,5,0,True,174,180,0
terms_n20_0006_deep,20,deep,180,screen_depth2,1667.545,1512,2441,2441,929,6,3.6150812079940806,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,screen_single,1789.5400000000002,1624,2612,2612,988,6,0.03597016599815106,True,3,0,True,176,180,0
terms_n20_0007_shallow,20,shallow,39,adaptive_all_depth,384.7,344,556,556,212,4,0.02286037500743987,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,depth2_guard_direct,384.7,344,556,556,212,4,0.008576291002100334,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,depth_policy,384.7,344,556,556,212,4,0.008576291002100334,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,direct_logical_and,415.085,372,597,597,225,4,6.250047590583563e-07,True,1,0,True,39,39,0
terms_n20_0007_shallow,20,shallow,39,screen_depth1,384.7,344,556,556,212,4,0.008576291002100334,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,screen_depth2,384.7,344,556,556,212,4,0.00610650000453461,True,3,0,True,40,39,0
