CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,2.3126602172851562e-05,96
3,0,3,True,3,0,3,greedy_factor,3,4,parity_n3,0,0.19499999999999998,,3,2.288818359375e-05,96
3,0,3,True,3,0,3,mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,4.1961669921875e-05,96
3,0,3,True,3,0,3,fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0003020763397216797,96
3,0,3,True,3,0,3,neural_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0030930042266845703,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.0001442432403564453,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,1.2159347534179688e-05,E8
18,12,3,True,18,0,3,greedy_factor,3,4,majority_n3,0,13.02,,3,2.2649765014648438e-05,E8
18,12,3,True,18,0,3,mcts_factor,3,4,majority_n3,0,13.02,,3,3.1948089599609375e-05,E8
18,12,3,True,18,0,3,fprm_mcts,3,4,majority_n3,0,13.02,,3,0.0003790855407714844,E8
18,12,3,True,18,0,3,neural_mcts,3,4,majority_n3,0,13.02,,3,3.409385681152344e-05,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,2.5987625122070312e-05,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,1.0251998901367188e-05,E8
18,12,3,True,18,0,3,greedy_factor,3,4,threshold2_n3,0,13.02,,3,1.8835067749023438e-05,E8
18,12,3,True,18,0,3,mcts_factor,3,4,threshold2_n3,0,13.02,,3,3.314018249511719e-05,E8
18,12,3,True,18,0,3,fprm_mcts,3,4,threshold2_n3,0,13.02,,3,0.00037789344787597656,E8
18,12,3,True,18,0,3,neural_mcts,3,4,threshold2_n3,0,13.02,,3,3.2901763916015625e-05,E8
11,4,3,True,11,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,2.2172927856445312e-05,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,1.2159347534179688e-05,6996
4,0,4,True,4,0,4,greedy_factor,4,5,parity_n4,0,0.26,,4,1.811981201171875e-05,6996
4,0,4,True,4,0,4,mcts_factor,4,5,parity_n4,0,0.26,,4,2.7894973754882812e-05,6996
4,0,4,True,4,0,4,fprm_mcts,4,5,parity_n4,0,0.26,,4,0.00044798851013183594,6996
4,0,4,True,4,0,4,neural_mcts,4,5,parity_n4,0,0.26,,4,2.8848648071289062e-05,6996
20,8,4,True,24,0,14,sshr_h,4,5,parity_n4,0,9.3,,4,0.0011188983917236328,6996
14,8,5,True,15,0,5,direct_anf,3,4,truth_n3_0,0,8.835,,5,1.5020370483398438e-05,A3
14,8,5,True,15,0,5,greedy_factor,3,4,truth_n3_0,0,8.835,,5,2.4080276489257812e-05,A3
14,8,5,True,15,0,5,mcts_factor,3,4,truth_n3_0,0,8.835,,5,3.6716461181640625e-05,A3
13,8,5,True,15,0,5,fprm_mcts,3,4,truth_n3_0,0,8.795,,3,0.0003352165222167969,A3
14,8,5,True,15,0,5,neural_mcts,3,4,truth_n3_0,0,8.835,,5,3.5762786865234375e-05,A3
9,4,5,True,13,0,8,sshr_h,3,4,truth_n3_0,0,4.635000000000001,,5,2.3126602172851562e-05,A3
22,20,4,True,22,0,4,direct_anf,3,4,truth_n3_1,1,23.249999999999996,,4,1.1920928955078125e-05,1C
21,12,4,True,21,1,6,greedy_factor,3,5,truth_n3_1,1,15.215,,4,5.2928924560546875e-05,1C
21,12,4,True,21,1,6,mcts_factor,3,5,truth_n3_1,1,15.215,,4,0.00044608116149902344,1C
21,12,4,True,21,1,6,fprm_mcts,3,5,truth_n3_1,1,15.215,,4,0.004043102264404297,1C
21,12,4,True,21,1,6,neural_mcts,3,5,truth_n3_1,1,15.215,,4,0.0007040500640869141,1C
17,16,4,True,19,0,6,sshr_h,3,4,truth_n3_1,1,19.025,,4,2.3126602172851562e-05,1C
14,8,4,True,14,0,4,direct_anf,3,4,truth_n3_2,0,8.81,,4,1.1920928955078125e-05,6
14,8,4,True,14,0,4,greedy_factor,3,4,truth_n3_2,0,8.81,,4,1.9788742065429688e-05,6
14,8,4,True,14,0,4,mcts_factor,3,4,truth_n3_2,0,8.81,,4,3.409385681152344e-05,6
12,8,4,True,14,0,4,fprm_mcts,3,4,truth_n3_2,0,8.73,,2,0.0003249645233154297,6
14,8,4,True,14,0,4,neural_mcts,3,4,truth_n3_2,0,8.81,,4,3.409385681152344e-05,6
8,4,4,True,10,0,5,sshr_h,3,4,truth_n3_2,0,4.5200000000000005,,4,1.5974044799804688e-05,6
19,12,5,True,20,0,5,direct_anf,3,4,truth_n3_3,0,13.110000000000001,,5,1.3113021850585938e-05,BD
19,12,5,True,20,0,5,greedy_factor,3,4,truth_n3_3,0,13.110000000000001,,5,2.3126602172851562e-05,BD
19,12,5,True,20,0,5,mcts_factor,3,4,truth_n3_3,0,13.110000000000001,,5,3.719329833984375e-05,BD
19,12,5,True,20,0,5,fprm_mcts,3,4,truth_n3_3,0,13.110000000000001,,5,0.0003960132598876953,BD
19,12,5,True,20,0,5,neural_mcts,3,4,truth_n3_3,0,13.110000000000001,,5,4.00543212890625e-05,BD
10,4,5,True,11,0,6,sshr_h,3,4,truth_n3_3,0,4.625,,5,2.384185791015625e-05,BD
6,4,1,True,6,0,1,direct_anf,5,6,anf_n5_0,0,4.34,,1,1.0967254638671875e-05,A0A0A0A0
6,4,1,True,6,0,1,greedy_factor,5,6,anf_n5_0,0,4.34,,1,1.0967254638671875e-05,A0A0A0A0
6,4,1,True,6,0,1,mcts_factor,5,6,anf_n5_0,0,4.34,,1,2.6226043701171875e-05,A0A0A0A0
6,4,1,True,6,0,1,fprm_mcts,5,6,anf_n5_0,0,4.34,,1,0.0006351470947265625,A0A0A0A0
6,4,1,True,6,0,1,neural_mcts,5,6,anf_n5_0,0,4.34,,1,2.574920654296875e-05,A0A0A0A0
6,4,1,True,6,0,1,sshr_h,5,6,anf_n5_0,0,4.34,,1,0.011843204498291016,A0A0A0A0
6,4,1,True,6,0,1,direct_anf,5,6,anf_n5_1,0,4.34,,1,1.3113021850585938e-05,F000F000
6,4,1,True,6,0,1,greedy_factor,5,6,anf_n5_1,0,4.34,,1,1.2159347534179688e-05,F000F000
6,4,1,True,6,0,1,mcts_factor,5,6,anf_n5_1,0,4.34,,1,2.8133392333984375e-05,F000F000
6,4,1,True,6,0,1,fprm_mcts,5,6,anf_n5_1,0,4.34,,1,0.0006270408630371094,F000F000
6,4,1,True,6,0,1,neural_mcts,5,6,anf_n5_1,0,4.34,,1,2.6226043701171875e-05,F000F000
6,4,1,True,6,0,1,sshr_h,5,6,anf_n5_1,0,4.34,,1,0.00020503997802734375,F000F000
7,4,2,True,7,0,2,direct_anf,5,6,anf_n5_2,0,4.405,,2,1.3113021850585938e-05,F0F0000
7,4,2,True,7,0,2,greedy_factor,5,6,anf_n5_2,0,4.405,,2,1.6927719116210938e-05,F0F0000
7,4,2,True,7,0,2,mcts_factor,5,6,anf_n5_2,0,4.405,,2,2.8848648071289062e-05,F0F0000
6,4,2,True,8,0,3,fprm_mcts,5,6,anf_n5_2,0,4.390000000000001,,1,0.0006451606750488281,F0F0000
7,4,2,True,7,0,2,neural_mcts,5,6,anf_n5_2,0,4.405,,2,3.409385681152344e-05,F0F0000
6,4,2,True,8,0,3,sshr_h,5,6,anf_n5_2,0,4.390000000000001,,2,0.0001971721649169922,F0F0000
32,28,4,True,32,0,4,direct_anf,5,6,anf_n5_3,1,31.8,,4,1.6927719116210938e-05,42CAE860
32,28,4,True,32,0,4,greedy_factor,5,6,anf_n5_3,1,31.8,,4,2.8848648071289062e-05,42CAE860
