CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0017168521881103516,96
3,0,3,True,3,0,3,and_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0019299983978271484,96
12,4,3,True,12,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.0018770694732666016,E8
12,4,3,True,12,0,8,and_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.001895904541015625,E8
3,0,3,True,3,0,3,and_pareto_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.015275955200195312,96
12,4,3,True,12,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.001789093017578125,E8
12,4,3,True,12,0,8,and_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.001940011978149414,E8
12,4,3,True,12,0,8,and_pareto_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.02039194107055664,E8
4,0,4,True,4,0,4,and_affine_nmcts,4,5,parity_n4,0,0.26,,4,0.0017619132995605469,6996
4,0,4,True,4,0,4,and_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.0030870437622070312,6996
12,4,3,True,12,0,8,and_pareto_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.02013111114501953,E8
4,0,4,True,4,0,4,and_pareto_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.031504154205322266,6996
5,0,5,True,5,0,5,and_affine_nmcts,5,6,parity_n5,0,0.325,,5,0.0024640560150146484,96696996
5,0,5,True,5,0,5,and_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.008861064910888672,96696996
49,24,5,True,58,1,32,and_affine_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.06383395195007324,E880
49,24,7,True,51,1,25,and_affine_nmcts,4,6,threshold2_n4,2,30.975,,7,0.05480337142944336,FEE8
49,24,7,True,51,1,25,and_resource_nmcts,4,6,threshold2_n4,2,30.975,,7,0.057806968688964844,FEE8
49,24,5,True,58,1,32,and_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.0665597915649414,E880
6,0,6,True,6,0,6,and_affine_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.00084686279296875,6996966996696996
5,0,5,True,5,0,5,and_pareto_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.08275675773620605,96696996
6,0,6,True,6,0,6,and_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.036579132080078125,6996966996696996
70,32,15,True,70,1,34,and_affine_nmcts,5,7,majority_n5,2,40.19,,6,0.09210872650146484,FEE8E880
70,32,15,True,70,1,34,and_resource_nmcts,5,7,majority_n5,2,40.19,,6,0.1144258975982666,FEE8E880
219,108,15,True,219,1,87,and_affine_nmcts,6,8,majority_n6,2,124.915,,15,0.056156158447265625,FEE8E880E8808000
219,108,15,True,219,1,87,and_resource_nmcts,6,8,majority_n6,2,124.915,,15,0.1109468936920166,FEE8E880E8808000
225,132,35,True,238,1,100,and_affine_nmcts,6,8,threshold3_n6,2,149.57,,16,0.15539312362670898,FFFEFEE8FEE8E880
78,40,15,True,89,1,43,and_affine_nmcts,5,7,threshold2_n5,2,48.885,,6,0.3206007480621338,FFFEFEE8
67,36,9,True,67,1,29,and_affine_nmcts,6,8,mux_2_4,1,41.975,,9,0.0036780834197998047,FEDCBA9876543210
67,36,9,True,67,1,29,and_resource_nmcts,6,8,mux_2_4,1,41.975,,9,0.018989086151123047,FEDCBA9876543210
78,40,15,True,89,1,43,and_resource_nmcts,5,7,threshold2_n5,2,48.885,,6,0.33672499656677246,FFFEFEE8
6,0,6,True,6,0,6,and_pareto_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.2982950210571289,6996966996696996
31,16,3,True,31,1,13,and_affine_nmcts,4,6,adder_carry_w2,1,19.834999999999997,,3,0.02555108070373535,EC80
31,16,3,True,31,1,13,and_resource_nmcts,4,6,adder_carry_w2,1,19.834999999999997,,3,0.027196884155273438,EC80
97,48,7,True,97,1,39,and_affine_nmcts,6,8,adder_carry_w3,2,57.725,,7,0.012949705123901367,FEFCF8F0E0C08000
49,24,7,True,49,1,23,and_pareto_resource_nmcts,4,6,threshold2_n4,2,30.925,,7,0.448505163192749,FEE8
97,48,7,True,97,1,39,and_resource_nmcts,6,8,adder_carry_w3,2,57.725,,7,0.03389620780944824,FEFCF8F0E0C08000
14,8,2,True,14,0,6,and_affine_nmcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.0023610591888427734,6AC0
14,8,2,True,14,0,6,and_resource_nmcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.0028061866760253906,6AC0
49,24,5,True,58,1,32,and_pareto_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.4891622066497803,E880
38,20,4,True,38,1,16,and_affine_nmcts,6,8,mul_w3_bit2,2,26.25,,4,0.003980875015258789,1E665AAAB4CCF000
14,8,2,True,14,0,6,and_pareto_resource_nmcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.030781984329223633,6AC0
38,20,4,True,38,1,16,and_resource_nmcts,6,8,mul_w3_bit2,2,26.25,,4,0.017271041870117188,1E665AAAB4CCF000
225,132,35,True,238,1,100,and_resource_nmcts,6,8,threshold3_n6,2,149.57,,16,0.30254507064819336,FFFEFEE8FEE8E880
31,16,9,True,33,0,17,and_affine_nmcts,4,5,truth_n4_0,1,19.905,,5,0.021638870239257812,A3B1
31,16,9,True,33,0,17,and_resource_nmcts,4,5,truth_n4_0,1,19.905,,5,0.024327754974365234,A3B1
38,20,4,True,38,1,16,and_affine_nmcts,4,6,truth_n4_1,1,24.25,,4,0.02304697036743164,1C80
38,20,4,True,38,1,16,and_resource_nmcts,4,6,truth_n4_1,1,24.25,,4,0.02378392219543457,1C80
25,12,3,True,30,1,18,and_pareto_resource_nmcts,4,6,adder_carry_w2,2,17.63,,6,0.2115647792816162,EC80
49,24,12,True,54,1,28,and_affine_nmcts,4,6,truth_n4_2,2,31.05,,8,0.058212995529174805,667
65,32,9,True,71,1,37,and_pareto_resource_nmcts,6,8,mux_2_4,1,38.035,,11,0.3085298538208008,FEDCBA9876543210
31,16,9,True,33,0,17,and_pareto_resource_nmcts,4,5,truth_n4_0,1,19.905,,5,0.19747519493103027,A3B1
38,20,4,True,38,1,16,and_pareto_resource_nmcts,6,8,mul_w3_bit2,2,26.25,,4,0.244873046875,1E665AAAB4CCF000
49,24,12,True,54,1,28,and_resource_nmcts,4,6,truth_n4_2,2,31.05,,8,0.063385009765625,667
48,24,11,True,55,1,29,and_affine_nmcts,4,6,truth_n4_3,2,31.035,,7,0.058606624603271484,BDD6
37,16,4,True,39,1,21,and_pareto_resource_nmcts,4,6,truth_n4_1,1,20.275000000000002,,7,0.19621920585632324,1C80
39,16,8,True,43,1,25,and_affine_nmcts,4,6,truth_n4_4,1,20.455,,5,0.022697925567626953,4668
48,24,11,True,55,1,29,and_resource_nmcts,4,6,truth_n4_3,2,31.035,,7,0.06146502494812012,BDD6
39,16,8,True,43,1,25,and_resource_nmcts,4,6,truth_n4_4,1,20.455,,5,0.026666879653930664,4668
36,16,8,True,38,1,20,and_affine_nmcts,4,6,truth_n4_5,2,22.21,,6,0.04615592956542969,3EB1
36,16,8,True,38,1,20,and_resource_nmcts,4,6,truth_n4_5,2,22.21,,6,0.049057960510253906,3EB1
31,16,8,True,36,0,20,and_affine_nmcts,4,5,truth_n4_6,1,19.979999999999997,,6,0.02021193504333496,3924
31,16,8,True,36,0,20,and_resource_nmcts,4,5,truth_n4_6,1,19.979999999999997,,6,0.020210981369018555,3924
39,16,8,True,43,1,25,and_pareto_resource_nmcts,4,6,truth_n4_4,1,20.455,,5,0.23761415481567383,4668
31,16,8,True,36,0,20,and_pareto_resource_nmcts,4,5,truth_n4_6,1,19.979999999999997,,6,0.1803281307220459,3924
41,20,8,True,43,1,21,and_affine_nmcts,4,6,truth_n4_7,2,26.495,,5,0.05520796775817871,23B8
41,20,8,True,43,1,21,and_resource_nmcts,4,6,truth_n4_7,2,26.495,,5,0.061673879623413086,23B8
42,20,12,True,46,1,24,and_pareto_resource_nmcts,4,6,truth_n4_2,2,26.61,,6,0.4591069221496582,667
40,16,11,True,45,1,25,and_affine_nmcts,4,6,truth_n4_8,1,20.525000000000002,,7,0.03068089485168457,BC89
40,16,11,True,45,1,25,and_resource_nmcts,4,6,truth_n4_8,1,20.525000000000002,,7,0.032849788665771484,BC89
36,16,8,True,38,1,20,and_pareto_resource_nmcts,4,6,truth_n4_5,2,22.21,,6,0.33870601654052734,3EB1
41,20,10,True,45,1,23,and_affine_nmcts,4,6,truth_n4_9,1,24.545,,5,0.029644012451171875,1A3D
41,20,10,True,45,1,23,and_resource_nmcts,4,6,truth_n4_9,1,24.545,,5,0.03169679641723633,1A3D
28,12,7,True,33,1,19,and_affine_nmcts,4,6,truth_n4_10,2,17.805,,5,0.052073001861572266,AD3C
48,24,11,True,55,1,29,and_pareto_resource_nmcts,4,6,truth_n4_3,2,31.035,,7,0.533160924911499,BDD6
28,12,7,True,33,1,19,and_resource_nmcts,4,6,truth_n4_10,2,17.805,,5,0.05321216583251953,AD3C
55,28,7,True,59,2,31,and_pareto_resource_nmcts,6,9,adder_carry_w3,4,39.394999999999996,,13,0.8953368663787842,FEFCF8F0E0C08000
