name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,adaptive_all_depth,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,10.282696873997338,0.0556599580013426,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,depth2_guard_direct,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.5894557909996365,0.057431875000474975,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,depth_frontier_policy,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,7.227129500002775,0.0556599580013426,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,depth_policy,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.5894557909996365,0.057431875000474975,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,direct_logical_and,1842.1800000000003,1672,2660,2660,988,7,152,1771,802,0,0,2.0250001398380846e-05,0.07291962500312366,True,True,1,0,True,152,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,screen_depth1,1646.1050000000002,1492,2385,2385,893,7,147,1613,715,1,21,0.11902616699808277,0.06085170799633488,True,True,5,0,True,147,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,screen_depth2,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.5894557909996365,0.057431875000474975,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,screen_depth3,1580.9850000000001,1432,2297,2297,865,7,147,1559,688,1,35,2.3294639160012593,0.05793295899638906,True,True,9,0,True,149,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,screen_depth4,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,7.227129500002775,0.0556599580013426,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,203.6863327500032,screen_single,1733.1699999999998,1572,2506,2506,934,7,148,1683,754,1,12,0.0176214999955846,0.05846212500182446,True,True,3,0,True,148,152,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,adaptive_all_depth,584.2049999999999,524,853,853,329,5,65,566,254,1,36,3.2471720410030684,0.022129084005428012,True,True,11,0,True,67,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,depth2_guard_direct,605.63,544,878,878,334,5,60,580,262,1,25,0.21636670800216962,0.023169083004177082,True,True,7,0,True,62,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,depth_frontier_policy,588.36,528,856,856,328,5,62,568,255,1,31,0.7915233749954496,0.02280691700434545,True,True,9,0,True,64,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,depth_policy,605.63,544,878,878,334,5,60,580,262,1,25,0.21636670800216962,0.023169083004177082,True,True,7,0,True,62,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,direct_logical_and,738.5450000000001,668,1065,1065,397,4,63,708,320,0,0,2.6374997105449438e-05,0.037951791993691586,True,True,1,0,True,63,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,screen_depth1,627.25,564,906,906,342,5,58,600,272,1,19,0.04668883300473681,0.023337124999670777,True,True,5,0,True,60,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,screen_depth2,605.63,544,878,878,334,5,60,580,262,1,25,0.21636670800216962,0.023169083004177082,True,True,7,0,True,62,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,screen_depth3,588.36,528,856,856,328,5,62,568,255,1,31,0.7915233749954496,0.02280691700434545,True,True,9,0,True,64,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,screen_depth4,584.2049999999999,524,853,853,329,5,65,566,254,1,36,2.1852106250007637,0.022129084005428012,True,True,11,0,True,67,63,0
truth_bridge_n23_001_shallow,23,shallow,63,203.21986220899998,screen_single,661.985,596,953,953,357,5,57,630,288,1,12,0.007382499999948777,0.02386116699926788,True,True,3,0,True,59,63,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,adaptive_all_depth,1077.915,976,1595,1595,619,4,129,1159,463,1,45,8.571660624998913,0.04272304200276267,True,True,11,0,True,131,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,depth2_guard_direct,1129.92,1024,1664,1664,640,4,126,1205,485,1,32,0.5029995419972693,0.044640207997872494,True,True,7,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,depth_frontier_policy,1077.915,976,1595,1595,619,4,129,1159,463,1,45,5.9987461249984335,0.04272304200276267,True,True,11,0,True,131,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,depth_policy,1129.92,1024,1664,1664,640,4,126,1205,485,1,32,0.5029995419972693,0.044640207997872494,True,True,7,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,direct_logical_and,1363.34,1240,1996,1996,756,3,136,1423,590,0,0,7.95899541117251e-06,0.05035733400291065,True,True,1,0,True,136,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,screen_depth1,1173.4199999999998,1064,1724,1724,660,4,126,1257,505,1,24,0.10434345800604206,0.044888917000207584,True,True,5,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,screen_depth2,1129.92,1024,1664,1664,640,4,126,1205,485,1,32,0.5029995419972693,0.044640207997872494,True,True,7,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,screen_depth3,1086.4850000000001,984,1605,1605,621,4,127,1167,465,1,39,1.9503801250029937,0.042532708001090214,True,True,9,0,True,129,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,screen_depth4,1077.915,976,1595,1595,619,4,129,1159,463,1,45,5.9987461249984335,0.04272304200276267,True,True,11,0,True,131,136,0
truth_bridge_n23_002_mixed,23,mixed,136,216.2133778750067,screen_single,1269.3149999999998,1152,1859,1859,707,4,129,1343,549,1,13,0.015191374994174112,0.046433957999397535,True,True,3,0,True,131,136,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,adaptive_all_depth,2220.1150000000002,2016,3235,3235,1219,7,209,2219,978,1,46,15.55593741600751,0.07666962499934016,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,depth2_guard_direct,2274.535,2068,3311,3311,1243,6,207,2279,1001,1,32,0.8703163329992094,0.08113266700092936,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,depth_frontier_policy,2220.1150000000002,2016,3235,3235,1219,7,209,2219,978,1,46,10.96414587500476,0.07666962499934016,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,depth_policy,2274.535,2068,3311,3311,1243,6,207,2279,1001,1,32,0.8703163329992094,0.08113266700092936,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,direct_logical_and,2466.455,2244,3583,3583,1339,6,217,2493,1083,0,0,5.875001079402864e-06,0.08755845799896633,True,True,1,0,True,217,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,screen_depth1,2318.0350000000003,2108,3371,3371,1263,6,208,2328,1020,1,24,0.20457012500264682,0.08044504200370284,True,True,5,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,screen_depth2,2274.535,2068,3311,3311,1243,6,207,2279,1001,1,32,0.8703163329992094,0.08113266700092936,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,screen_depth3,2237.4500000000003,2032,3258,3258,1226,7,208,2241,984,1,39,3.4916052920016227,0.07827625000209082,True,True,9,0,True,210,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,screen_depth4,2220.1150000000002,2016,3235,3235,1219,7,209,2219,978,1,46,10.96414587500476,0.07666962499934016,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,207.61903308299952,screen_single,2387.765,2172,3469,3469,1297,6,209,2407,1052,1,14,0.025299790999270044,0.08309641700179782,True,True,3,0,True,211,217,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,adaptive_all_depth,175.21,156,258,258,102,2,24,234,70,0,0,0.012885582000308204,0.007720499997958541,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,depth2_guard_direct,175.21,156,258,258,102,2,24,234,70,0,0,0.0024692079969099723,0.007441000001563225,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,depth_frontier_policy,175.21,156,258,258,102,2,24,234,70,0,0,0.0024692079969099723,0.007441000001563225,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,depth_policy,175.21,156,258,258,102,2,24,234,70,0,0,0.0024692079969099723,0.007441000001563225,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,direct_logical_and,175.21,156,258,258,102,2,24,234,70,0,0,4.082998202648014e-06,0.008221625001169741,True,True,1,0,True,24,24,0
