name,n,method,polarity,action_rank,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,score,terms,correct,time_s,error
anf_n16_0,16,root_direct,8192,,52,92,94,42,0,0,57.51,14,True,5.5988898277282715,
anf_n16_0,16,root_heuristic_top1,8192,0,44,82,84,40,1,1,50.94,14,True,6.699562072753906e-05,
anf_n16_0,16,root_beam4_oracle_eval,8192,0,44,82,84,40,1,1,50.94,14,True,0.00013899803161621094,
anf_n16_0,16,root_oracle12,8192,0,44,82,84,40,1,1,50.94,14,True,3.886222839355469e-05,
anf_n16_0,16,root_oracle24,8192,0,44,82,84,40,1,1,50.94,14,True,3.5762786865234375e-05,
anf_n16_0,16,root_neural_top4,8192,0,44,82,84,40,1,1,50.94,14,True,3.4809112548828125e-05,
anf_n16_0,16,root_union_h4_n4,8192,0,44,82,84,40,1,1,50.94,14,True,3.0994415283203125e-05,
anf_n16_0,16,root_neural_top8,8192,0,44,82,84,40,1,1,50.94,14,True,3.0994415283203125e-05,
anf_n16_0,16,root_union_h4_n8,8192,0,44,82,84,40,1,1,50.94,14,True,3.0994415283203125e-05,
anf_n16_0,16,root_neural_top12,8192,0,44,82,84,40,1,1,50.94,14,True,3.2901763916015625e-05,
anf_n16_0,16,root_union_h4_n12,8192,0,44,82,84,40,1,1,50.94,14,True,3.4809112548828125e-05,
anf_n16_1,16,root_direct,0,,4540,7130,7130,2590,0,3,4964.049999999999,320,True,5.679751873016357,
anf_n16_1,16,root_heuristic_top1,0,0,3000,5235,5235,2021,2,4,3316.135,320,True,0.11063504219055176,
anf_n16_1,16,root_beam4_oracle_eval,0,0,3000,5235,5235,2021,2,4,3316.135,320,True,0.335968017578125,
anf_n16_1,16,root_oracle12,0,5,3000,5216,5216,2014,2,4,3315.0199999999995,320,True,0.7987072467803955,
anf_n16_1,16,root_oracle24,0,14,2992,5210,5210,2012,2,4,3306.67,320,True,1.318985939025879,
anf_n16_1,16,root_neural_top4,0,14,2992,5210,5210,2012,2,4,3306.67,320,True,0.0004138946533203125,
anf_n16_1,16,root_union_h4_n4,0,14,2992,5210,5210,2012,2,4,3306.67,320,True,0.0003921985626220703,
anf_n16_1,16,root_neural_top8,0,14,2992,5210,5210,2012,2,4,3306.67,320,True,0.00038886070251464844,
anf_n16_1,16,root_union_h4_n8,0,14,2992,5210,5210,2012,2,4,3306.67,320,True,0.0003948211669921875,
anf_n16_1,16,root_neural_top12,0,14,2992,5210,5210,2012,2,4,3306.67,320,True,0.0004048347473144531,
anf_n16_1,16,root_union_h4_n12,0,14,2992,5210,5210,2012,2,4,3306.67,320,True,0.0004138946533203125,
anf_n16_2,16,root_direct,0,,9304,14613,14613,5309,0,3,10166.805,657,True,5.7379560470581055,
anf_n16_2,16,root_heuristic_top1,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.0018916130065917969,
anf_n16_2,16,root_beam4_oracle_eval,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.0042951107025146484,
anf_n16_2,16,root_oracle12,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.008404016494750977,
anf_n16_2,16,root_oracle24,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.008625268936157227,
anf_n16_2,16,root_neural_top4,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.0005519390106201172,
anf_n16_2,16,root_union_h4_n4,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.0005369186401367188,
anf_n16_2,16,root_neural_top8,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.0011899471282958984,
anf_n16_2,16,root_union_h4_n8,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.000530242919921875,
anf_n16_2,16,root_neural_top12,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.0005650520324707031,
anf_n16_2,16,root_union_h4_n12,0,0,8888,14006,14006,5098,2,4,9717.31,657,True,0.0005700588226318359,
anf_n16_3,16,root_direct,0,,1004,1603,1603,599,0,2,1102.155,97,True,5.708287000656128,
anf_n16_3,16,root_heuristic_top1,0,0,708,1253,1253,497,1,3,787.885,97,True,0.012022018432617188,
anf_n16_3,16,root_beam4_oracle_eval,0,0,708,1253,1253,497,1,3,787.885,97,True,0.029429912567138672,
anf_n16_3,16,root_oracle12,0,11,700,1249,1249,497,1,3,779.6650000000001,97,True,0.07799124717712402,
anf_n16_3,16,root_oracle24,0,11,700,1249,1249,497,1,3,779.6650000000001,97,True,0.10515117645263672,
anf_n16_3,16,root_neural_top4,0,13,712,1261,1261,501,1,3,792.365,97,True,0.00011920928955078125,
anf_n16_3,16,root_union_h4_n4,0,0,708,1253,1253,497,1,3,787.885,97,True,0.0001270771026611328,
anf_n16_3,16,root_neural_top8,0,19,708,1255,1255,499,1,3,788.0150000000001,97,True,0.0001850128173828125,
anf_n16_3,16,root_union_h4_n8,0,0,708,1253,1253,497,1,3,787.885,97,True,0.00014281272888183594,
anf_n16_3,16,root_neural_top12,0,21,708,1254,1254,498,1,3,787.9499999999999,97,True,0.00014901161193847656,
anf_n16_3,16,root_union_h4_n12,0,0,708,1253,1253,497,1,3,787.885,97,True,0.00019288063049316406,
anf_n16_4,16,root_direct,0,,1784,2848,2848,1064,0,2,1955.2800000000002,172,True,5.677077054977417,
anf_n16_4,16,root_heuristic_top1,0,0,1212,2128,2128,844,2,3,1343.48,172,True,0.026693105697631836,
anf_n16_4,16,root_beam4_oracle_eval,0,0,1212,2128,2128,844,2,3,1343.48,172,True,0.07384777069091797,
anf_n16_4,16,root_oracle12,0,6,1204,2098,2098,832,2,3,1333.71,172,True,0.18395400047302246,
anf_n16_4,16,root_oracle24,0,6,1204,2098,2098,832,2,3,1333.71,172,True,0.34157609939575195,
anf_n16_4,16,root_neural_top4,0,7,1212,2116,2116,840,2,3,1342.7800000000002,172,True,0.0001842975616455078,
anf_n16_4,16,root_union_h4_n4,0,7,1212,2116,2116,840,2,3,1342.7800000000002,172,True,0.00023508071899414062,
anf_n16_4,16,root_neural_top8,0,6,1204,2098,2098,832,2,3,1333.71,172,True,0.00018596649169921875,
anf_n16_4,16,root_union_h4_n8,0,6,1204,2098,2098,832,2,3,1333.71,172,True,0.00021505355834960938,
anf_n16_4,16,root_neural_top12,0,6,1204,2098,2098,832,2,3,1333.71,172,True,0.00021004676818847656,
anf_n16_4,16,root_union_h4_n12,0,6,1204,2098,2098,832,2,3,1333.71,172,True,0.00022983551025390625,
anf_n16_5,16,root_direct,0,,12664,19732,19732,7068,0,4,13827.94,736,True,5.71948504447937,
anf_n16_5,16,root_heuristic_top1,0,0,12284,19204,19204,6888,2,5,13419.099999999999,736,True,0.0022962093353271484,
anf_n16_5,16,root_beam4_oracle_eval,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.005882740020751953,
anf_n16_5,16,root_oracle12,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.0062410831451416016,
anf_n16_5,16,root_oracle24,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.008768081665039062,
anf_n16_5,16,root_neural_top4,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.0006270408630371094,
anf_n16_5,16,root_union_h4_n4,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.0006031990051269531,
anf_n16_5,16,root_neural_top8,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.0006682872772216797,
anf_n16_5,16,root_union_h4_n8,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.0006380081176757812,
anf_n16_5,16,root_neural_top12,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.0006649494171142578,
anf_n16_5,16,root_union_h4_n12,0,2,12276,19183,19183,6881,2,5,13409.875,736,True,0.0010509490966796875,
anf_n16_6,16,root_direct,0,,2672,4262,4262,1590,0,2,2926.31,254,True,5.677856922149658,
anf_n16_6,16,root_heuristic_top1,0,0,1784,3069,3069,1211,2,3,1970.905,254,True,0.04716181755065918,
anf_n16_6,16,root_beam4_oracle_eval,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.13806700706481934,
anf_n16_6,16,root_oracle12,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.37958502769470215,
anf_n16_6,16,root_oracle24,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.6294708251953125,
anf_n16_6,16,root_neural_top4,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.00025200843811035156,
anf_n16_6,16,root_union_h4_n4,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.0002429485321044922,
anf_n16_6,16,root_neural_top8,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.0002570152282714844,
anf_n16_6,16,root_union_h4_n8,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.0002560615539550781,
anf_n16_6,16,root_neural_top12,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.0002808570861816406,
anf_n16_6,16,root_union_h4_n12,0,3,1760,3056,3056,1210,2,3,1946.1799999999998,254,True,0.0002779960632324219,
anf_n16_7,16,root_direct,0,,8252,12974,12974,4722,0,3,9018.789999999999,596,True,5.745043992996216,
anf_n16_7,16,root_heuristic_top1,0,0,7932,12500,12500,4556,2,4,8673.06,596,True,0.001207113265991211,
anf_n16_7,16,root_beam4_oracle_eval,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.0021359920501708984,
anf_n16_7,16,root_oracle12,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.004154205322265625,
anf_n16_7,16,root_oracle24,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.005461931228637695,
anf_n16_7,16,root_neural_top4,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.0013401508331298828,
anf_n16_7,16,root_union_h4_n4,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.0004668235778808594,
anf_n16_7,16,root_neural_top8,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.0004858970642089844,
anf_n16_7,16,root_union_h4_n8,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.0004968643188476562,
anf_n16_7,16,root_neural_top12,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.0005581378936767578,
anf_n16_7,16,root_union_h4_n12,0,1,7928,12499,12499,4557,2,4,8669.015,596,True,0.0005300045013427734,
anf_n16_8,16,root_direct,0,,284,464,464,180,0,1,313.32,38,True,5.700944900512695,
anf_n16_8,16,root_heuristic_top1,0,0,216,404,404,168,1,2,243.9,38,True,0.0012836456298828125,
anf_n16_8,16,root_beam4_oracle_eval,0,1,212,402,402,168,1,2,239.79000000000002,38,True,0.00323486328125,
anf_n16_8,16,root_oracle12,0,1,212,402,402,168,1,2,239.79000000000002,38,True,6.198883056640625e-05,
anf_n16_8,16,root_oracle24,0,1,212,402,402,168,1,2,239.79000000000002,38,True,6.794929504394531e-05,
anf_n16_8,16,root_neural_top4,0,1,212,402,402,168,1,2,239.79000000000002,38,True,0.00011491775512695312,
anf_n16_8,16,root_union_h4_n4,0,1,212,402,402,168,1,2,239.79000000000002,38,True,7.009506225585938e-05,
anf_n16_8,16,root_neural_top8,0,1,212,402,402,168,1,2,239.79000000000002,38,True,0.0010929107666015625,
anf_n16_8,16,root_union_h4_n8,0,1,212,402,402,168,1,2,239.79000000000002,38,True,7.200241088867188e-05,
anf_n16_8,16,root_neural_top12,0,1,212,402,402,168,1,2,239.79000000000002,38,True,5.984306335449219e-05,
anf_n16_8,16,root_union_h4_n12,0,1,212,402,402,168,1,2,239.79000000000002,38,True,5.793571472167969e-05,
anf_n16_9,16,root_direct,0,,8796,13817,13817,5021,0,3,9612.144999999999,623,True,5.7024900913238525,
anf_n16_9,16,root_heuristic_top1,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.00189208984375,
anf_n16_9,16,root_beam4_oracle_eval,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0034942626953125,
anf_n16_9,16,root_oracle12,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.007291078567504883,
anf_n16_9,16,root_oracle24,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0064427852630615234,
anf_n16_9,16,root_neural_top4,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0005159378051757812,
anf_n16_9,16,root_union_h4_n4,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0005121231079101562,
anf_n16_9,16,root_neural_top8,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0009191036224365234,
anf_n16_9,16,root_union_h4_n8,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0004930496215820312,
anf_n16_9,16,root_neural_top12,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0005259513854980469,
anf_n16_9,16,root_union_h4_n12,0,0,8368,13195,13195,4805,2,4,9149.774999999998,623,True,0.0005280971527099609,
anf_n16_10,16,root_direct,0,,3672,5852,5852,2180,0,2,4019.6600000000003,344,True,5.709517002105713,
anf_n16_10,16,root_heuristic_top1,0,0,2420,4126,4126,1622,2,3,2669.1499999999996,344,True,0.07865595817565918,
anf_n16_10,16,root_beam4_oracle_eval,0,0,2420,4126,4126,1622,2,3,2669.1499999999996,344,True,0.23328113555908203,
anf_n16_10,16,root_oracle12,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.7059061527252197,
anf_n16_10,16,root_oracle24,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.9416098594665527,
anf_n16_10,16,root_neural_top4,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.00032210350036621094,
anf_n16_10,16,root_union_h4_n4,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.0003249645233154297,
anf_n16_10,16,root_neural_top8,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.00032591819763183594,
anf_n16_10,16,root_union_h4_n8,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.0003159046173095703,
anf_n16_10,16,root_neural_top12,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.0003578662872314453,
anf_n16_10,16,root_union_h4_n12,0,10,2416,4140,4140,1632,2,3,2666.02,344,True,0.00033211708068847656,
anf_n16_11,16,root_direct,0,,460,753,753,293,0,1,506.345,63,True,5.668701887130737,
anf_n16_11,16,root_heuristic_top1,0,0,336,636,636,266,1,2,377.64000000000004,63,True,0.0034110546112060547,
anf_n16_11,16,root_beam4_oracle_eval,0,0,336,636,636,266,1,2,377.64000000000004,63,True,0.00859975814819336,
anf_n16_11,16,root_oracle12,0,5,336,628,628,262,1,2,377.16,63,True,0.02150702476501465,
anf_n16_11,16,root_oracle24,0,18,332,631,631,265,1,2,373.35499999999996,63,True,0.03008413314819336,
anf_n16_11,16,root_neural_top4,0,0,336,636,636,266,1,2,377.64000000000004,63,True,8.702278137207031e-05,
anf_n16_11,16,root_union_h4_n4,0,0,336,636,636,266,1,2,377.64000000000004,63,True,8.702278137207031e-05,
anf_n16_11,16,root_neural_top8,0,5,336,628,628,262,1,2,377.16,63,True,0.00011110305786132812,
anf_n16_11,16,root_union_h4_n8,0,5,336,628,628,262,1,2,377.16,63,True,0.00015616416931152344,
anf_n16_11,16,root_neural_top12,0,5,336,628,628,262,1,2,377.16,63,True,0.0001239776611328125,
anf_n16_11,16,root_union_h4_n12,0,5,336,628,628,262,1,2,377.16,63,True,0.00011968612670898438,
anf_n16_12,16,root_direct,0,,4156,6626,6626,2470,0,2,4549.13,392,True,5.714150905609131,
anf_n16_12,16,root_heuristic_top1,0,0,2708,4628,4628,1824,2,3,2986.7799999999997,392,True,0.17776799201965332,
anf_n16_12,16,root_beam4_oracle_eval,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.2609288692474365,
anf_n16_12,16,root_oracle12,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.7274768352508545,
anf_n16_12,16,root_oracle24,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,1.177825927734375,
anf_n16_12,16,root_neural_top4,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.0003478527069091797,
anf_n16_12,16,root_union_h4_n4,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.00032901763916015625,
anf_n16_12,16,root_neural_top8,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.00036716461181640625,
anf_n16_12,16,root_union_h4_n8,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.00034928321838378906,
anf_n16_12,16,root_neural_top12,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.00036025047302246094,
anf_n16_12,16,root_union_h4_n12,0,2,2700,4606,4606,1816,2,3,2977.49,392,True,0.0004210472106933594,
anf_n16_13,16,root_direct,0,,16,28,28,12,0,0,17.660000000000004,4,True,5.506854772567749,
anf_n16_14,16,root_direct,0,,672,1106,1107,435,0,1,739.195,99,True,5.681697130203247,
anf_n16_14,16,root_heuristic_top1,0,0,448,864,865,369,1,2,503.225,99,True,0.007242918014526367,
anf_n16_14,16,root_beam4_oracle_eval,0,0,448,864,865,369,1,2,503.225,99,True,0.018612384796142578,
anf_n16_14,16,root_oracle12,0,8,448,862,863,369,1,2,503.115,99,True,0.05000710487365723,
anf_n16_14,16,root_oracle24,0,12,444,864,865,371,1,2,499.245,99,True,0.07864809036254883,
anf_n16_14,16,root_neural_top4,0,0,448,864,865,369,1,2,503.225,99,True,0.00011801719665527344,
anf_n16_14,16,root_union_h4_n4,0,0,448,864,865,369,1,2,503.225,99,True,0.00011086463928222656,
anf_n16_14,16,root_neural_top8,0,0,448,864,865,369,1,2,503.225,99,True,0.00018405914306640625,
anf_n16_14,16,root_union_h4_n8,0,0,448,864,865,369,1,2,503.225,99,True,0.00012803077697753906,
anf_n16_14,16,root_neural_top12,0,8,448,862,863,369,1,2,503.115,99,True,0.00015091896057128906,
anf_n16_14,16,root_union_h4_n12,0,8,448,862,863,369,1,2,503.115,99,True,0.00018262863159179688,
anf_n16_15,16,root_direct,0,,17032,26533,26533,9501,0,4,18594.324999999997,985,True,5.716219902038574,
anf_n16_15,16,root_heuristic_top1,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.004107952117919922,
anf_n16_15,16,root_beam4_oracle_eval,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.009444952011108398,
anf_n16_15,16,root_oracle12,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.015855073928833008,
anf_n16_15,16,root_oracle24,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.020071983337402344,
anf_n16_15,16,root_neural_top4,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.0008029937744140625,
anf_n16_15,16,root_union_h4_n4,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.0008330345153808594,
anf_n16_15,16,root_neural_top8,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.0011839866638183594,
anf_n16_15,16,root_union_h4_n8,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.0008492469787597656,
anf_n16_15,16,root_neural_top12,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.0009081363677978516,
anf_n16_15,16,root_union_h4_n12,0,0,16384,25587,25587,9175,3,5,17893.035,985,True,0.0008881092071533203,
anf_n16_16,16,root_direct,0,,440,720,720,280,0,1,484.40000000000003,60,True,5.643055200576782,
anf_n16_16,16,root_heuristic_top1,0,0,304,570,570,238,1,2,341.73,60,True,0.002249002456665039,
anf_n16_16,16,root_beam4_oracle_eval,0,2,300,575,575,243,1,2,338.055,60,True,0.008006811141967773,
anf_n16_16,16,root_oracle12,0,2,300,575,575,243,1,2,338.055,60,True,0.021971940994262695,
anf_n16_16,16,root_oracle24,0,2,300,575,575,243,1,2,338.055,60,True,0.019767045974731445,
anf_n16_16,16,root_neural_top4,0,2,300,575,575,243,1,2,338.055,60,True,8.606910705566406e-05,
anf_n16_16,16,root_union_h4_n4,0,2,300,575,575,243,1,2,338.055,60,True,8.106231689453125e-05,
