budget,functions,mean_score,mean_time_s,method,rows,variant
top8_s8_n12,177,55.946440677966116,0.11971195134739418,and_affine_nmcts,177,learned_prior
top8_s8_n12,177,53.937853107344644,0.17787932002611753,and_resource_nmcts,177,learned_prior
top8_s8_n12,177,49.567994350282476,2.2266874663573875,and_pareto_resource_nmcts,177,learned_prior
top8_s8_n12,177,56.48045197740115,0.09091896929983366,and_affine_nmcts,177,no_prior
top8_s8_n12,177,54.37847457627119,0.1473714564479677,and_resource_nmcts,177,no_prior
top8_s8_n12,177,49.870762711864394,2.076473703492159,and_pareto_resource_nmcts,177,no_prior
top12_s12_n16,177,55.946440677966116,0.1683245728918388,and_affine_nmcts,177,learned_prior
top12_s12_n16,177,53.937853107344644,0.24307998694942495,and_resource_nmcts,177,learned_prior
top12_s12_n16,177,49.567994350282476,2.539179656465175,and_pareto_resource_nmcts,177,learned_prior
top12_s12_n16,177,56.48045197740115,0.12372012192246604,and_affine_nmcts,177,no_prior
top12_s12_n16,177,54.37847457627119,0.1937627953998113,and_resource_nmcts,177,no_prior
top12_s12_n16,177,49.870762711864394,2.2846136322129245,and_pareto_resource_nmcts,177,no_prior
