learned_losses,learned_vs_no_prior_losses,learned_vs_no_prior_ties,learned_vs_no_prior_wins,learned_wins,mean_learned,mean_random,mean_random_best,mean_relative,method,metric,no_prior_pairs,pairs,random_repeats,seed_means_beaten,status,target_at_or_better_than_random_best,ties
12,0,135,42,20,55.36983051,55.43321328,55.23016949,-0.001184349596,and_affine_nmcts,score,177,177,8,8,pass,165,145
6,0,155,22,13,45.87570621,45.92655367,45.74011299,-0.001117116431,and_affine_nmcts,T,177,177,8,8,pass,171,158
11,2,142,33,16,94.36158192,94.45833333,94.05649718,-0.001469572413,and_affine_nmcts,CNOT,177,177,8,7,pass,166,150
12,5,139,33,19,98.91525424,99.05508475,98.63276836,-0.001823311589,and_affine_nmcts,depth,177,177,8,7,pass,165,146
0,0,176,1,1,1.881355932,1.884180791,1.881355932,-0.001129943503,and_affine_nmcts,peak_ancilla,177,177,8,8,pass,177,176
153,174,0,3,24,0.2862153148,0.235584567,0.169709766,0.2901727406,and_affine_nmcts,time_s,177,177,8,3,pass,0,0
8,0,138,39,17,53.21581921,53.28714689,53.13615819,-0.001503285697,and_resource_nmcts,score,177,177,8,8,pass,169,152
3,0,160,17,9,43.90960452,43.97457627,43.84180791,-0.001681617534,and_resource_nmcts,T,177,177,8,8,pass,174,165
11,5,145,27,10,89.85310734,89.89759887,89.54237288,-0.0008234455189,and_resource_nmcts,CNOT,177,177,8,8,pass,166,156
9,4,142,31,15,94.50847458,94.5960452,94.25423729,-0.001203378634,and_resource_nmcts,depth,177,177,8,6,pass,168,153
0,0,174,3,2,1.920903955,1.922316384,1.920903955,-0.0006646726487,and_resource_nmcts,peak_ancilla,177,177,8,8,pass,177,175
105,123,0,54,72,0.4096927508,0.3478770519,0.2553993659,0.4804576153,and_resource_nmcts,time_s,177,177,8,3,pass,0,0
5,0,148,29,5,49.55649718,49.57258121,49.50324859,-0.0003257674545,and_pareto_resource_nmcts,score,177,177,8,6,pass,172,167
2,0,168,9,2,40.42937853,40.44350282,40.38418079,-0.0003539897626,and_pareto_resource_nmcts,T,177,177,8,8,pass,175,173
5,3,155,19,3,83.03954802,83.04025424,82.8700565,-1.156036082e-05,and_pareto_resource_nmcts,CNOT,177,177,8,4,pass,172,169
5,5,151,21,5,88,88.02754237,87.83615819,-0.000275508799,and_pareto_resource_nmcts,depth,177,177,8,5,pass,172,167
0,0,172,5,1,2.028248588,2.028954802,2.028248588,-0.0003323363244,and_pareto_resource_nmcts,peak_ancilla,177,177,8,8,pass,177,176
156,140,0,37,21,3.982927425,3.434573242,2.596248515,0.3818404907,and_pareto_resource_nmcts,time_s,177,177,8,3,pass,1,0
