correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.012008587519327799,and_affine_nmcts,3,27,8
69,69,36.31884057971015,1.434782608695652,20.051159420289856,0.36978387141573255,and_affine_nmcts,4,2257,1044
67,67,90.77611940298507,1.955223880597015,49.32313432835821,3.5611367866174497,and_affine_nmcts,5,5737,2692
38,38,235.42105263157896,2.736842105263158,136.60342105263157,0.7055858750092355,and_affine_nmcts,6,8726,4460
3,3,257.6666666666667,2.0,153.78166666666667,4.2735973199208575,and_affine_nmcts,7,759,404
69,69,176.0,1.6666666666666667,107.39565217391305,0.4293383066205011,and_affine_nmcts,8,12125,6464
48,48,655.8541666666666,2.2083333333333335,397.8371875,5.888611649473508,and_affine_nmcts,10,31475,17028
1,1,232.0,2.0,141.73999999999998,0.2821478843688965,and_affine_nmcts,11,232,124
24,24,1103.5,1.875,676.7733333333333,36.10604392488798,and_affine_nmcts,12,26482,14592
3,3,15.0,0.0,8.895,4.871686299641927e-05,and_direct_anf,3,45,24
69,69,57.53623188405797,1.434782608695652,39.303333333333335,5.6847282077955164e-05,and_direct_anf,4,3937,2280
67,67,161.73134328358208,2.4328358208955225,111.63910447761194,0.00010366226310160623,and_direct_anf,5,10802,6516
38,38,386.7368421052632,3.236842105263158,267.52947368421053,0.00019616829721551192,and_direct_anf,6,14682,9056
3,3,609.6666666666666,2.3333333333333335,421.815,0.00023643175760904947,and_direct_anf,7,1829,1144
69,69,244.91304347826087,1.9130434782608696,171.42949275362318,0.00026651050733483356,and_direct_anf,8,16897,10572
48,48,933.1875,2.2291666666666665,649.1280208333334,0.0010427981615066528,and_direct_anf,10,44787,28316
1,1,351.0,2.0,240.65499999999997,0.001627206802368164,and_direct_anf,11,351,216
24,24,1556.0416666666667,1.875,1081.8543750000001,0.005607038736343384,and_direct_anf,12,37343,23684
3,3,15.0,0.0,8.895,0.00012723604838053385,and_mcts_factor,3,45,24
69,69,49.89855072463768,1.434782608695652,29.881666666666668,0.0075475893158843555,and_mcts_factor,4,3410,1660
67,67,125.0,1.955223880597015,72.86320895522388,0.09178298622814578,and_mcts_factor,5,8341,4124
38,38,268.9736842105263,2.4473684210526314,157.02118421052631,0.6085480514325594,and_mcts_factor,6,10207,5176
3,3,404.0,2.0,234.54666666666665,4.366696119308472,and_mcts_factor,7,1212,620
69,69,183.36231884057972,1.6521739130434783,111.51826086956521,0.4019597647846609,and_mcts_factor,8,12650,6720
48,48,655.8541666666666,2.2083333333333335,397.8371875,5.805896068612735,and_mcts_factor,10,31475,17028
1,1,232.0,2.0,141.73999999999998,0.24857306480407715,and_mcts_factor,11,232,124
23,23,1129.4782608695652,1.9130434782608696,693.5030434782609,23.883630420850672,and_mcts_factor,12,25976,14332
3,3,13.0,0.0,8.745,4.363059997558594e-05,direct_anf,3,39,24
69,69,52.27536231884058,0.9710144927536232,58.90673913043478,0.00010795524154884228,direct_anf,4,3574,3728
67,67,135.49253731343285,1.4776119402985075,185.35149253731345,0.00010686845921758396,direct_anf,5,9044,11712
38,38,292.3421052631579,1.8157894736842106,470.51460526315793,0.0001811228300395765,direct_anf,6,11095,17120
3,3,406.3333333333333,1.3333333333333333,788.0583333333334,0.0003134409586588542,direct_anf,7,1219,2288
69,69,166.92753623188406,1.1884057971014492,308.2872463768116,0.0002240236254705899,direct_anf,8,11516,20464
48,48,591.7291666666666,1.2916666666666667,1198.7732291666666,0.001353725790977478,direct_anf,10,28397,55832
1,1,285.0,1.0,425.94499999999994,0.0019659996032714844,direct_anf,11,285,408
24,24,976.375,1.1666666666666667,2007.121875,0.0058855414390563965,direct_anf,12,23431,46808
3,3,14.0,0.0,6.123333333333334,0.0002605915069580078,sshr_h,3,38,16
69,69,38.88405797101449,0.9855072463768116,32.50123188405797,0.0006990156311919724,sshr_h,4,2052,1972
67,67,92.77611940298507,1.492537313432836,88.78731343283582,0.007906554350212439,sshr_h,5,4813,5436
38,38,177.8684210526316,1.894736842105263,194.74171052631579,0.15383556642030416,sshr_h,6,5055,6920
