correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,34.333333333333336,4.666666666666667,30.618333333333336,0.03531726201375326,external_abc_aig,3,143,56
69,69,40.42028985507246,7.913043478260869,51.61630434782609,0.0336457888285319,external_abc_aig,4,5529,2184
67,67,56.97014925373134,16.19402985074627,105.19410447761194,0.034315223124489855,external_abc_aig,5,10917,4340
38,38,81.0,40.23684210526316,260.39026315789476,0.0357465618535092,external_abc_aig,6,15328,6116
3,3,17.666666666666668,0.0,8.961666666666668,0.03525630633036295,external_abc_esop,3,45,24
69,69,47.289855072463766,1.5072463768115942,28.328913043478263,0.03543750099513842,external_abc_esop,4,2622,1576
67,67,105.64179104477611,2.537313432835821,64.25537313432837,0.035737646159841055,external_abc_esop,5,5802,3592
38,38,224.28947368421052,3.473684210526316,135.98092105263157,0.03534965766103644,external_abc_esop,6,7068,4452
3,3,25.0,5.333333333333333,32.425,0.050183773040771484,external_abc_xag,3,95,60
69,69,33.869565217391305,10.594202898550725,62.71775362318841,0.035859774852144546,external_abc_xag,4,4179,2648
67,67,47.38805970149254,23.149253731343283,138.65902985074626,0.035865573740717194,external_abc_xag,5,8921,5752
38,38,63.36842105263158,47.473684210526315,284.50157894736844,0.03539264829535233,external_abc_xag,6,10362,6716
3,3,81.0,4.333333333333333,50.464999999999996,0.00016601880391438803,external_bdd,3,211,112
69,69,126.94202898550725,6.855072463768116,77.04195652173914,0.00027394985807114756,external_bdd,4,7347,3896
67,67,249.38805970149255,11.835820895522389,151.9570895522388,0.0005209410368506588,external_bdd,5,14157,7688
38,38,482.7894736842105,20.55263157894737,296.06131578947367,0.0009614605652658563,external_bdd,6,15714,8688
3,3,14.0,0.0,6.123333333333334,0.00011110305786132812,external_sshr_h,3,38,16
69,69,38.88405797101449,0.9855072463768116,32.50123188405797,0.00025119988814644193,external_sshr_h,4,2052,1972
67,67,92.77611940298507,1.492537313432836,88.78731343283582,0.002411045245270231,external_sshr_h,5,4813,5436
38,38,177.8684210526316,1.894736842105263,194.74171052631579,0.029071776490462452,external_sshr_h,6,5055,6920
3,3,12.666666666666666,0.0,3.283333333333334,0.05810809135437012,external_sshr_i_cnot,3,25,8
69,69,31.10144927536232,0.9710144927536232,28.12304347826087,0.29362854750260065,external_sshr_i_cnot,4,1623,1700
67,67,61.95522388059702,1.4776119402985075,77.98574626865671,7.431867264989597,external_sshr_i_cnot,5,3056,4824
38,38,130.55263157894737,1.8157894736842106,174.44434210526316,8.769605724435104,external_sshr_i_cnot,6,3772,6244
3,3,9.333333333333334,0.0,3.2,0.05733402570088705,external_sshr_i_t,3,25,8
69,69,30.3768115942029,0.9710144927536232,28.111884057971015,0.6225654353266177,external_sshr_i_t,4,1635,1700
67,67,77.49253731343283,1.4776119402985075,68.68776119402985,7.9390857219696045,external_sshr_i_t,5,4008,4140
38,38,197.18421052631578,1.8157894736842106,189.22934210526316,8.828784170903658,external_sshr_i_t,6,5860,6668
