comparison,metric,n_scope,pairs,mean_relative_pct,mean_ci_low_pct,mean_ci_high_pct,median_relative_pct,median_ci_low_pct,median_ci_high_pct,item_p10_pct,item_p90_pct,mean_ci_excludes_zero,median_ci_excludes_zero,target_method,baseline_method,target_files,baseline_files
n<=6 Pareto vs direct ANF,score,n=3-6,177,-67.79901565530602,-69.90622189584737,-65.42330873853783,-71.37220640870277,-73.08841672378341,-69.62268239081315,-78.87514923292163,-54.456353160926454,True,True,and_pareto_resource_nmcts,direct_anf,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs ESOP beam,score,n=3-6,177,-36.088136851170546,-38.66597979848428,-33.69067066419629,-32.564622402432846,-35.10945890128046,-29.814425770308112,-55.010679087081165,-19.646166019517967,True,True,and_pareto_resource_nmcts,and_cube_beam,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs ESOP-MILP,score,n=3-6,177,-29.84257395625252,-32.69812156408792,-27.035031991383892,-23.693230505569847,-26.67755102040817,-21.467050402184334,-62.94329174341381,-10.262708576487679,True,True,and_pareto_resource_nmcts,and_esop_milp,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs SSHR-H,score,n=3-6,177,-41.06125731211248,-43.382590908247366,-38.76929098004033,-43.04760814831769,-44.08060453400503,-39.81783863139288,-55.497410583545964,-22.110668620030303,True,True,and_pareto_resource_nmcts,sshr_h,raw_traditional_resource.csv,raw_traditional_resource.csv
n<=6 Pareto vs SSHR-I CNOT,score,n=3-6,177,-31.886993097541925,-33.80044442777259,-29.897581320288328,-33.91452264512013,-36.682365253793826,-33.23416914577136,-46.90619224708786,-14.30411693925755,True,True,and_pareto_resource_nmcts,external_sshr_i_cnot,raw_traditional_resource.csv,raw_external_traditional_resource_n6.csv
n<=6 Pareto vs ABC-XAG,score,n=3-6,177,-65.57844858508041,-67.10224361645224,-64.10828673062112,-65.25030030247333,-66.59902353041346,-63.34197078706987,-76.73438229757198,-54.77261115849025,True,True,and_pareto_resource_nmcts,external_abc_xag,raw_traditional_resource.csv,raw_external_traditional_resource_n6.csv
ROS-style LUT best-K,score,"n=3-6,14-16,18",309,-84.2694563643699,-85.72938081324787,-82.7937760270658,-81.38343632817374,-83.16491897044804,-79.32449221345814,-99.62362637373849,-68.49242907341102,True,True,and_pareto_resource_nmcts,external_ros_lut_proxy,raw_traditional_resource.csv;raw_highdim_resource.csv;raw_highdim_scale_resource.csv;raw_ultra_highdim_resource.csv;raw_mega_highdim_resource.csv,raw_ros_lut_proxy_best.csv
mockturtle XAG n<=6,score,n=3-6,177,-31.49903056681632,-34.31166352538309,-28.620911194697396,-32.43152411359435,-33.58161310917215,-29.696252465483237,-49.549938004989514,-9.962003527580286,True,True,and_pareto_resource_nmcts,external_mockturtle_xag_k4,raw_traditional_resource.csv,raw_mockturtle_xag_probe.csv
mockturtle XAG n=14,score,n=14,64,-91.48727332722439,-94.08576356748208,-88.32875720577061,-95.50291351704506,-97.11670401489408,-93.59665333177178,-98.92879252958053,-83.64049815899446,True,True,and_pareto_resource_nmcts,external_mockturtle_xag_k4,raw_highdim_resource.csv,raw_mockturtle_xag_highdim_probe.csv
CirKit AIG/MC n<=6,score,n=3-6,177,-62.340375525499,-64.10485446737695,-60.59025596429461,-62.35459004905397,-64.66267374844615,-61.05776121542209,-76.91413169491818,-47.69256102413927,True,True,and_pareto_resource_nmcts,external_cirkit_aig_mc,raw_traditional_resource.csv,raw_cirkit_aig_probe.csv
CirKit AIG/MC n=14,score,n=14,64,-94.4555326985099,-95.71524117294406,-93.16099677506949,-96.10075772495978,-97.32735687231472,-94.70762815471593,-98.9623010540958,-87.42936209651813,True,True,and_pareto_resource_nmcts,external_cirkit_aig_mc,raw_highdim_resource.csv,raw_cirkit_aig_highdim_probe.csv
RevKit CLI exact oracle,score,n=3-6,177,-67.27849170477639,-69.10826096464561,-65.23442318168247,-70.18463073852296,-71.53473902523332,-68.20777160983346,-78.56723325864886,-57.54028451872665,True,True,and_pareto_resource_nmcts,external_revkit_cli_best_score,raw_traditional_resource.csv,raw_revkit_cli_multiflow_traditional.csv
n=14 Pareto vs root beam,score,n=14,64,-6.305996569734147,-7.892660816530686,-4.945615570131996,-4.6848615509266445,-5.207354212881146,-3.763202867379294,-13.443398566740395,-2.0466827995750165,True,True,and_pareto_resource_nmcts,and_fprm_root_beam,raw_highdim_resource.csv,raw_highdim_resource.csv
n=16 Resource vs root beam,score,n=16,24,-4.360506059293911,-6.611754872586696,-2.8851655217748675,-3.364967966999119,-4.220901655332047,-2.459368873711495,-6.5273886562407695,-1.5485890061419938,True,True,and_resource_nmcts,and_fprm_root_beam,raw_ultra_highdim_resource.csv,raw_ultra_highdim_resource.csv
n=18 Resource vs fast pair,score,n=18,12,-3.551679560167263,-5.663968488183781,-1.810860840640998,-1.790003832292459,-4.500497038253625,-1.2877315398607112,-8.58774636256309,-1.2362610687923183,True,True,and_resource_nmcts,and_fprm_linear_pair_fast,raw_mega_highdim_resource.csv,raw_mega_highdim_resource.csv
