baseline,items,losses,mean_CNOT,mean_T,mean_depth,mean_polarity_weight,mean_relative,mean_rz_non_clifford,mean_rz_total,mean_score,metric,nonzero_polarity_rows,target,ties,wins
phase_parity_anf,177,2,,,,,-0.03438623609033738,,,,score,,phase_parity_fprm_opt_rz1,118,57
phase_parity_anf,177,0,,,,,-0.01651223138703491,,,,score_rz1,,phase_parity_fprm_opt_rz1,118,59
phase_parity_anf,177,0,,,,,-0.013487568171484462,,,,score_rz1.5,,phase_parity_fprm_opt_rz1,118,59
phase_parity_anf,177,1,,,,,-0.0031197250151183864,,,,score_synth_tperrz30,,phase_parity_fprm_opt_rz1,118,58
phase_parity_anf,177,1,,,,,-0.0013852314352779803,,,,rz_non_clifford,,phase_parity_fprm_opt_rz1,173,3
phase_parity_anf,177,2,,,,,-0.019965907593552483,,,,rz_total,,phase_parity_fprm_opt_rz1,129,46
phase_parity_anf,177,0,,,,,-0.0009273025882387593,,,,CNOT,,phase_parity_fprm_opt_rz1,167,10
phase_parity_anf,177,2,,,,,-0.00790027011235675,,,,depth,,phase_parity_fprm_opt_rz1,129,46
external_revkit_oracle_synth,177,137,,,,,0.5966782789959726,,,,score,,phase_parity_fprm_opt_rz1,0,40
external_revkit_oracle_synth,177,0,,,,,-0.4913736886109386,,,,score_rz1,,phase_parity_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,-0.5395737622352349,,,,score_rz1.5,,phase_parity_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,-0.6508773575903122,,,,score_synth_tperrz30,,phase_parity_fprm_opt_rz1,0,177
external_revkit_oracle_synth,177,0,,,,,-0.633993141251341,,,,rz_non_clifford,,phase_parity_fprm_opt_rz1,6,171
external_revkit_oracle_synth,177,3,,,,,-0.4628879586976894,,,,rz_total,,phase_parity_fprm_opt_rz1,1,173
external_revkit_oracle_synth,177,140,,,,,0.3417010509625406,,,,CNOT,,phase_parity_fprm_opt_rz1,3,34
external_revkit_oracle_synth,177,96,,,,,0.016344171378451438,,,,depth,,phase_parity_fprm_opt_rz1,2,79
self,177,,87.2090395480226,3.1242937853107344,114.40112994350282,0.5819209039548022,,21.677966101694917,27.192090395480225,9.472683615819209,resource_means,59,phase_parity_fprm_opt_rz1,,
