scope,target,baseline,epsilon,t_per_nonclifford_rz,items,wins,losses,ties,mean_relative,mean_target_score,mean_baseline_score,target_mean_nonclifford_rz,baseline_mean_nonclifford_rz,target_mean_total_rz,baseline_mean_total_rz,status
traditional,Affine-128,RevKit oracle_synth,0.001,30,177,177,0,0,-0.6579466792698283,669.8891525423729,1620.2845762711863,21.35593220338983,52.21468926553672,25.389830508474578,53.40677966101695,pass
traditional,Affine-128,Phase ANF,0.001,30,177,85,0,92,-0.03597189919610626,669.8891525423729,683.5030508474576,21.35593220338983,21.74576271186441,25.389830508474578,27.559322033898304,pass
traditional,Affine-128,FPRM,0.001,30,177,82,0,95,-0.031196067907170787,669.8891525423729,678.4189830508475,21.35593220338983,21.598870056497177,25.389830508474578,27.19774011299435,pass
traditional,Affine-128,Affine-32,0.001,30,177,43,0,134,-0.00596838342309299,669.8891525423729,673.1992655367231,21.35593220338983,21.451977401129945,25.389830508474578,26.141242937853107,pass
policy,Diverse-512,Budget-32,0.001,30,38,17,0,21,-0.0241583638722744,1492.4228947368422,1507.6147368421052,47.68421052631579,48.13157894736842,51.71052631578947,54.05263157894737,pass
policy,Diverse-512,Wide-128,0.001,30,38,0,7,31,3.818530576659257e-05,1492.4228947368422,1492.3786842105262,47.68421052631579,47.68421052631579,51.71052631578947,51.5,pass
policy,Diverse-256,Wide-128,0.001,30,38,0,9,29,0.00013740811217243852,1492.5407894736843,1492.3786842105262,47.68421052631579,47.68421052631579,51.921052631578945,51.5,pass
traditional,Affine-128,RevKit oracle_synth,1e-06,60,177,177,0,0,-0.6611783791553105,1329.7874576271188,3233.718474576271,21.35593220338983,52.21468926553672,25.389830508474578,53.40677966101695,pass
traditional,Affine-128,Phase ANF,1e-06,60,177,85,0,92,-0.03531070312673525,1329.7874576271188,1355.4471186440678,21.35593220338983,21.74576271186441,25.389830508474578,27.559322033898304,pass
traditional,Affine-128,FPRM,1e-06,60,177,82,0,95,-0.03086034560699313,1329.7874576271188,1345.8240677966103,21.35593220338983,21.598870056497177,25.389830508474578,27.19774011299435,pass
traditional,Affine-128,Affine-32,1e-06,60,177,43,0,134,-0.0058337900746891335,1329.7874576271188,1336.0653672316384,21.35593220338983,21.451977401129945,25.389830508474578,26.141242937853107,pass
policy,Diverse-512,Budget-32,1e-06,60,38,17,0,21,-0.02381391493655863,2965.8650000000002,2994.8805263157897,47.68421052631579,48.13157894736842,51.71052631578947,54.05263157894737,pass
policy,Diverse-512,Wide-128,1e-06,60,38,0,7,31,1.923757250216884e-05,2965.8650000000002,2965.8207894736843,47.68421052631579,47.68421052631579,51.71052631578947,51.5,pass
policy,Diverse-256,Wide-128,1e-06,60,38,0,9,29,6.921571910140511e-05,2965.9828947368424,2965.8207894736843,47.68421052631579,47.68421052631579,51.921052631578945,51.5,pass
traditional,Affine-128,RevKit oracle_synth,1e-09,90,177,177,0,0,-0.6622617790989398,1989.6857627118643,4847.152372881356,21.35593220338983,52.21468926553672,25.389830508474578,53.40677966101695,pass
traditional,Affine-128,Phase ANF,1e-09,90,177,85,0,92,-0.03508591021097562,1989.6857627118643,2027.391186440678,21.35593220338983,21.74576271186441,25.389830508474578,27.559322033898304,pass
traditional,Affine-128,FPRM,1e-09,90,177,82,0,95,-0.0307465890456392,1989.6857627118643,2013.229152542373,21.35593220338983,21.598870056497177,25.389830508474578,27.19774011299435,pass
traditional,Affine-128,Affine-32,1e-09,90,177,43,0,134,-0.005788273136770248,1989.6857627118643,1998.9314689265536,21.35593220338983,21.451977401129945,25.389830508474578,26.141242937853107,pass
policy,Diverse-512,Budget-32,1e-09,90,38,17,0,21,-0.023697613962467366,4439.307105263158,4482.146315789473,47.68421052631579,48.13157894736842,51.71052631578947,54.05263157894737,pass
policy,Diverse-512,Wide-128,1e-09,90,38,0,7,31,1.2857581912494555e-05,4439.307105263158,4439.262894736842,47.68421052631579,47.68421052631579,51.71052631578947,51.5,pass
policy,Diverse-256,Wide-128,1e-09,90,38,0,9,29,4.6258657950585e-05,4439.424999999999,4439.262894736842,47.68421052631579,47.68421052631579,51.921052631578945,51.5,pass
traditional,Affine-128,RevKit oracle_synth,1e-12,120,177,177,0,0,-0.6628046448407922,2649.5840677966103,6460.586271186441,21.35593220338983,52.21468926553672,25.389830508474578,53.40677966101695,pass
traditional,Affine-128,Phase ANF,1e-12,120,177,85,0,92,-0.03497266977122905,2649.5840677966103,2699.335254237288,21.35593220338983,21.74576271186441,25.389830508474578,27.559322033898304,pass
traditional,Affine-128,FPRM,1e-12,120,177,82,0,95,-0.030689357402985878,2649.5840677966103,2680.6342372881354,21.35593220338983,21.598870056497177,25.389830508474578,27.19774011299435,pass
traditional,Affine-128,Affine-32,1e-12,120,177,43,0,134,-0.00576539024519072,2649.5840677966103,2661.797570621469,21.35593220338983,21.451977401129945,25.389830508474578,26.141242937853107,pass
policy,Diverse-512,Budget-32,1e-12,120,38,17,0,21,-0.023639180925723435,5912.749210526315,5969.412105263158,47.68421052631579,48.13157894736842,51.71052631578947,54.05263157894737,pass
policy,Diverse-512,Wide-128,1e-12,120,38,0,7,31,9.655433359366772e-06,5912.749210526315,5912.705,47.68421052631579,47.68421052631579,51.71052631578947,51.5,pass
policy,Diverse-256,Wide-128,1e-12,120,38,0,9,29,3.473722289344595e-05,5912.867105263158,5912.705,47.68421052631579,47.68421052631579,51.921052631578945,51.5,pass
