portfolio,lambda_rz_score,items,wins,losses,ties,mean_relative,mean_selected_score,mean_revkit_score,median_break_even,mean_break_even,covered_by_lambda,impossible_rows,mean_selected_time_s,mean_run_all_time_s,winner_counts
resource_nmcts_family,0,177,6,171,0,7.115969001763607,49.556497175141246,5.789378531073447,0.7993333333333332,0.7781791528052406,6,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,0.25,177,8,169,0,1.4092047966409207,49.556497175141246,18.843050847457626,0.7993333333333332,0.7781791528052406,8,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,0.5,177,16,161,0,0.45164454115326885,49.556497175141246,31.89672316384181,0.7993333333333332,0.7781791528052406,16,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,0.75,177,66,111,0,0.04639468648631016,49.556497175141246,44.950395480225986,0.7993333333333332,0.7781791528052406,66,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,1,177,157,20,0,-0.17892551220112388,49.556497175141246,58.00406779661017,0.7993333333333332,0.7781791528052406,157,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,1.5,177,177,0,0,-0.4226159635127691,49.556497175141246,84.11141242937853,0.7993333333333332,0.7781791528052406,177,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,2,177,177,0,0,-0.5523740159503332,49.556497175141246,110.21875706214689,0.7993333333333332,0.7781791528052406,177,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,4,177,177,0,0,-0.7583840601201705,49.556497175141246,214.64813559322033,0.7993333333333332,0.7781791528052406,177,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
resource_nmcts_family,10,177,177,0,0,-0.8893538845442427,49.556497175141246,527.9362711864406,0.7993333333333332,0.7781791528052406,177,0,2.4723868639455677,4.549160118156907,and_pareto_resource_nmcts:115;and_fprm_polarity_archive:62
traditional_baseline_family,0,177,6,171,0,9.787066183553769,67.45666666666666,5.789378531073447,1.050551181102362,1.068179300201165,6,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
