correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,15.0,0.0,8.895,1.6371409098307293e-05,and_direct_anf,3,45,24
5,5,36.6,1.0,25.763,2.636909484863281e-05,and_direct_anf,4,183,108
3,3,131.66666666666666,1.3333333333333333,90.425,3.910064697265625e-05,and_direct_anf,5,395,240
6,6,177.66666666666666,1.5,123.44833333333334,8.404254913330078e-05,and_direct_anf,6,1066,660
3,3,609.6666666666666,2.3333333333333335,421.815,0.0001742839813232422,and_direct_anf,7,1829,1144
9,9,519.8888888888889,2.2222222222222223,364.71722222222223,0.00022776921590169272,and_direct_anf,8,4679,2968
1,1,351.0,2.0,240.65499999999997,0.0014052391052246094,and_direct_anf,11,351,216
3,3,15.0,0.0,8.895,0.00044234593709309894,and_fprm_mcts,3,45,24
5,5,33.8,1.0,21.605,0.032127761840820314,and_fprm_mcts,4,169,88
3,3,89.0,1.3333333333333333,49.12500000000001,0.8540473779042562,and_fprm_mcts,5,254,124
6,6,109.83333333333333,1.5,62.74916666666667,2.9314133723576865,and_fprm_mcts,6,646,320
3,3,326.3333333333333,1.6666666666666667,193.07166666666666,31.155752102533977,and_fprm_mcts,7,964,512
8,8,192.25,1.625,118.09875,14.155402272939682,and_fprm_mcts,8,1538,828
1,1,232.0,2.0,141.73999999999998,2.412611961364746,and_fprm_mcts,11,232,124
3,3,15.0,0.0,8.895,0.0009136994679768881,and_fprm_neural_mcts,3,45,24
5,5,33.8,1.0,21.605,0.10924777984619141,and_fprm_neural_mcts,4,169,88
3,3,89.0,1.3333333333333333,49.12500000000001,3.234722455342611,and_fprm_neural_mcts,5,254,124
6,6,109.83333333333333,1.5,62.74916666666667,13.186139623324076,and_fprm_neural_mcts,6,646,320
2,2,250.5,1.5,139.51250000000002,55.53667438030243,and_fprm_neural_mcts,7,486,244
7,7,84.14285714285714,0.8571428571428571,50.675000000000004,3.650759049824306,and_fprm_neural_mcts,8,585,308
1,1,232.0,2.0,141.73999999999998,8.377916097640991,and_fprm_neural_mcts,11,232,124
3,3,15.0,0.0,8.895,4.38690185546875e-05,and_mcts_factor,3,45,24
5,5,33.8,1.0,21.605,0.0015974998474121093,and_mcts_factor,4,169,88
3,3,107.33333333333333,1.3333333333333333,63.69,0.06739576657613118,and_mcts_factor,5,322,164
6,6,133.66666666666666,1.5,78.23833333333333,0.27602938810984295,and_mcts_factor,6,802,404
3,3,404.0,2.0,234.54666666666665,3.608946164449056,and_mcts_factor,7,1212,620
9,9,343.1111111111111,2.0,212.66666666666666,1.2425753540462918,and_mcts_factor,8,3088,1696
1,1,232.0,2.0,141.73999999999998,0.2830159664154053,and_mcts_factor,11,232,124
3,3,15.0,0.0,8.895,0.001665671666463216,and_rc_nmcts,3,45,24
