target,baseline,metric,items,wins,losses,ties,mean_relative,median_relative,by_n
and_resource_nmcts,external_revkit_cli_best_score,score,177,173,0,4,-0.6632111330010475,-0.6875841390282708,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_best_score,T,177,173,0,4,-0.7163571726125747,-0.7391304347826086,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_best_score,CNOT,177,102,70,5,-0.04751769344646182,-0.07758620689655173,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_best_score,depth,177,88,82,7,0.014326575638035275,0.0,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_best_score,peak_ancilla,177,0,169,8,1.423728813559322,1.0,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_best_score,score,177,173,0,4,-0.6727849170477638,-0.7018463073852296,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_best_score,T,177,173,0,4,-0.7258866223660593,-0.746031746031746,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_best_score,CNOT,177,107,63,7,-0.09319044458714199,-0.09302325581395349,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_best_score,depth,177,90,79,8,-0.028701779400037833,-0.022222222222222223,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_best_score,peak_ancilla,177,0,169,8,1.5310734463276836,1.0,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_best_score,score,177,173,0,4,-0.6423974361740379,-0.6735671032248979,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_best_score,T,177,173,0,4,-0.6997325808354764,-0.7313432835820896,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_best_score,CNOT,177,91,78,8,-0.03530497422655064,-0.013888888888888888,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_best_score,depth,177,76,94,7,0.02596441568295841,0.03468208092485549,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_best_score,peak_ancilla,177,0,171,6,1.6101694915254237,1.0,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_best_score,score,177,167,6,4,-0.32792647399617636,-0.3790363915940543,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_best_score,T,177,169,3,5,-0.392337196702564,-0.4434782608695652,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_best_score,CNOT,177,5,164,8,0.7198408929145166,0.47297297297297297,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_best_score,depth,177,5,164,8,0.7232653360889063,0.4782608695652174,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_best_score,peak_ancilla,177,0,169,8,1.6779661016949152,2.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_best_score,score,177,87,86,4,0.057762482473109375,0.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_best_score,T,177,92,78,7,0.03295296271168796,-0.02119460500963391,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_best_score,CNOT,177,0,116,61,0.43811890680564197,0.3333333333333333,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_best_score,depth,177,0,116,61,0.4420894091546388,0.34210526315789475,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_best_score,peak_ancilla,177,0,135,42,0.8305084745762712,1.0,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_best_score,score,177,172,1,4,-0.5149761309373042,-0.5366543194107378,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_best_score,T,177,173,0,4,-0.573936732812868,-0.6065573770491803,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_best_score,CNOT,177,93,75,9,0.21183950492911285,-0.03409090909090909,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_best_score,depth,177,55,115,7,0.4382461364514139,0.14583333333333334,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_best_score,peak_ancilla,177,0,170,7,1.8248587570621468,2.0,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_best_score,score,177,170,7,0,0.8383664913446567,-0.48551246288131017,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_best_score,T,177,170,7,0,0.6971083633226957,-0.5151515151515151,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_best_score,CNOT,177,154,19,4,0.05148556977917152,-0.24731182795698925,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_best_score,depth,177,88,84,5,0.34111783997991846,0.0,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_best_score,peak_ancilla,177,0,138,39,0.8587570621468926,1.0,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_dbs,score,177,173,0,4,-0.6830447178809186,-0.7093942419703778,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_dbs,T,177,173,0,4,-0.7329836885749412,-0.7534791252485089,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_dbs,CNOT,177,92,78,7,-0.026898317497609295,-0.027777777777777776,3:3;4:69;5:67;6:38
