target,baseline,metric,items,wins,losses,ties,mean_relative,median_relative,by_n
and_resource_nmcts,external_revkit_cli_tbs,score,177,173,0,4,-0.7149137958553846,-0.7478376240655219,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,T,177,173,0,4,-0.758999313825905,-0.7894736842105263,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,CNOT,177,164,9,4,-0.3145783123294246,-0.3405994550408719,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,depth,177,162,10,5,-0.27205246898771096,-0.29577464788732394,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.4519774011299436,1.0,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,score,177,173,0,4,-0.7224469739680304,-0.7534378578149622,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,T,177,173,0,4,-0.766606558102482,-0.7959183673469388,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,CNOT,177,164,9,4,-0.34195281614412726,-0.375,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,depth,177,163,9,5,-0.29742847187284865,-0.335149863760218,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.5593220338983051,1.0,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,score,177,173,0,4,-0.696461471310203,-0.7168679028316803,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,T,177,173,0,4,-0.7443622619302042,-0.7660818713450293,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,CNOT,177,162,11,4,-0.2973029014265206,-0.328125,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,depth,177,160,13,4,-0.2557392793277117,-0.2857142857142857,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,peak_ancilla,177,0,172,5,1.6384180790960452,1.0,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,score,177,173,0,4,-0.4483397296226218,-0.43511591391890647,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,T,177,173,0,4,-0.5004741915872577,-0.48717948717948717,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,CNOT,177,6,156,15,0.1866118162014557,0.17647058823529413,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,depth,177,6,156,15,0.1858390810592323,0.17391304347826086,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.7062146892655368,2.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,score,177,169,3,5,-0.13897840372628714,-0.14438695704488028,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,T,177,169,0,8,-0.1581501671380984,-0.16339869281045752,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,CNOT,177,0,0,177,0.0,0.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,depth,177,0,0,177,0.0,0.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,peak_ancilla,177,0,138,39,0.8587570621468926,1.0,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,score,177,173,0,4,-0.5920197318675707,-0.6149881046788264,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,T,177,173,0,4,-0.6403712266473267,-0.6666666666666666,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,CNOT,177,130,43,4,-0.15142370066508118,-0.29310344827586204,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,depth,177,118,52,7,-0.0013994113757223423,-0.17142857142857143,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.8531073446327684,2.0,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,score,177,171,6,0,0.7523419011241927,-0.5783953384132676,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,T,177,171,6,0,0.6163719024231676,-0.6106194690265486,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,CNOT,177,169,7,1,-0.14644799395271874,-0.4755244755244755,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,depth,177,153,22,2,0.07535819318337199,-0.3228346456692913,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,peak_ancilla,177,0,141,36,0.8870056497175142,1.0,3:3;4:69;5:67;6:38
