target,baseline,metric,items,wins,losses,ties,mean_relative,by_n
and_resource_nmcts,external_revkit_oracle_synth,T,177,2,171,4,40.60075329566855,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,phase_ops,177,148,18,11,-0.23879982674653188,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,CNOT,177,11,166,0,0.4817022542769923,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,depth,177,122,52,3,-0.11243422122063097,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,gates,177,177,0,0,-0.5983196538134518,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,peak_ancilla,177,0,170,7,1.92090395480226,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,score,177,6,171,0,7.516902718771051,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,score_rz1,177,140,37,0,-0.14518411133684278,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,score_rz2,177,177,0,0,-0.5347559775501449,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,score_rz4,177,177,0,0,-0.7493752732781817,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_oracle_synth,score_rz10,177,177,0,0,-0.8857006242559193,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,T,177,2,171,4,37.14877589453861,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,phase_ops,177,162,6,9,-0.2743978056127996,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,CNOT,177,11,165,1,0.4112037593444149,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,depth,177,141,31,5,-0.14775240546105858,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,gates,177,177,0,0,-0.6097384499769455,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,peak_ancilla,177,0,170,7,2.0282485875706215,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,score,177,6,171,0,7.115969001763607,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,score_rz1,177,157,20,0,-0.17892551220112388,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,score_rz2,177,177,0,0,-0.5523740159503332,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,score_rz4,177,177,0,0,-0.7583840601201705,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_oracle_synth,score_rz10,177,177,0,0,-0.8893538845442427,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,T,177,0,171,6,39.28625235404896,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,phase_ops,177,144,21,12,-0.2012926007040113,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,CNOT,177,9,167,1,0.5167363373285132,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,depth,177,118,52,7,-0.08757467565869195,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,gates,177,177,0,0,-0.596848102632025,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,peak_ancilla,177,0,172,5,2.1073446327683616,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,score,177,4,173,0,7.748269395941836,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,score_rz1,177,136,41,0,-0.09759135052304661,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,score_rz2,177,174,3,0,-0.504370142930662,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,score_rz4,177,175,2,0,-0.7292912148437538,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_oracle_synth,score_rz10,177,175,2,0,-0.8725002405483492,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,T,177,0,177,0,65.39171374764595,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,phase_ops,177,57,119,1,6.00078514907502,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,CNOT,177,4,173,0,1.6877175449310353,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,depth,177,43,132,2,1.046434481163638,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,gates,177,171,6,0,-0.12696338651817932,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,peak_ancilla,177,0,176,1,2.553672316384181,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,score,177,0,177,0,18.31598688458899,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,score_rz1,177,38,139,0,6.78447666119204,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,score_rz2,177,155,22,0,6.1877830821015705,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,score_rz4,177,170,7,0,5.858367799350464,3:3;4:69;5:67;6:38
and_cube_beam,external_revkit_oracle_synth,score_rz10,177,171,6,0,5.648860964723875,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,T,177,0,173,4,78.87570621468926,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,phase_ops,177,85,81,11,0.24729316497407505,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,CNOT,177,10,167,0,0.9057013903158864,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,depth,177,79,95,3,0.2632165993526441,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,gates,177,154,23,0,-0.44476323822567626,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,peak_ancilla,177,0,170,7,2.3220338983050848,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,score,177,4,173,0,12.662642508017937,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,score_rz1,177,78,99,0,0.33950441212426763,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,score_rz2,177,142,35,0,-0.27325029441855425,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,score_rz4,177,175,2,0,-0.6093116211798831,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_oracle_synth,score_rz10,177,175,2,0,-0.8221495926740751,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,T,177,2,175,0,75.75329566854991,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,phase_ops,177,10,154,13,1.564335208261782,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,CNOT,177,34,141,2,0.3422985727228631,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,depth,177,128,46,3,0.013014005582283762,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,gates,177,174,3,0,-0.5936230088911817,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,peak_ancilla,177,0,173,4,1.3559322033898304,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,score,177,2,175,0,14.589145502780486,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,score_rz1,177,10,167,0,1.6829362200181996,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,score_rz2,177,162,15,0,1.0386483751469517,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,score_rz4,177,173,4,0,0.6849545607071976,3:3;4:69;5:67;6:38
sshr_h,external_revkit_oracle_synth,score_rz10,177,173,4,0,0.46080709593914576,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,T,177,0,173,4,172.81167608286253,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,phase_ops,177,2,171,4,2.018041622081842,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,CNOT,177,7,170,0,1.2942372998563791,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,depth,177,37,137,3,0.29398606665063676,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,gates,177,177,0,0,-0.8497312366027616,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,peak_ancilla,177,0,170,7,1.3276836158192091,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,score,177,4,173,0,29.400652701514396,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,score_rz1,177,6,171,0,1.9364192230329023,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,score_rz2,177,25,152,0,0.5748168092542634,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,score_rz4,177,128,49,0,-0.17122001184468585,3:3;4:69;5:67;6:38
direct_anf,external_revkit_oracle_synth,score_rz10,177,175,2,0,-0.6433945972562779,3:3;4:69;5:67;6:38
