target,baseline,metric,items,wins,losses,ties,mean_relative,by_n
and_resource_nmcts,external_ros_lut_proxy,T,309,306,0,3,-0.8364705502321886,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_proxy,CNOT,309,309,0,0,-0.8146185114265759,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_proxy,depth,309,309,0,0,-0.8039390392324404,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_proxy,peak_ancilla,309,308,0,1,-0.7524952803923464,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_proxy,score,309,309,0,0,-0.8376803328872713,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_k4,T,309,307,0,2,-0.8619844232296656,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_k4,CNOT,309,309,0,0,-0.8394288506989033,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_k4,depth,309,309,0,0,-0.8298493552602613,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_k4,peak_ancilla,309,308,0,1,-0.7696125136016517,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_resource_nmcts,external_ros_lut_k4,score,309,309,0,0,-0.8593729333571131,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_profile_resource_nmcts,external_ros_lut_proxy,T,132,132,0,0,-0.9721279931752473,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_proxy,CNOT,132,132,0,0,-0.9712825867958879,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_proxy,depth,132,132,0,0,-0.9697780622627173,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_proxy,peak_ancilla,132,132,0,0,-0.9934907243846995,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_proxy,score,132,132,0,0,-0.9738423594673448,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_k4,T,132,132,0,0,-0.9790558837698057,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_k4,CNOT,132,132,0,0,-0.9782730197088496,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_k4,depth,132,132,0,0,-0.9776108151511973,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_k4,peak_ancilla,132,132,0,0,-0.9956419107655482,14:64;15:32;16:24;18:12
and_profile_resource_nmcts,external_ros_lut_k4,score,132,132,0,0,-0.9801290878520387,14:64;15:32;16:24;18:12
and_pareto_resource_nmcts,external_ros_lut_proxy,T,309,306,0,3,-0.8421579301096235,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_ros_lut_proxy,CNOT,309,309,0,0,-0.8213592313528155,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_ros_lut_proxy,depth,309,309,0,0,-0.8100601039284575,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_ros_lut_proxy,peak_ancilla,309,303,0,6,-0.7422141084395795,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_ros_lut_proxy,score,309,309,0,0,-0.842694563643699,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_ros_lut_k4,T,309,307,0,2,-0.8668916439254545,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_ros_lut_k4,CNOT,309,309,0,0,-0.8454320842470816,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_ros_lut_k4,depth,309,309,0,0,-0.8353546455510956,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
