n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,verified_rows,mean_plan_nodes
20,adaptive_all_depth,48,114.77083333333333,990.6666666666666,1596.3125,1596.3125,5.25,1095.0203125,0.39180102264617744,48,6.5
20,depth2_guard_direct,48,114.77083333333333,990.6666666666666,1596.3125,1596.3125,5.25,1095.0203125,0.3142738229380484,48,6.5
20,depth_policy,48,114.77083333333333,991.4166666666666,1597.25,1597.25,5.25,1095.82375,0.3051071736461684,48,6.333333333333333
20,direct_logical_and,48,114.77083333333333,1156.1666666666667,1849.0208333333333,1849.0208333333333,4.666666666666667,1274.1246875,7.803117417400548e-07,48,1
20,screen_depth1,48,114.77083333333333,1023.0833333333334,1645.1041666666667,1645.1041666666667,5.166666666666667,1130.1176041666668,0.06716875177016846,48,4.875
20,screen_depth2,48,114.77083333333333,990.6666666666666,1596.3125,1596.3125,5.25,1095.0203125,0.3142791484589604,48,6.5
20,screen_single,48,114.77083333333333,1074.5833333333333,1723.5,1723.5,5.104166666666667,1186.0733333333333,0.01035312241704863,48,3
22,adaptive_all_depth,48,108.97916666666667,927.4166666666666,1496.8541666666667,1496.8958333333333,5.333333333333333,1026.1057291666666,0.4220502941243467,48,6.25
22,depth2_guard_direct,48,108.97916666666667,927.4166666666666,1496.8541666666667,1496.8958333333333,5.333333333333333,1026.1057291666666,0.3379972134786537,48,6.25
22,depth_policy,48,108.97916666666667,927.6666666666666,1497.1666666666667,1497.2083333333333,5.333333333333333,1026.3735416666666,0.33585840699955344,48,6.208333333333333
22,direct_logical_and,48,108.97916666666667,1077.8333333333333,1725.6875,1725.7291666666667,4.791666666666667,1188.8090625,7.53479374300999e-07,48,1
22,screen_depth1,48,108.97916666666667,956.0833333333334,1539.6458333333333,1539.6875,5.3125,1057.2255208333333,0.07238885937461721,48,4.708333333333333
22,screen_depth2,48,108.97916666666667,927.4166666666666,1496.8541666666667,1496.8958333333333,5.333333333333333,1026.1057291666666,0.3381309565203689,48,6.25
22,screen_single,48,108.97916666666667,1002,1609.3541666666667,1609.3958333333333,5.25,1107.0890625,0.011530478229360597,48,2.9583333333333335
24,adaptive_all_depth,48,115.64583333333333,1037.5833333333333,1667.7708333333333,1667.7916666666667,5.520833333333333,1146.6547916666666,0.5326651361465338,48,6.083333333333333
24,depth2_guard_direct,48,115.64583333333333,1037.5833333333333,1667.7708333333333,1667.7916666666667,5.520833333333333,1146.6547916666666,0.42844519700065575,48,6.083333333333333
24,depth_policy,48,115.64583333333333,1037.9166666666667,1668.2291666666667,1668.25,5.520833333333333,1147.0145833333333,0.4231610789379374,48,6.041666666666667
24,direct_logical_and,48,115.64583333333333,1203.5833333333333,1921,1921.0208333333333,5.020833333333333,1326.4546875,8.011456884560175e-07,48,1
24,screen_depth1,48,115.64583333333333,1070.5833333333333,1717.3333333333333,1717.3541666666667,5.4375,1182.3796875,0.09008856677110089,48,4.625
24,screen_depth2,48,115.64583333333333,1037.5833333333333,1667.7708333333333,1667.7916666666667,5.520833333333333,1146.6547916666666,0.4284476101881107,48,6.083333333333333
24,screen_single,48,115.64583333333333,1122.0833333333333,1795.8333333333333,1795.8541666666667,5.416666666666667,1238.4255208333334,0.014128959187322229,48,2.875
28,adaptive_all_depth,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.6494646538947867,48,5.791666666666667
28,depth2_guard_direct,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.5194005087497923,48,5.791666666666667
28,depth_policy,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.5177449844580527,48,5.791666666666667
28,direct_logical_and,48,115.85416666666667,1162.9166666666667,1860.1666666666667,1860.2291666666667,4.729166666666667,1281.6582291666666,7.752488879001854e-07,48,1
28,screen_depth1,48,115.85416666666667,1043.6666666666667,1678.25,1678.3125,5.041666666666667,1152.4011458333334,0.11171954872876692,48,4.416666666666667
28,screen_depth2,48,115.85416666666667,1013.25,1632.5,1632.5625,5.041666666666667,1119.3148958333334,0.5193963655412214,48,5.791666666666667
28,screen_single,48,115.85416666666667,1090.9166666666667,1749.8958333333333,1749.9583333333333,5.041666666666667,1203.835625,0.018348739624798327,48,2.75
