n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_schedule_logical_depth,mean_schedule_cnot_depth_proxy,mean_schedule_t_depth_proxy,mean_explicit_ancilla_live_peak,mean_explicit_ancilla_lifetime_area,mean_score,mean_time_s,verified_rows,mean_plan_nodes,circuit_verified_rows,mean_circuit_gates,mean_circuit_max_wire_terms
48,adaptive_all_depth,16,120.1875,1025,1654.3125,1654.3125,5.5,115,1196.125,489.0625,0.9375,28.875,1133.2803125,29.17162723680849,16,7.375,16,116.8125,120.1875
48,depth2_guard_direct,16,120.1875,1044.25,1682.375,1682.375,5.5,114.25,1215.3125,497.625,0.9375,23.6875,1154.161875,1.8063124583204626,16,5.875,16,116,120.1875
48,depth_frontier_policy,16,120.1875,1026,1655.5,1655.5,5.5,114.6875,1197.25,489.4375,0.9375,28.1875,1134.3475,17.362320710815766,16,7.125,16,116.5,120.1875
48,depth_policy,16,120.1875,1044.25,1682.375,1682.375,5.5,114.25,1215.3125,497.625,0.9375,23.6875,1154.161875,1.8063124583204626,16,5.875,16,116,120.1875
48,direct_logical_and,16,120.1875,1205.5,1928.4375,1928.4375,5.0625,120.1875,1376.6875,575.125,0,0,1328.9184375,1.575379428686574e-06,16,1,16,120.1875,120.1875
48,screen_depth1,16,120.1875,1070.25,1721.3125,1721.3125,5.4375,114.125,1239.625,509.6875,0.9375,18.75,1182.3078125,0.4063848098721792,16,4.625,16,115.9375,120.1875
48,screen_depth2,16,120.1875,1044.25,1682.375,1682.375,5.5,114.25,1215.3125,497.625,0.9375,23.6875,1154.161875,1.8063124583204626,16,5.875,16,116,120.1875
48,screen_depth3,16,120.1875,1032.5,1664.9375,1664.9375,5.5,114.375,1202.875,492.3125,0.9375,26.5,1141.3959375,6.851985630246418,16,6.625,16,116.1875,120.1875
48,screen_depth4,16,120.1875,1025,1654.3125,1654.3125,5.5,115,1196.125,489.0625,0.9375,28.875,1133.2803125,20.036808002556427,16,7.375,16,116.8125,120.1875
48,screen_single,16,120.1875,1124.75,1804.5625,1804.5625,5.375,115.5625,1294.3125,535.75,0.9375,10.25,1241.5490625,0.07013633581300383,16,2.875,16,117.4375,120.1875
56,adaptive_all_depth,16,139.875,1196.5,1930.5625,1930.5625,5.3125,133.9375,1382.6875,570.75,0.9375,30.5625,1320.6465625,51.94441769250989,16,7.625,16,135.8125,139.875
56,depth2_guard_direct,16,139.875,1235.5,1988.375,1988.375,5.25,133.25,1418.3125,589.4375,0.9375,23.25,1362.889375,3.35668619263015,16,5.625,16,135.125,139.875
56,depth_frontier_policy,16,139.875,1209.25,1948.875,1948.875,5.25,133.125,1394.8125,576.8125,0.9375,27.375,1334.334375,24.053303966125895,16,6.625,16,135,139.875
56,depth_policy,16,139.875,1235.5,1988.375,1988.375,5.25,133.25,1418.3125,589.4375,0.9375,23.25,1362.889375,3.35668619263015,16,5.625,16,135.125,139.875
56,direct_logical_and,16,139.875,1395.25,2232.75,2232.75,5,139.875,1578.4375,666.25,0,0,1536.42625,1.3880635378882289e-06,16,1,16,139.875,139.875
56,screen_depth1,16,139.875,1269.25,2039.375,2039.375,5.1875,133.75,1452.1875,605.5625,0.9375,17.375,1399.491875,0.7235489036902436,16,4.25,16,135.5,139.875
56,screen_depth2,16,139.875,1235.5,1988.375,1988.375,5.25,133.25,1418.3125,589.4375,0.9375,23.25,1362.889375,3.35668619263015,16,5.625,16,135.125,139.875
56,screen_depth3,16,139.875,1211.5,1952.8125,1952.8125,5.25,133.75,1396,577.8125,0.9375,27.8125,1336.8178125,12.343084994754463,16,6.875,16,135.5625,139.875
56,screen_depth4,16,139.875,1196.5,1930.5625,1930.5625,5.3125,133.9375,1382.6875,570.75,0.9375,30.5625,1320.6465625,35.40130282805876,16,7.625,16,135.8125,139.875
56,screen_single,16,139.875,1319.75,2117.0625,2117.0625,5.1875,135.625,1504.25,629.625,0.9375,9.9375,1454.5365625,0.11979477337627031,16,2.875,16,137.4375,139.875
64,adaptive_all_depth,16,120.1875,951.25,1543.375,1543.4375,5.375,114.6875,1152.6875,449.5625,0.9375,29.625,1052.8084375,42.69976557274276,16,7.5,16,116.5625,120.1875
64,depth2_guard_direct,16,120.1875,986.75,1596.125,1596.1875,5.375,114.1875,1187.6875,466.375,0.9375,22.625,1091.3821875,3.250498307374073,16,5.625,16,116.0625,120.1875
64,depth_frontier_policy,16,120.1875,975.5,1578.8125,1578.875,5.375,113.75,1176.8125,461,0.9375,24.0625,1079.119375,9.92214823699942,16,5.875,16,115.625,120.1875
64,depth_policy,16,120.1875,986.75,1596.125,1596.1875,5.375,114.1875,1187.6875,466.375,0.9375,22.625,1091.3821875,3.250498307374073,16,5.625,16,116.0625,120.1875
64,direct_logical_and,16,120.1875,1150.5,1845.875,1845.9375,5,120.1875,1346.3125,545.875,0,0,1268.9784375,1.492249793955125e-06,16,1,16,120.1875,120.1875
64,screen_depth1,16,120.1875,1017,1641.75,1641.8125,5.375,114.4375,1216.1875,480.6875,0.9375,17.375,1124.2953125,0.7544124453106633,16,4.375,16,116.3125,120.1875
64,screen_depth2,16,120.1875,986.75,1596.125,1596.1875,5.375,114.1875,1187.6875,466.375,0.9375,22.625,1091.3821875,3.250498307374073,16,5.625,16,116.0625,120.1875
