n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,verified_rows,mean_plan_nodes,circuit_verified_rows,mean_circuit_gates,mean_circuit_max_wire_terms
20,adaptive_all_depth,24,118.375,1043.1666666666667,1678.5,1678.5,5.5,1152.8374999999999,0.6523063713745311,24,6.666666666666667,24,113.75,118.375
20,depth2_guard_direct,24,118.375,1043.1666666666667,1678.5,1678.5,5.5,1152.8374999999999,0.5275554930409877,24,6.666666666666667,24,113.75,118.375
20,depth_policy,24,118.375,1044,1679.4166666666667,1679.4166666666667,5.5,1153.7220833333333,0.5107881492497958,24,6.416666666666667,24,113.41666666666667,118.375
20,direct_logical_and,24,118.375,1209.8333333333333,1933.125,1933.125,4.916666666666667,1333.2214583333332,1.126708411902655e-06,24,1,24,118.375,118.375
20,screen_depth1,24,118.375,1075.5,1727.125,1727.125,5.416666666666667,1187.8414583333333,0.10710447741682098,24,4.916666666666667,24,113.875,118.375
20,screen_depth2,24,118.375,1043.1666666666667,1678.5,1678.5,5.5,1152.8374999999999,0.5275551770409947,24,6.666666666666667,24,113.75,118.375
20,screen_single,24,118.375,1127.6666666666667,1806.6666666666667,1806.6666666666667,5.333333333333333,1244.49,0.017646716916715377,24,3,24,115.16666666666667,118.375
28,adaptive_all_depth,24,115.54166666666667,981.1666666666666,1584.2083333333333,1584.3333333333333,4.875,1084.0816666666667,1.0324262241247197,24,5.833333333333333,24,112.58333333333333,115.54166666666667
28,depth2_guard_direct,24,115.54166666666667,981.1666666666666,1584.2083333333333,1584.3333333333333,4.875,1084.0816666666667,0.8243940538741299,24,5.833333333333333,24,112.58333333333333,115.54166666666667
28,depth_policy,24,115.54166666666667,981.1666666666666,1584.2083333333333,1584.3333333333333,4.875,1084.0816666666667,0.8239663733323445,24,5.833333333333333,24,112.58333333333333,115.54166666666667
28,direct_logical_and,24,115.54166666666667,1127.8333333333333,1807.1666666666667,1807.2916666666667,4.5,1243.0239583333332,1.1076253940700553e-06,24,1,24,115.54166666666667,115.54166666666667
28,screen_depth1,24,115.54166666666667,1009.6666666666666,1627.0416666666667,1627.1666666666667,4.875,1115.0808333333332,0.18108211808430497,24,4.416666666666667,24,112.66666666666667,115.54166666666667
28,screen_depth2,24,115.54166666666667,981.1666666666666,1584.2083333333333,1584.3333333333333,4.875,1084.0816666666667,0.8240362517908579,24,5.833333333333333,24,112.58333333333333,115.54166666666667
28,screen_single,24,115.54166666666667,1052.6666666666667,1692.0416666666667,1692.1666666666667,4.875,1161.8758333333333,0.02730785424955684,24,2.75,24,113.16666666666667,115.54166666666667
40,adaptive_all_depth,24,118.79166666666667,1044.8333333333333,1682.1666666666667,1682.2083333333333,5.25,1154.226875,2.115879545166839,24,5.583333333333333,24,114.95833333333333,118.79166666666667
40,depth2_guard_direct,24,118.79166666666667,1044.8333333333333,1682.1666666666667,1682.2083333333333,5.25,1154.226875,1.67191337833295,24,5.583333333333333,24,114.95833333333333,118.79166666666667
40,depth_policy,24,118.79166666666667,1044.8333333333333,1682.1666666666667,1682.2083333333333,5.25,1154.226875,1.672780010291414,24,5.583333333333333,24,114.95833333333333,118.79166666666667
40,direct_logical_and,24,118.79166666666667,1194.1666666666667,1910,1910.0416666666667,5,1316.3760416666667,1.0832915601592201e-06,24,1,24,118.79166666666667,118.79166666666667
40,screen_depth1,24,118.79166666666667,1077.5,1731.5,1731.5416666666667,5.208333333333333,1189.6902083333334,0.37951581612469454,24,4.25,24,115.29166666666667,118.79166666666667
40,screen_depth2,24,118.79166666666667,1044.8333333333333,1682.1666666666667,1682.2083333333333,5.25,1154.226875,1.67191337833295,24,5.583333333333333,24,114.95833333333333,118.79166666666667
40,screen_single,24,118.79166666666667,1122.3333333333333,1799.7916666666667,1799.8333333333333,5.208333333333333,1238.5141666666666,0.06445035070919403,24,2.75,24,116.33333333333333,118.79166666666667
