category,dataset,comparison,target,baseline,pairs,t_wlt,t_target_mean,t_baseline_mean,t_relative_pct,cnot_wlt,cnot_target_mean,cnot_baseline_mean,cnot_relative_pct,depth_wlt,depth_target_mean,depth_baseline_mean,depth_relative_pct,peak_ancilla_wlt,peak_ancilla_target_mean,peak_ancilla_baseline_mean,peak_ancilla_relative_pct,score_wlt,score_target_mean,score_baseline_mean,score_relative_pct
affine search,ablation_affine,Affine greedy vs fixed-coordinate MCTS,and_affine_greedy,and_mcts_factor,321,161/77/83,153.76,155.17,-13.49,174/77/70,280.10,291.43,-13.22,165/86/70,282.88,291.71,-10.77,1/46/274,1.99,1.85,6.60,165/88/68,174.35,176.09,-12.12
neural refine,ablation_affine,Neural refine over affine greedy,and_affine_no_guard,and_affine_greedy,322,25/0/297,153.75,154.09,-1.00,44/16/262,280.26,280.80,-0.95,47/15/260,282.95,283.58,-1.01,18/0/304,1.93,1.99,-1.86,65/0/257,174.24,174.72,-1.08
guarded MCTS,ablation_affine,Guarded Affine-NMCTS over no-guard,and_affine_nmcts,and_affine_no_guard,322,77/0/245,145.39,153.75,-1.81,77/10/235,272.73,280.26,-0.87,78/10/234,275.39,282.95,-0.89,15/0/307,1.89,1.93,-1.42,88/0/234,165.34,174.24,-1.74
full affine,ablation_affine,Full Affine-NMCTS vs fixed-coordinate MCTS,and_affine_nmcts,and_mcts_factor,321,161/0/160,145.03,155.17,-16.18,164/1/156,272.01,291.43,-14.87,161/3/157,274.67,291.71,-12.52,1/13/307,1.89,1.85,1.72,165/0/156,164.95,176.09,-14.82
portfolio,traditional_resource,Resource-NMCTS over Affine-NMCTS,and_resource_nmcts,and_affine_nmcts,177,5/0/172,45.74,45.88,-0.11,8/0/169,93.49,94.36,-0.48,7/1/169,98.49,98.92,-0.25,0/2/175,1.89,1.88,0.47,8/0/169,55.21,55.37,-0.12
pareto archive,traditional_resource,Pareto archive over Resource-NMCTS,and_pareto_resource_nmcts,and_resource_nmcts,177,55/0/122,40.77,45.74,-5.10,70/1/106,83.93,93.49,-5.18,69/4/104,88.70,98.49,-4.92,4/16/157,1.97,1.89,4.61,74/0/103,49.83,55.21,-4.59
esop boundary,traditional_resource,Pareto Resource-NMCTS vs ESOP-MILP,and_pareto_resource_nmcts,and_esop_milp,177,166/0/11,40.77,83.59,-32.44,121/43/13,83.93,133.51,-14.48,156/12/9,88.70,159.56,-22.26,66/5/106,1.97,2.32,-9.75,167/3/7,49.83,96.73,-29.61
n14 guard,highdim_resource,Linear-pair guard vs root beam at n=14,and_fprm_linear_pair,and_fprm_root_beam,64,60/0/4,2193.50,2248.81,-4.19,57/1/6,3790.83,3886.62,-3.03,54/6/4,3791.78,3886.77,-1.51,0/58/6,2.94,2.03,54.30,60/0/4,2422.51,2481.64,-3.00
n14 portfolio,highdim_resource,Pareto Resource-NMCTS vs linear-pair at n=14,and_pareto_resource_nmcts,and_fprm_linear_pair,64,58/0/6,2148.81,2193.50,-3.83,59/0/5,3724.98,3790.83,-2.54,54/5/5,3726.72,3791.78,-1.26,1/9/54,3.06,2.94,3.23,59/0/5,2374.22,2422.51,-3.49
n15 guard,highdim_scale_resource,Recursive linear-pair guard vs root beam at n=15,and_fprm_linear_pair_deep,and_fprm_root_beam,32,30/0/2,3200.25,3302.50,-6.43,29/0/3,5492.38,5670.19,-4.89,28/2/2,5493.59,5670.25,-2.41,0/30/2,3.06,1.94,60.16,30/0/2,3529.63,3640.08,-5.28
