correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
7,7,15.714285714285714,0.14285714285714285,11.462857142857143,1.3930456978934152e-05,direct_anf,3,108,72
1,1,4.0,0.0,0.26,1.2159347534179688e-05,direct_anf,4,4,0
4,4,12.75,0.25,11.22125,1.3530254364013672e-05,direct_anf,5,51,40
7,7,15.571428571428571,0.14285714285714285,10.297857142857143,0.0008797645568847656,fprm_mcts,3,104,64
1,1,4.0,0.0,0.26,0.00044798851013183594,fprm_mcts,4,4,0
4,4,14.75,0.25,10.30625,0.0022220611572265625,fprm_mcts,5,55,36
7,7,15.571428571428571,0.14285714285714285,10.315,2.6328223092215402e-05,greedy_factor,3,107,64
1,1,4.0,0.0,0.26,1.811981201171875e-05,greedy_factor,4,4,0
4,4,12.75,0.25,11.22125,1.722574234008789e-05,greedy_factor,5,51,40
7,7,15.571428571428571,0.14285714285714285,10.315,9.444781712123326e-05,mcts_factor,3,107,64
1,1,4.0,0.0,0.26,2.7894973754882812e-05,mcts_factor,4,4,0
4,4,12.75,0.25,11.22125,3.129243850708008e-05,mcts_factor,5,51,40
7,7,15.571428571428571,0.14285714285714285,10.315,0.0005677086966378349,neural_mcts,3,107,64
1,1,4.0,0.0,0.26,2.8848648071289062e-05,neural_mcts,4,4,0
4,4,12.75,0.25,11.22125,3.3020973205566406e-05,neural_mcts,5,51,40
7,7,13.571428571428571,0.14285714285714285,7.310714285714286,3.978184291294643e-05,sshr_h,3,82,44
1,1,24.0,0.0,9.3,0.0011188983917236328,sshr_h,4,20,8
4,4,13.5,0.25,10.2225,0.0032110214233398438,sshr_h,5,48,36
