correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.0017623106638590496,and_affine_nmcts,3,27,8
69,69,37.11594202898551,1.434782608695652,20.43659420289855,0.03469799912494162,and_affine_nmcts,4,2293,1068
67,67,93.1044776119403,1.9850746268656716,50.36253731343284,0.26813566862647215,and_affine_nmcts,5,5897,2748
38,38,234.1315789473684,2.6842105263157894,134.6475,0.07812120412525378,and_affine_nmcts,6,8683,4392
3,3,9.0,0.0,3.225,0.01818259557088216,and_pareto_resource_nmcts,3,27,8
69,69,36.56521739130435,1.4492753623188406,20.019347826086957,0.2737752285556517,and_pareto_resource_nmcts,4,2239,1040
67,67,88.86567164179104,2.1492537313432836,48.877164179104476,2.063994720800599,and_pareto_resource_nmcts,5,5592,2644
38,38,199.42105263157896,3.0789473684210527,114.71552631578948,3.1927992419192663,and_pareto_resource_nmcts,6,7326,3684
3,3,9.0,0.0,3.225,0.00200502077738444,and_resource_nmcts,3,27,8
69,69,36.94202898550725,1.434782608695652,20.36586956521739,0.03709107896556025,and_resource_nmcts,4,2277,1064
67,67,92.61194029850746,2.0,50.30007462686567,0.2863821840997952,and_resource_nmcts,5,5860,2744
38,38,232.28947368421052,2.736842105263158,133.93565789473683,0.14605805120970072,and_resource_nmcts,6,8536,4368
