method,functions,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s
root_beam4_oracle_eval,23,5744.1739,9136.1304,9136.3478,3.3913,6286.8878,0.062961
root_direct,24,6047.6667,9491.1250,9491.3333,2.2917,6608.7017,5.707462
root_heuristic_top1,23,5750.0870,9143.7391,9143.9565,3.3913,6293.2415,0.025640
root_neural_top12,23,5742.9565,9133.3043,9133.5217,3.3913,6285.5067,0.000507
root_neural_top4,23,5743.8261,9134.9565,9135.1739,3.3913,6286.4741,0.000478
root_neural_top8,23,5742.9565,9133.4348,9133.6522,3.3913,6285.5143,0.000529
root_oracle12,23,5742.9565,9133.3478,9133.5652,3.3913,6285.5096,0.165330
root_oracle24,23,5742.2609,9133.3043,9133.5217,3.3913,6284.8128,0.259275
root_union_h4_n12,23,5742.9565,9133.2609,9133.4783,3.3913,6285.5039,0.000460
root_union_h4_n4,23,5743.3043,9134.4783,9134.6957,3.3913,6285.9239,0.000427
root_union_h4_n8,23,5742.9565,9133.3478,9133.5652,3.3913,6285.5087,0.000432
